WikiTeam,FDTeam,Method
AIK,AIK,canonical_exact
BK Häcken,Hacken,canonical_exact
Degerfors IF,Degerfors,substring
Djurgårdens IF,Djurgarden,canonical_exact
GIF Sundsvall,Sundsvall,canonical_exact
Hammarby,Hammarby,canonical_exact
Helsingborgs IF,Helsingborg,canonical_exact
IF Elfsborg,Elfsborg,canonical_exact
IFK Göteborg,Goteborg,canonical_exact
IFK Norrköping,Norrkoping,canonical_exact
IFK Värnamo,Varnamo,substring
IK Sirius,Sirius,substring
Kalmar FF,Kalmar,canonical_exact
Malmö FF,Malmo FF,canonical_exact
Mjällby AIF,Mjallby,substring
Varbergs BoIS,Varberg,substring
