WikiTeam,FDTeam,Method
AIK,AIK,canonical_exact
Brommapojkarna,Brommapojkarna,canonical_exact
Dalkurd,Dalkurd,canonical_exact
Djurgården,Djurgarden,canonical_exact
Elfsborg,Elfsborg,canonical_exact
Göteborg,Goteborg,canonical_exact
Häcken,Hacken,canonical_exact
Hammarby,Hammarby,canonical_exact
Kalmar,Kalmar,canonical_exact
Malmö,Malmo FF,canonical_exact
Norrköping,Norrkoping,canonical_exact
Örebro,Orebro,canonical_exact
Östersund,Ostersunds,canonical_exact
Sirius,Sirius,canonical_exact
Sundsvall,Sundsvall,canonical_exact
Trelleborg,Trelleborgs,substring
