MatchKey,Occurrence,TableNumber,Home,Away,HG,AG,HomeKey,AwayKey,WikiID,FDID,Date
aik|||bk hacken|||2|||2,1,9,AIK,BK Häcken,2,2,aik,bk hacken,1,,
aik|||degerfors if|||3|||0,1,9,AIK,Degerfors IF,3,0,aik,degerfors if,2,,
aik|||djurgardens if|||0|||0,1,9,AIK,Djurgårdens IF,0,0,aik,djurgardens if,3,,
aik|||halmstads bk|||0|||2,1,9,AIK,Halmstads BK,0,2,aik,halmstads bk,5,,
aik|||hammarby if|||0|||0,1,9,AIK,Hammarby IF,0,0,aik,hammarby if,6,,
aik|||if brommapojkarna|||2|||1,1,9,AIK,IF Brommapojkarna,2,1,aik,if brommapojkarna,7,,
aik|||if elfsborg|||2|||0,1,9,AIK,IF Elfsborg,2,0,aik,if elfsborg,8,,
aik|||ifk goteborg|||3|||0,1,9,AIK,IFK Göteborg,3,0,aik,ifk goteborg,9,,
aik|||ifk norrkoping|||4|||3,1,9,AIK,IFK Norrköping,4,3,aik,ifk norrkoping,10,,
aik|||ifk varnamo|||2|||3,1,9,AIK,IFK Värnamo,2,3,aik,ifk varnamo,11,,
aik|||ik sirius|||2|||1,1,9,AIK,IK Sirius,2,1,aik,ik sirius,12,,
aik|||mjallby aif|||2|||1,1,9,AIK,Mjällby AIF,2,1,aik,mjallby aif,14,,
aik|||osters if|||0|||0,1,9,AIK,Östers IF,0,0,aik,osters if,15,,
bk hacken|||aik|||3|||3,1,9,BK Häcken,AIK,3,3,bk hacken,aik,16,,
bk hacken|||degerfors if|||3|||4,1,9,BK Häcken,Degerfors IF,3,4,bk hacken,degerfors if,17,,
bk hacken|||djurgardens if|||1|||6,1,9,BK Häcken,Djurgårdens IF,1,6,bk hacken,djurgardens if,18,,
bk hacken|||gais|||1|||3,1,9,BK Häcken,GAIS,1,3,bk hacken,gais,19,,
bk hacken|||halmstads bk|||4|||1,1,9,BK Häcken,Halmstads BK,4,1,bk hacken,halmstads bk,20,,
bk hacken|||hammarby if|||1|||1,1,9,BK Häcken,Hammarby IF,1,1,bk hacken,hammarby if,21,,
bk hacken|||if brommapojkarna|||2|||0,1,9,BK Häcken,IF Brommapojkarna,2,0,bk hacken,if brommapojkarna,22,,
bk hacken|||if elfsborg|||1|||2,1,9,BK Häcken,IF Elfsborg,1,2,bk hacken,if elfsborg,23,,
bk hacken|||ifk goteborg|||1|||2,1,9,BK Häcken,IFK Göteborg,1,2,bk hacken,ifk goteborg,24,,
bk hacken|||ifk norrkoping|||2|||0,1,9,BK Häcken,IFK Norrköping,2,0,bk hacken,ifk norrkoping,25,,
bk hacken|||ifk varnamo|||2|||0,1,9,BK Häcken,IFK Värnamo,2,0,bk hacken,ifk varnamo,26,,
bk hacken|||ik sirius|||1|||1,1,9,BK Häcken,IK Sirius,1,1,bk hacken,ik sirius,27,,
bk hacken|||malmo ff|||1|||1,1,9,BK Häcken,Malmö FF,1,1,bk hacken,malmo ff,28,,
bk hacken|||mjallby aif|||0|||3,1,9,BK Häcken,Mjällby AIF,0,3,bk hacken,mjallby aif,29,,
bk hacken|||osters if|||0|||2,1,9,BK Häcken,Östers IF,0,2,bk hacken,osters if,30,,
degerfors if|||aik|||0|||1,1,9,Degerfors IF,AIK,0,1,degerfors if,aik,31,,
degerfors if|||bk hacken|||0|||0,1,9,Degerfors IF,BK Häcken,0,0,degerfors if,bk hacken,32,,
degerfors if|||djurgardens if|||1|||1,1,9,Degerfors IF,Djurgårdens IF,1,1,degerfors if,djurgardens if,33,,
degerfors if|||gais|||0|||3,1,9,Degerfors IF,GAIS,0,3,degerfors if,gais,34,,
