WikiTeam,FDTeam,Method
AIK,AIK,canonical_exact
BK Häcken,Hacken,canonical_exact
Degerfors IF,Degerfors,substring
Djurgårdens IF,Djurgarden,canonical_exact
GAIS,GAIS,canonical_exact
Halmstads BK,Halmstad,substring
Hammarby IF,Hammarby,canonical_exact
IF Brommapojkarna,Brommapojkarna,substring
IF Elfsborg,Elfsborg,canonical_exact
IFK Göteborg,Goteborg,canonical_exact
IFK Norrköping,Norrkoping,canonical_exact
IFK Värnamo,Varnamo,substring
IK Sirius,Sirius,substring
Malmö FF,Malmo FF,canonical_exact
Mjällby AIF,Mjallby,substring
Östers IF,Oster,substring
