WikiTeam,FDTeam,Method
AIK,AIK,canonical_exact
Åtvidabergs FF,Atvidabergs,substring
BK Häcken,Hacken,canonical_exact
Djurgårdens IF,Djurgarden,canonical_exact
Falkenbergs FF,Falkenbergs,substring
Gefle IF,Gefle,substring
Halmstads BK,Halmstad,substring
Helsingborgs IF,Helsingborg,canonical_exact
IF Brommapojkarna,Brommapojkarna,substring
IF Elfsborg,Elfsborg,canonical_exact
IFK Göteborg,Goteborg,canonical_exact
IFK Norrköping,Norrkoping,canonical_exact
Kalmar FF,Kalmar,canonical_exact
Malmö FF,Malmo FF,canonical_exact
Mjällby AIF,Mjallby,substring
Örebro SK,Orebro,canonical_exact
