Year,Country,League,Tier,AverageElo,MedianElo,Teams
1983,Turkey,SÃ¼per Lig,1,2360.3,2344.7,22
1983,Austria,Austrian Bundesliga,1,2351.2,2373.1,18
1984,England,First Division,1,2612.3,2606.4,25
1984,Spain,La Liga,1,2596.9,2588.8,21
1984,France,Division 1,1,2560.1,2549.2,20
1984,Italy,Serie A,1,2534.9,2523.3,19
1984,Germany,Bundesliga,1,2531.3,2521.7,20
1984,Netherlands,Eredivisie,1,2412.7,2401.5,21
1984,Portugal,Primeira Liga,1,2412.7,2373.9,19
1984,Switzerland,Swiss Super League,1,2389.1,2384.9,16
1984,Belgium,Belgian Pro League,1,2384.2,2364.3,20
1984,Scotland,Scottish Premiership,1,2368,2333,12
1984,Turkey,SÃ¼per Lig,1,2367.6,2346.9,21
1984,Austria,Austrian Bundesliga,1,2354.1,2336.4,19
1985,England,First Division,1,2615.2,2607.5,25
1985,Spain,La Liga,1,2599.8,2590.7,21
1985,France,Division 1,1,2552.6,2529.5,20
1985,Italy,Serie A,1,2532.7,2517.8,19
1985,Germany,Bundesliga,1,2526.2,2519.8,21
1985,Netherlands,Eredivisie,1,2421.4,2423.1,21
1985,Portugal,Primeira Liga,1,2415.8,2388.3,20
1985,Switzerland,Swiss Super League,1,2386.8,2411.9,16
1985,Belgium,Belgian Pro League,1,2384.4,2362.3,20
1985,Turkey,SÃ¼per Lig,1,2369.9,2354.2,21
1985,Scotland,Scottish Premiership,1,2366.7,2385.6,12
1985,Austria,Austrian Bundesliga,1,2364.6,2364,17
1986,England,First Division,1,2622.1,2611.8,25
1986,Spain,La Liga,1,2594.2,2592.9,21
1986,France,Division 1,1,2552.6,2537.3,20
1986,Italy,Serie A,1,2543,2541.2,19
1986,Germany,Bundesliga,1,2527.6,2526.2,20
1986,Netherlands,Eredivisie,1,2421.9,2399.6,21
1986,Portugal,Primeira Liga,1,2418.4,2373.7,20
1986,Austria,Austrian Bundesliga,1,2415.2,2397.2,12
1986,Belgium,Belgian Pro League,1,2384.1,2379.1,20
1986,Turkey,SÃ¼per Lig,1,2363.1,2354.8,22
1986,Scotland,Scottish Premiership,1,2357.8,2375.8,12
1987,England,First Division,1,2624.1,2618,24
1987,Spain,La Liga,1,2597.7,2579.6,21
1987,France,Division 1,1,2542.8,2540.4,20
1987,Italy,Serie A,1,2542.8,2508.1,19
1987,Germany,Bundesliga,1,2528.9,2514.3,20
1987,Portugal,Primeira Liga,1,2417.8,2389.1,20
1987,Netherlands,Eredivisie,1,2415.6,2413.2,21
1987,Switzerland,Swiss Super League,1,2413.9,2427.9,14
1987,Austria,Austrian Bundesliga,1,2406.8,2399.6,12
1987,Belgium,Belgian Pro League,1,2385.8,2383.4,20
1987,Turkey,SÃ¼per Lig,1,2368.6,2352.3,22
1987,Scotland,Scottish Premiership,1,2333.9,2299.1,14
1987,Greece,Super League Greece,1,2255.6,2252.2,16
1988,England,First Division,1,2627,2629.9,24
1988,Spain,La Liga,1,2594,2581.1,23
1988,France,Division 1,1,2542.8,2547.2,20
1988,Italy,Serie A,1,2534.4,2514.3,20
1988,Germany,Bundesliga,1,2530,2520.5,20
1988,Switzerland,Swiss Super League,1,2423.9,2429.7,12
1988,Netherlands,Eredivisie,1,2418.9,2402.4,22
1988,Austria,Austrian Bundesliga,1,2414.1,2389.2,12
1988,Portugal,Primeira Liga,1,2404,2394.9,26
1988,Belgium,Belgian Pro League,1,2385.1,2350.9,21
1988,Turkey,SÃ¼per Lig,1,2372.7,2350.2,23
1988,Scotland,Scottish Premiership,1,2344.5,2334.3,13
1988,Greece,Super League Greece,1,2249.7,2223.7,20
1989,England,First Division,1,2631.1,2639.7,23
1989,Spain,La Liga,1,2584.7,2575,24
1989,France,Division 1,1,2545.9,2539.8,20
1989,Germany,Bundesliga,1,2529.5,2508.1,20
1989,Italy,Serie A,1,2521.5,2496.5,22
1989,Netherlands,Eredivisie,1,2424.7,2410.9,21
1989,Austria,Austrian Bundesliga,1,2412,2381,12
1989,Portugal,Primeira Liga,1,2407.1,2382.4,23
1989,Belgium,Belgian Pro League,1,2391.5,2361,20
1989,Turkey,SÃ¼per Lig,1,2379.6,2358,21
1989,Scotland,Scottish Premiership,1,2373,2371.1,11
1989,Greece,Super League Greece,1,2247.4,2218.1,19
1990,England,First Division,1,2628.7,2634.9,23
1990,Spain,La Liga,1,2591.1,2572.4,23
1990,France,Division 1,1,2540.9,2534.4,22
1990,Germany,Bundesliga,1,2530.9,2516.2,20
1990,Italy,Serie A,1,2529,2502.6,22
1990,Netherlands,Eredivisie,1,2424.4,2423.3,20
1990,Austria,Austrian Bundesliga,1,2410.6,2392.6,12
1990,Portugal,Primeira Liga,1,2409.2,2381.2,22
1990,Belgium,Belgian Pro League,1,2391.5,2353.6,20
1990,Turkey,SÃ¼per Lig,1,2389.4,2368.5,21
1990,Scotland,Scottish Premiership,1,2382.8,2350.6,11
1990,Greece,Super League Greece,1,2243.6,2221.6,21
1991,England,First Division,1,2628.9,2633.9,24
1991,Spain,La Liga,1,2601.9,2598,22
1991,Italy,Serie A,1,2548.2,2558.4,18
1991,France,Division 1,1,2537,2540.5,23
1991,Germany,Bundesliga,1,2524.8,2514.1,23
1991,Switzerland,Swiss Super League,1,2423.3,2441.9,12
1991,Austria,Austrian Bundesliga,1,2414.1,2411.1,12
1991,Netherlands,Eredivisie,1,2410.7,2382.3,21
1991,Portugal,Primeira Liga,1,2407.6,2379.8,23
1991,Turkey,SÃ¼per Lig,1,2396.6,2375.9,19
1991,Belgium,Belgian Pro League,1,2388.2,2361.5,20
1991,Scotland,Scottish Premiership,1,2365.6,2359.8,12
1991,Greece,Super League Greece,1,2247.9,2212.7,21
1992,England,Premier League,1,2636.8,2643.6,22
1992,Spain,La Liga,1,2598.5,2593.1,22
1992,Italy,Serie A,1,2551.8,2560.3,18
1992,England,First Division,1,2549.2,2542.8,3
1992,France,Division 1,1,2535.9,2521,23
1992,Germany,Bundesliga,1,2528.2,2516.7,22
1992,Netherlands,Eredivisie,1,2415.8,2398.3,21
1992,Portugal,Primeira Liga,1,2413.4,2394.3,21
1992,Austria,Austrian Bundesliga,1,2412.4,2397.1,12
1992,Turkey,SÃ¼per Lig,1,2395.4,2364.1,19
1992,Belgium,Belgian Pro League,1,2389.6,2377.5,20
1992,Scotland,Scottish Premiership,1,2355.3,2310,14
1992,Switzerland,Swiss Super League,1,2341.7,2343.9,24
1992,Ukraine,Ukrainian Premier League,1,2278.7,2273,22
1992,Greece,Super League Greece,1,2248.2,2217.5,21
1993,England,Premier League,1,2623.5,2620.6,25
1993,Spain,La Liga,1,2594.2,2595,23
1993,France,Division 1,1,2535.5,2515.4,23
1993,Italy,Serie A,1,2534.3,2520.3,22
1993,Germany,Bundesliga,1,2533.5,2549,21
1993,Netherlands,Eredivisie,1,2419.3,2382.7,21
1993,Portugal,Primeira Liga,1,2419.2,2391.4,21
1993,Austria,Austrian Bundesliga,1,2415.2,2380.6,12
1993,Turkey,SÃ¼per Lig,1,2399.6,2352.9,19
1993,Belgium,Belgian Pro League,1,2390.6,2370.7,20
1993,Switzerland,Swiss Super League,1,2354.9,2357.9,24
1993,Scotland,Scottish Premiership,1,2353.3,2325.5,14
1993,Ukraine,Ukrainian Premier League,1,2299.5,2279.9,18
1993,Greece,Super League Greece,1,2258.3,2210.3,18
1993,Czechia,Czech First League,1,2242.3,2242,16
1994,England,Premier League,1,2623,2607.9,25
1994,Spain,La Liga,1,2600,2586.6,23
1994,Italy,Serie A,1,2542.8,2540.9,22
1994,France,Division 1,1,2537.6,2521.6,23
1994,Germany,Bundesliga,1,2535.9,2536.9,21
1994,Portugal,Primeira Liga,1,2426.8,2383.5,18
1994,Netherlands,Eredivisie,1,2421.8,2400.7,20
1994,Switzerland,Swiss Super League,1,2411.1,2423.4,16
1994,Austria,Austrian Bundesliga,1,2402.4,2372.7,13
1994,Belgium,Belgian Pro League,1,2391,2371.7,20
1994,Turkey,SÃ¼per Lig,1,2376.9,2339.4,22
1994,Scotland,Scottish Premiership,1,2359.7,2346.1,13
1994,Ukraine,Ukrainian Premier League,1,2288.8,2269.4,20
1994,Greece,Super League Greece,1,2274.2,2234.1,18
1994,Czechia,Czech First League,1,2235.2,2256.2,18
1995,England,Premier League,1,2624.8,2615.8,24
1995,Spain,La Liga,1,2597.2,2606.3,23
1995,Italy,Serie A,1,2550.3,2543.8,22
1995,France,Division 1,1,2538.9,2533.1,22
1995,Germany,Bundesliga,1,2538.4,2541.6,21
1995,Switzerland,Swiss Super League,1,2452.8,2444.9,12
1995,Netherlands,Eredivisie,1,2422.6,2413.5,20
1995,Portugal,Primeira Liga,1,2411.8,2386.5,21
1995,Austria,Austrian Bundesliga,1,2408.2,2412.7,12
1995,Belgium,Belgian Pro League,1,2397.8,2388.7,21
1995,Turkey,SÃ¼per Lig,1,2378.8,2351.8,21
1995,Scotland,Scottish Premiership,1,2368.4,2346.1,11
1995,Ukraine,Ukrainian Premier League,1,2300.4,2288,20
1995,Greece,Super League Greece,1,2270.6,2271.9,21
1995,Czechia,Czech First League,1,2248,2275.9,18
1996,England,Premier League,1,2627,2610.4,23
1996,Spain,La Liga,1,2590.6,2592,25
1996,Italy,Serie A,1,2550.8,2519.6,22
1996,France,Division 1,1,2550,2544.4,23
1996,Germany,Bundesliga,1,2542.9,2529.5,21
1996,Switzerland,Swiss Super League,1,2452.8,2428.5,12
1996,Netherlands,Eredivisie,1,2431.7,2397.3,19
1996,Austria,Austrian Bundesliga,1,2419.7,2439.1,11
1996,Portugal,Primeira Liga,1,2415.2,2383.6,21
1996,Belgium,Belgian Pro League,1,2397.2,2377.8,21
1996,Turkey,SÃ¼per Lig,1,2390,2344.9,21
1996,Scotland,Scottish Premiership,1,2354.4,2322.7,12
1996,Ukraine,Ukrainian Premier League,1,2315.7,2303.1,19
1996,Greece,Super League Greece,1,2272.2,2248.8,21
1996,Czechia,Czech First League,1,2252.9,2262.4,19
1997,England,Premier League,1,2622.3,2610.9,23
1997,Spain,La Liga,1,2590.9,2588.7,25
1997,France,Division 1,1,2551.6,2548.5,22
1997,Italy,Serie A,1,2543.6,2523.2,22
1997,Germany,Bundesliga,1,2541.7,2532.2,21
1997,Switzerland,Swiss Super League,1,2445.6,2454.5,12
1997,Netherlands,Eredivisie,1,2435.1,2409.2,19
1997,Austria,Austrian Bundesliga,1,2428.8,2436.4,11
1997,Portugal,Primeira Liga,1,2417.5,2402.1,21
1997,Belgium,Belgian Pro League,1,2406.9,2390.5,20
1997,Turkey,SÃ¼per Lig,1,2392.5,2360.9,21
1997,Scotland,Scottish Premiership,1,2371,2344,11
1997,Ukraine,Ukrainian Premier League,1,2334.7,2311.3,18
1997,Greece,Super League Greece,1,2270.9,2243.4,21
1997,Czechia,Czech First League,1,2258.9,2259.8,18
1998,England,Premier League,1,2622.1,2621.3,23
1998,Spain,La Liga,1,2601.1,2599.3,23
1998,France,Division 1,1,2553.4,2550.2,21
1998,Germany,Bundesliga,1,2546.5,2528.1,21
1998,Italy,Serie A,1,2542.3,2526.9,22
1998,Switzerland,Swiss Super League,1,2454.5,2446.8,12
1998,Netherlands,Eredivisie,1,2428.5,2398.7,20
1998,Portugal,Primeira Liga,1,2421.4,2390.1,21
1998,Austria,Austrian Bundesliga,1,2418.6,2418.5,11
1998,Turkey,SÃ¼per Lig,1,2402,2387.8,21
1998,Belgium,Belgian Pro League,1,2401.9,2399.6,20
1998,Scotland,Scottish Premiership,1,2375.1,2338.8,11
1998,Ukraine,Ukrainian Premier League,1,2336.8,2326.9,18
1998,Greece,Super League Greece,1,2283.6,2251,21
1998,Czechia,Czech First League,1,2268.3,2267.6,18
1999,England,Premier League,1,2628.3,2618,23
1999,Spain,La Liga,1,2600,2588.6,24
1999,France,Division 1,1,2553.6,2550.8,21
1999,Italy,Serie A,1,2545.7,2529.9,22
1999,Germany,Bundesliga,1,2542.2,2544.9,21
1999,Netherlands,Eredivisie,1,2435.5,2392.6,19
1999,Switzerland,Swiss Super League,1,2432.6,2456.7,12
1999,Portugal,Primeira Liga,1,2421.8,2377.2,21
1999,Austria,Austrian Bundesliga,1,2417.3,2448.9,11
1999,Turkey,SÃ¼per Lig,1,2394.3,2366.4,21
1999,Belgium,Belgian Pro League,1,2393.4,2352.5,21
1999,Scotland,Scottish Premiership,1,2375.1,2346.1,11
1999,Ukraine,Ukrainian Premier League,1,2346.2,2334.8,17
1999,Greece,Super League Greece,1,2278.4,2231,22
1999,Czechia,Czech First League,1,2270.3,2255.7,18
2000,England,Premier League,1,2623.4,2599,23
2000,Spain,La Liga,1,2604.1,2595.7,23
2000,France,Division 1,1,2553.6,2553.7,21
2000,Germany,Bundesliga,1,2542.1,2529.4,21
2000,Italy,Serie A,1,2539.8,2528.1,22
2000,Portugal,Primeira Liga,1,2427.7,2397.5,21
2000,Austria,Austrian Bundesliga,1,2426.1,2445.5,11
2000,Netherlands,Eredivisie,1,2425.6,2406,21
2000,Switzerland,Swiss Super League,1,2405.8,2422.5,16
2000,Belgium,Belgian Pro League,1,2395.7,2381.3,20
2000,Turkey,SÃ¼per Lig,1,2393.3,2374.5,21
2000,Scotland,Scottish Premiership,1,2362.9,2354.8,12
2000,Ukraine,Ukrainian Premier League,1,2351.7,2346.6,17
2000,Greece,Super League Greece,1,2291.8,2255.9,20
2000,Czechia,Czech First League,1,2266,2258.8,19
2001,England,Premier League,1,2632.9,2616.6,23
2001,Spain,La Liga,1,2603.7,2587.7,23
2001,France,Division 1,1,2550.1,2547.9,21
2001,Italy,Serie A,1,2547.2,2524,22
2001,Germany,Bundesliga,1,2543.3,2542.6,21
2001,Netherlands,Eredivisie,1,2437.9,2451.9,19
2001,Austria,Austrian Bundesliga,1,2431.6,2410.1,11
2001,Portugal,Primeira Liga,1,2426,2403.3,21
2001,Switzerland,Swiss Super League,1,2404.2,2406.8,16
2001,Belgium,Belgian Pro League,1,2397.3,2358.4,20
2001,Turkey,SÃ¼per Lig,1,2392.4,2375.5,21
2001,Ukraine,Ukrainian Premier League,1,2361,2355.5,16
2001,Scotland,Scottish Premiership,1,2359.1,2341.6,13
2001,Greece,Super League Greece,1,2315.1,2274.6,18
2001,Czechia,Czech First League,1,2266.4,2247.7,18
2002,England,Premier League,1,2632.4,2625.7,23
2002,Spain,La Liga,1,2599.9,2576.2,23
2002,France,Ligue 1,1,2546.4,2557.9,20
2002,Italy,Serie A,1,2545.6,2511.4,22
2002,Germany,Bundesliga,1,2538.2,2510.9,21
2002,France,Division 1,1,2485,2485,2
2002,Austria,Austrian Bundesliga,1,2430,2422.7,11
2002,Netherlands,Eredivisie,1,2427.6,2449.2,21
2002,Portugal,Primeira Liga,1,2427.5,2411,21
2002,Switzerland,Swiss Super League,1,2404.6,2402.3,16
2002,Belgium,Belgian Pro League,1,2398.7,2376.7,20
2002,Turkey,SÃ¼per Lig,1,2396.8,2353.7,21
2002,Ukraine,Ukrainian Premier League,1,2363.7,2325.1,17
2002,Scotland,Scottish Premiership,1,2363,2326,13
2002,Greece,Super League Greece,1,2323.3,2298.9,17
2002,Czechia,Czech First League,1,2266.9,2245.5,18
2003,England,Premier League,1,2626.5,2622.1,23
2003,Spain,La Liga,1,2598.6,2598.5,23
2003,Italy,Serie A,1,2548.3,2525.7,22
2003,Germany,Bundesliga,1,2542.1,2518,21
2003,France,Ligue 1,1,2540.5,2520.1,23
2003,Netherlands,Eredivisie,1,2434.4,2434.1,20
2003,Portugal,Primeira Liga,1,2427.7,2386.8,21
2003,Austria,Austrian Bundesliga,1,2414,2402.1,12
2003,Belgium,Belgian Pro League,1,2402.3,2397.2,19
2003,Switzerland,Swiss Super League,1,2397.1,2383.8,15
2003,Turkey,SÃ¼per Lig,1,2392.7,2366.1,21
2003,Scotland,Scottish Premiership,1,2376.3,2317.5,12
2003,Ukraine,Ukrainian Premier League,1,2357.2,2312.5,19
2003,Greece,Super League Greece,1,2325,2312,18
2003,Czechia,Czech First League,1,2265,2267.8,18
2004,England,Premier League,1,2641.3,2628.6,20
2004,Spain,La Liga,1,2603.8,2601.9,23
2004,Germany,Bundesliga,1,2543.9,2523.3,21
2004,France,Ligue 1,1,2542.9,2536.4,23
2004,Italy,Serie A,1,2536.5,2515.5,24
2004,England,Championship,2,2500,2503.9,24
2004,Austria,Austrian Bundesliga,1,2438.3,2393.7,11
2004,Netherlands,Eredivisie,1,2437.3,2424,20
2004,Switzerland,Swiss Super League,1,2431.2,2435.1,11
2004,Portugal,Primeira Liga,1,2426,2405.5,21
2004,Belgium,Belgian Pro League,1,2401.1,2408.4,20
2004,Turkey,SÃ¼per Lig,1,2398.6,2377.4,21
2004,Scotland,Scottish Premiership,1,2369.7,2311.3,13
2004,Ukraine,Ukrainian Premier League,1,2349.7,2309.3,18
2004,England,League One,3,2345.7,2353.7,24
2004,Greece,Super League Greece,1,2325,2292.1,19
2004,Czechia,Czech First League,1,2268.4,2260.4,19
2004,England,League Two,4,2202.8,2158.4,24
2005,England,Premier League,1,2649.2,2625.4,20
2005,Spain,La Liga,1,2603.5,2597,23
2005,France,Ligue 1,1,2546.1,2533.4,23
2005,Germany,Bundesliga,1,2542.8,2524.5,21
2005,Italy,Serie A,1,2538.5,2509.2,23
2005,England,Championship,2,2497.9,2496.8,24
2005,Austria,Austrian Bundesliga,1,2437.4,2450.9,11
2005,Netherlands,Eredivisie,1,2431.8,2436.2,20
2005,Portugal,Primeira Liga,1,2429.8,2418.5,21
2005,Switzerland,Swiss Super League,1,2417,2401.3,11
2005,Belgium,Belgian Pro League,1,2408.8,2383.4,20
2005,Turkey,SÃ¼per Lig,1,2407,2380.6,21
2005,Scotland,Scottish Premiership,1,2370.6,2356.2,13
2005,Ukraine,Ukrainian Premier League,1,2353.2,2306.6,18
2005,England,League One,3,2349.4,2346.3,24
2005,Greece,Super League Greece,1,2324,2310.7,20
2005,Czechia,Czech First League,1,2264.4,2264.7,19
2005,England,League Two,4,2202,2206.6,26
2006,England,Premier League,1,2662.4,2643.4,20
2006,Spain,La Liga,1,2604.1,2590.3,23
2006,France,Ligue 1,1,2546,2549.4,23
2006,Germany,Bundesliga,1,2542.2,2511,21
2006,Italy,Serie A,1,2530.4,2491.1,23
2006,England,Championship,2,2486.3,2484.6,24
2006,Netherlands,Eredivisie,1,2441.2,2425.8,19
2006,Austria,Austrian Bundesliga,1,2439.6,2436.2,11
2006,Portugal,Primeira Liga,1,2430.2,2411.2,20
2006,Switzerland,Swiss Super League,1,2418.1,2400.2,12
2006,Belgium,Belgian Pro League,1,2415.9,2386.9,19
2006,Turkey,SÃ¼per Lig,1,2413,2398.9,21
2006,Scotland,Scottish Premiership,1,2367.6,2352.3,13
2006,England,League One,3,2354.6,2355.8,24
2006,Ukraine,Ukrainian Premier League,1,2346.2,2319.8,18
2006,Greece,Super League Greece,1,2323.9,2302.2,19
2006,Czechia,Czech First League,1,2269.3,2245.3,18
2006,England,League Two,4,2198.3,2186.5,26
2007,England,Premier League,1,2665.6,2649.1,20
2007,Spain,La Liga,1,2606.6,2587.8,23
2007,France,Ligue 1,1,2547.2,2549.6,23
2007,Germany,Bundesliga,1,2546.4,2528.7,21
2007,Italy,Serie A,1,2539.3,2499.5,23
2007,England,Championship,2,2490.8,2484.3,24
2007,Austria,Austrian Bundesliga,1,2440.3,2454.6,11
2007,Portugal,Primeira Liga,1,2437.4,2411.6,18
2007,Netherlands,Eredivisie,1,2435.3,2426.8,20
2007,Switzerland,Swiss Super League,1,2427.4,2378.1,11
2007,Belgium,Belgian Pro League,1,2406.5,2385.5,20
2007,Turkey,SÃ¼per Lig,1,2403.2,2386.9,21
2007,Scotland,Scottish Premiership,1,2369.5,2356.8,13
2007,England,League One,3,2353.3,2349.3,24
2007,Ukraine,Ukrainian Premier League,1,2342,2298,18
2007,Greece,Super League Greece,1,2328.7,2318.9,19
2007,Czechia,Czech First League,1,2272.2,2242.2,18
2007,England,League Two,4,2186.9,2174.8,26
2008,England,Premier League,1,2667.5,2631,20
2008,Spain,La Liga,1,2599.2,2593.1,23
2008,Germany,Bundesliga,1,2550.7,2531.1,21
2008,Italy,Serie A,1,2545.5,2525.7,23
2008,France,Ligue 1,1,2543.8,2531.9,23
2008,England,Championship,2,2493.4,2485.5,24
2008,Portugal,Primeira Liga,1,2441.2,2422.2,18
2008,Netherlands,Eredivisie,1,2433,2419.1,20
2008,Austria,Austrian Bundesliga,1,2428.2,2427.6,11
2008,Switzerland,Swiss Super League,1,2406.7,2377.6,12
2008,Belgium,Belgian Pro League,1,2404.2,2405.1,20
2008,Turkey,SÃ¼per Lig,1,2400.6,2361.7,21
2008,Scotland,Scottish Premiership,1,2360.9,2335.9,13
2008,England,League One,3,2351.9,2353,24
2008,Ukraine,Ukrainian Premier League,1,2346.7,2312.4,18
2008,Greece,Super League Greece,1,2322.9,2317.3,19
2008,Czechia,Czech First League,1,2271.5,2265.2,18
2008,England,League Two,4,2184.3,2190.7,26
2009,England,Premier League,1,2669.7,2636.6,20
2009,Spain,La Liga,1,2603.7,2569,23
2009,Germany,Bundesliga,1,2550.9,2524.1,21
2009,France,Ligue 1,1,2543.7,2541.5,23
2009,Italy,Serie A,1,2542.6,2525.6,23
2009,England,Championship,2,2495.5,2494.8,24
2009,Netherlands,Eredivisie,1,2435.2,2414.2,20
2009,Portugal,Primeira Liga,1,2432.2,2394.8,18
2009,Switzerland,Swiss Super League,1,2423,2416.2,12
2009,Austria,Austrian Bundesliga,1,2422.7,2384.4,11
2009,Belgium,Belgian Pro League,1,2410.9,2389.5,19
2009,Turkey,SÃ¼per Lig,1,2399.5,2393.5,21
2009,Scotland,Scottish Premiership,1,2361.7,2340.4,13
2009,England,League One,3,2349.4,2335.8,24
2009,Ukraine,Ukrainian Premier League,1,2348.6,2320.2,18
2009,Greece,Super League Greece,1,2322.1,2299.1,19
2009,Czechia,Czech First League,1,2273.2,2272.3,18
2009,England,League Two,4,2181.8,2181.6,26
2010,England,Premier League,1,2680.2,2647.7,20
2010,Spain,La Liga,1,2602.2,2559,23
2010,Germany,Bundesliga,1,2552,2554,20
2010,France,Ligue 1,1,2546.1,2548.1,23
2010,Italy,Serie A,1,2542.6,2522.2,23
2010,England,Championship,2,2495,2493.6,24
2010,Netherlands,Eredivisie,1,2434,2436.3,20
2010,Portugal,Primeira Liga,1,2430.4,2397,18
2010,Switzerland,Swiss Super League,1,2424.8,2426.5,11
2010,Belgium,Belgian Pro League,1,2422.9,2432.9,17
2010,Austria,Austrian Bundesliga,1,2416.3,2427.9,13
2010,Turkey,SÃ¼per Lig,1,2400.7,2398.3,21
2010,Scotland,Scottish Premiership,1,2361.7,2320,13
2010,Ukraine,Ukrainian Premier League,1,2352.9,2318.6,18
2010,England,League One,3,2338.6,2338.7,24
2010,Greece,Super League Greece,1,2323.9,2300.2,19
2010,Czechia,Czech First League,1,2268.9,2262.8,18
2010,England,League Two,4,2187.3,2190.5,26
2011,England,Premier League,1,2670.3,2643.2,20
2011,Spain,La Liga,1,2605,2575.6,23
2011,Germany,Bundesliga,1,2552.2,2544.2,20
2011,France,Ligue 1,1,2551.8,2544.8,23
2011,Italy,Serie A,1,2544.1,2531.2,23
2011,England,Championship,2,2498.6,2492,24
2011,Netherlands,Eredivisie,1,2441,2435.2,19
2011,Switzerland,Swiss Super League,1,2433.3,2425.3,12
2011,Portugal,Primeira Liga,1,2429.6,2376.9,18
2011,Belgium,Belgian Pro League,1,2422.6,2396.9,18
2011,Turkey,SÃ¼per Lig,1,2410.9,2409.7,21
2011,Austria,Austrian Bundesliga,1,2393.3,2393.5,11
2011,Scotland,Scottish Premiership,1,2360.8,2331.1,13
2011,Ukraine,Ukrainian Premier League,1,2358.4,2325.4,18
2011,England,League One,3,2332.7,2319.1,24
2011,Greece,Super League Greece,1,2319.1,2307,21
2011,Czechia,Czech First League,1,2277.3,2258.4,18
2011,England,League Two,4,2212.8,2214,26
2012,England,Premier League,1,2670.3,2646.2,20
2012,Spain,La Liga,1,2609.6,2582.2,23
2012,Germany,Bundesliga,1,2568.3,2553.1,18
2012,France,Ligue 1,1,2550.2,2552.4,23
2012,Italy,Serie A,1,2540.2,2527.8,23
2012,England,Championship,2,2492.9,2506,24
2012,Switzerland,Swiss Super League,1,2453.9,2430.9,10
2012,Netherlands,Eredivisie,1,2438.5,2409.8,20
2012,Portugal,Primeira Liga,1,2433.3,2396.5,18
2012,Belgium,Belgian Pro League,1,2416.7,2399.2,18
2012,Turkey,SÃ¼per Lig,1,2412.9,2410.7,21
2012,Austria,Austrian Bundesliga,1,2398.9,2349.6,11
2012,Germany,2. Bundesliga,2,2397.2,2389.7,18
2012,Scotland,Scottish Premiership,1,2357.9,2343.9,14
2012,Ukraine,Ukrainian Premier League,1,2356,2309.5,18
2012,England,League One,3,2338.6,2330.5,24
2012,Greece,Super League Greece,1,2308.7,2282.7,19
2012,Czechia,Czech First League,1,2285.7,2260.5,18
2012,England,League Two,4,2207.1,2209.2,26
2013,England,Premier League,1,2663.5,2603.5,20
2013,Spain,La Liga,1,2607.2,2575.4,23
2013,Germany,Bundesliga,1,2577.2,2539.3,18
2013,France,Ligue 1,1,2551.4,2537.4,23
2013,Italy,Serie A,1,2544.4,2529.4,23
2013,England,Championship,2,2491.7,2504.1,24
2013,Portugal,Primeira Liga,1,2439.5,2405.2,18
2013,Netherlands,Eredivisie,1,2437.8,2410.4,20
2013,Switzerland,Swiss Super League,1,2436.6,2458.2,11
2013,Belgium,Belgian Pro League,1,2420.4,2368,17
2013,Turkey,SÃ¼per Lig,1,2417.8,2425.7,21
2013,Austria,Austrian Bundesliga,1,2410.5,2397.1,11
2013,Germany,2. Bundesliga,2,2394.4,2402.2,20
2013,Ukraine,Ukrainian Premier League,1,2364.6,2329.5,17
2013,Scotland,Scottish Premiership,1,2341.9,2322.6,13
2013,England,League One,3,2340.8,2331.9,24
2013,Greece,Super League Greece,1,2307,2263.7,20
2013,Czechia,Czech First League,1,2293.5,2266.6,18
2013,England,League Two,4,2203.3,2194.4,26
2014,England,Premier League,1,2665.6,2643.7,20
2014,Spain,La Liga,1,2609.2,2570.8,23
2014,Germany,Bundesliga,1,2582,2557.8,18
2014,France,Ligue 1,1,2566.9,2545.9,21
2014,Italy,Serie A,1,2548.4,2524.1,23
2014,England,Championship,2,2491.2,2493.9,24
2014,Portugal,Primeira Liga,1,2438.8,2398,19
2014,Netherlands,Eredivisie,1,2429.4,2413.1,21
2014,Switzerland,Swiss Super League,1,2427.3,2442.4,11
2014,France,Ligue 2,2,2427.2,2428.6,20
2014,Austria,Austrian Bundesliga,1,2418.1,2410.9,11
2014,Turkey,SÃ¼per Lig,1,2418.1,2390.2,21
2014,Belgium,Belgian Pro League,1,2417.1,2415.9,18
2014,Germany,2. Bundesliga,2,2398.6,2375.8,21
2014,Ukraine,Ukrainian Premier League,1,2361.4,2332.8,16
2014,England,League One,3,2336.3,2323,24
2014,Scotland,Scottish Premiership,1,2333.5,2298.6,14
2014,Czechia,Czech First League,1,2294.6,2270.6,18
2014,Greece,Super League Greece,1,2293.8,2271.1,20
2014,England,League Two,4,2202.6,2208.7,26
2015,England,Premier League,1,2669.1,2665.4,20
2015,Spain,La Liga,1,2614.1,2573.3,23
2015,Germany,Bundesliga,1,2577.1,2563.5,18
2015,France,Ligue 1,1,2563.8,2545.5,20
2015,Italy,Serie A,1,2555.3,2532.8,23
2015,England,Championship,2,2493.2,2494.2,24
2015,Switzerland,Swiss Super League,1,2448.9,2457.9,11
2015,Portugal,Primeira Liga,1,2433.9,2414.8,20
2015,Netherlands,Eredivisie,1,2424,2418.1,21
2015,Austria,Austrian Bundesliga,1,2419.1,2391.1,11
2015,Belgium,Belgian Pro League,1,2416.8,2432.1,18
2015,France,Ligue 2,2,2416.1,2428.4,23
