Source,Country,Competition,CompetitionType,Tier,League,Season,Date,HomeRaw,AwayRaw,HomeGoals,AwayGoals,Score,Result,SourceURL,SourceLine,SourceText
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-08-25,Krylya S,Zenit,1,3,1-3,0-1,https://www.rsssf.org/tablesr/rus07.html,492,Krylya S  1-3 Zenit
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-08-25,Lokomotiv,Saturn,0,2,0-2,0-1,https://www.rsssf.org/tablesr/rus07.html,495,Lokomotiv 0-2 Saturn
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-08-25,Tom,Luch-Ener,3,1,3-1,1-0,https://www.rsssf.org/tablesr/rus07.html,497,Tom       3-1 Luch-Ener
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-08-26,Khimki,Moskva,1,3,1-3,0-1,https://www.rsssf.org/tablesr/rus07.html,501,Khimki    1-3 Moskva
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-08-26,Spartak N,Dinamo,4,1,4-1,1-0,https://www.rsssf.org/tablesr/rus07.html,503,Spartak N 4-1 Dinamo
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-08-26,Kuban,Amkar,1,1,1-1,0.5-0.5,https://www.rsssf.org/tablesr/rus07.html,506,Kuban     1-1 Amkar
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-08-26,CSKA,Rostov,4,0,4-0,1-0,https://www.rsssf.org/tablesr/rus07.html,508,CSKA      4-0 Rostov
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-08-31,Moskva,Spartak N,1,0,1-0,1-0,https://www.rsssf.org/tablesr/rus07.html,513,Moskva    1-0 Spartak N
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-08-31,Dinamo,Tom,3,1,3-1,1-0,https://www.rsssf.org/tablesr/rus07.html,515,Dinamo    3-1 Tom
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-09-01,Amkar,Rubin,2,1,2-1,1-0,https://www.rsssf.org/tablesr/rus07.html,518,Amkar     2-1 Rubin
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-09-01,Saturn,Khimki,1,0,1-0,1-0,https://www.rsssf.org/tablesr/rus07.html,520,Saturn    1-0 Khimki
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-09-01,Luch-Ener,Krylya S,0,0,0-0,0.5-0.5,https://www.rsssf.org/tablesr/rus07.html,522,Luch-Ener 0-0 Krylya S
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-09-02,Spartak M,CSKA,1,1,1-1,0.5-0.5,https://www.rsssf.org/tablesr/rus07.html,525,Spartak M 1-1 CSKA
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-09-02,Zenit,Kuban,1,0,1-0,1-0,https://www.rsssf.org/tablesr/rus07.html,527,Zenit     1-0 Kuban
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2007,2007-09-02,Rostov,Lokomotiv,0,2,0-2,0-1,https://www.rsssf.org/tablesr/rus07.html,529,Rostov    0-2 Lokomotiv
