date,home_team,away_team,home_score,away_score,result,competition
1896-01-04,England,Wales,25,0,England,Home Nations Championship
1896-01-25,Wales,Scotland,6,0,Wales,Home Nations Championship
1896-02-01,England,Ireland,4,10,Ireland,Home Nations Championship
1896-02-15,Ireland,Scotland,0,0,Draw,Home Nations Championship
1896-03-14,Ireland,Wales,8,4,Ireland,Home Nations Championship
1896-03-14,Scotland,England,11,0,Scotland,Home Nations Championship
1896-07-30,South Africa,Great Britain,0,8,Great Britain,British Lions in South Africa
1896-08-22,South Africa,Great Britain,8,17,Great Britain,British Lions in South Africa
1896-08-29,South Africa,Great Britain,3,9,Great Britain,British Lions in South Africa
1896-09-05,South Africa,Great Britain,5,0,South Africa,British Lions in South Africa
1897-01-09,Wales,England,11,0,Wales,Home Nations Championship
1897-02-06,Ireland,England,13,9,Ireland,Home Nations Championship
1897-02-20,Scotland,Ireland,8,3,Scotland,Home Nations Championship
1897-03-13,England,Scotland,12,3,England,Home Nations Championship
1898-02-05,England,Ireland,6,9,Ireland,Home Nations Championship
1898-02-19,Ireland,Scotland,0,8,Scotland,Home Nations Championship
1898-03-12,Scotland,England,3,3,Draw,Home Nations Championship
1898-03-18,Ireland,Wales,3,11,Wales,Home Nations Championship
1898-04-02,England,Wales,14,7,England,Home Nations Championship
1899-01-07,Wales,England,26,3,Wales,Home Nations Championship
1899-02-04,Ireland,England,6,0,Ireland,Home Nations Championship
1899-02-18,Scotland,Ireland,3,9,Ireland,Home Nations Championship
1899-03-04,Scotland,Wales,21,10,Scotland,Home Nations Championship
1899-03-11,England,Scotland,0,5,Scotland,Home Nations Championship
1899-03-18,Wales,Ireland,0,3,Ireland,Home Nations Championship
1899-06-24,Australia,Great Britain,13,3,Australia,British Lions in Australia
1899-07-22,Australia,Great Britain,0,11,Great Britain,British Lions in Australia
1899-08-05,Australia,Great Britain,10,11,Great Britain,British Lions in Australia
1899-08-12,Australia,Great Britain,0,13,Great Britain,British Lions in Australia
1900-01-06,England,Wales,3,13,Wales,Home Nations Championship
1900-01-27,Wales,Scotland,12,3,Wales,Home Nations Championship
1900-02-03,England,Ireland,15,4,England,Home Nations Championship
1900-02-24,Ireland,Scotland,0,0,Draw,Home Nations Championship
1900-03-10,Scotland,England,0,0,Draw,Home Nations Championship
1900-03-17,Ireland,Wales,0,3,Wales,Home Nations Championship
1901-01-05,Wales,England,13,0,Wales,Home Nations Championship
1901-02-09,Ireland,England,10,6,Ireland,Home Nations Championship
1901-02-09,Scotland,Wales,18,8,Scotland,Home Nations Championship
1901-02-23,Scotland,Ireland,9,5,Scotland,Home Nations Championship
1901-03-09,England,Scotland,3,18,Scotland,Home Nations Championship
1901-03-16,Wales,Ireland,10,9,Wales,Home Nations Championship
1902-01-11,England,Wales,8,9,Wales,Home Nations Championship
1902-02-01,Wales,Scotland,14,5,Wales,Home Nations Championship
1902-02-08,England,Ireland,6,3,England,Home Nations Championship
1902-02-22,Ireland,Scotland,5,0,Ireland,Home Nations Championship
1902-03-08,Ireland,Wales,0,15,Wales,Home Nations Championship
1902-03-15,Scotland,England,3,6,England,Home Nations Championship
1903-01-10,Wales,England,21,5,Wales,Home Nations Championship
1903-02-07,Scotland,Wales,6,0,Scotland,Home Nations Championship
1903-02-14,Ireland,England,6,0,Ireland,Home Nations Championship
1903-02-28,Scotland,Ireland,3,0,Scotland,Home Nations Championship
1903-03-14,Wales,Ireland,18,0,Wales,Home Nations Championship
1903-03-21,England,Scotland,6,10,Scotland,Home Nations Championship
1903-08-15,Australia,All Blacks,3,22,All Blacks,New Zealand in Australia
1903-08-26,South Africa,Great Britain,10,10,Draw,British Lions in South Africa
1903-09-05,South Africa,Great Britain,0,0,Draw,British Lions in South Africa
1903-09-12,South Africa,Great Britain,8,0,South Africa,British Lions in South Africa
1904-01-09,England,Wales,14,14,Draw,Home Nations Championship
1904-02-06,Wales,Scotland,21,3,Wales,Home Nations Championship
1904-02-13,England,Ireland,19,0,England,Home Nations Championship
1904-02-27,Ireland,Scotland,3,19,Scotland,Home Nations Championship
1904-03-12,Ireland,Wales,14,12,Ireland,Home Nations Championship
1904-03-19,Scotland,England,6,3,Scotland,Home Nations Championship
1904-07-02,Australia,Great Britain,0,17,Great Britain,British Lions in New Zealand & Australia
1904-07-23,Australia,Great Britain,3,17,Great Britain,British Lions in New Zealand & Australia
1904-07-30,Australia,Great Britain,0,16,Great Britain,British Lions in New Zealand & Australia
1904-08-13,All Blacks,Great Britain,9,3,All Blacks,British Lions in New Zealand & Australia
1905-01-14,Wales,England,25,0,Wales,Home Nations Championship
1905-02-04,Scotland,Wales,3,6,Wales,Home Nations Championship
1905-02-11,Ireland,England,17,3,Ireland,Home Nations Championship
1905-02-25,Scotland,Ireland,5,11,Ireland,Home Nations Championship
1905-03-11,Wales,Ireland,10,3,Wales,Home Nations Championship
1905-03-18,England,Scotland,0,8,Scotland,Home Nations Championship
1905-09-02,All Blacks,Australia,14,3,All Blacks,Australia in New Zealand
1905-11-18,Scotland,All Blacks,7,12,All Blacks,All Blacks in Europe & Canada (1905-06)
1905-11-25,Ireland,All Blacks,0,15,All Blacks,All Blacks in Europe & Canada (1905-06)
1905-12-02,England,All Blacks,0,15,All Blacks,All Blacks in Europe & Canada (1905-06)
1905-12-16,Wales,All Blacks,3,0,Wales,All Blacks in Europe & Canada (1905-06)
1906-01-01,France,All Blacks,8,38,All Blacks,All Blacks in Europe & Canada (1905-06)
1906-01-13,England,Wales,3,16,Wales,Home Nations Championship
1906-02-03,Wales,Scotland,9,3,Wales,Home Nations Championship
1906-02-10,England,Ireland,6,16,Ireland,Home Nations Championship
1906-02-24,Ireland,Scotland,6,13,Scotland,Home Nations Championship
1906-03-10,Ireland,Wales,11,6,Ireland,Home Nations Championship
1906-03-17,Scotland,England,3,9,England,Home Nations Championship
1906-03-22,France,England,8,35,England,England in France
1906-11-17,Scotland,South Africa,6,0,Scotland,South Africa in Europe (1906-07)
1906-11-24,Ireland,South Africa,12,15,South Africa,South Africa in Europe (1906-07)
1906-12-01,Wales,South Africa,11,0,Wales,South Africa in Europe (1906-07)
1906-12-08,England,South Africa,3,3,Draw,South Africa in Europe (1906-07)
1907-01-03,France,South Africa,6,55,South Africa,South Africa in Europe (1906-07)
1907-01-05,England,France,41,13,England,France in England
1907-01-12,Wales,England,22,0,Wales,Home Nations Championship
1907-02-02,Scotland,Wales,6,3,Scotland,Home Nations Championship
1907-02-09,Ireland,England,17,9,Ireland,Home Nations Championship
1907-02-23,Scotland,Ireland,15,3,Scotland,Home Nations Championship
1907-03-09,Wales,Ireland,29,0,Wales,Home Nations Championship
1907-03-16,England,Scotland,3,8,Scotland,Home Nations Championship
1907-07-20,Australia,All Blacks,6,26,All Blacks,All Blacks in New Zealand & Australia
1907-08-03,Australia,All Blacks,5,14,All Blacks,All Blacks in New Zealand & Australia
1907-08-10,Australia,All Blacks,5,5,Draw,All Blacks in New Zealand & Australia
1908-01-18,England,Wales,18,28,Wales,Home Nations Championship
1908-02-01,Wales,Scotland,6,5,Wales,Home Nations Championship
1908-02-08,England,Ireland,13,3,England,Home Nations Championship
1908-02-29,Ireland,Scotland,16,11,Ireland,Home Nations Championship
1908-03-02,Wales,France,36,4,Wales,France in Wales
