date,home_team,away_team,home_score,away_score,result,competition
1961-11-12,France,Romania,5,5,Draw,Romania in France
1962-01-13,Scotland,France,3,11,France,Five Nations Championship
1962-01-20,England,Wales,0,0,Draw,Five Nations Championship
1962-02-03,Wales,Scotland,3,8,Scotland,Five Nations Championship
1962-02-10,England,Ireland,16,0,England,Five Nations Championship
1962-02-24,France,England,13,0,France,Five Nations Championship
1962-02-24,Ireland,Scotland,6,20,Scotland,Five Nations Championship
1962-03-17,Scotland,England,3,3,Draw,Five Nations Championship
1962-03-24,Wales,France,3,0,Wales,Five Nations Championship
1962-04-14,France,Ireland,11,0,France,Five Nations Championship
1962-04-22,Italy,France,3,6,France,France in Italy
1962-05-26,Australia,All Blacks,6,20,All Blacks,Bledisloe Cup (in Australia)
1962-06-04,Australia,All Blacks,5,14,All Blacks,Bledisloe Cup (in Australia)
1962-06-23,South Africa,British Lions,3,3,Draw,British Lions in South Africa & Kenya
1962-07-21,South Africa,British Lions,3,0,South Africa,British Lions in South Africa & Kenya
1962-08-04,South Africa,British Lions,8,3,South Africa,British Lions in South Africa & Kenya
1962-08-25,All Blacks,Australia,9,9,Draw,Bledisloe Cup (in New Zealand)
1962-08-25,South Africa,British Lions,34,14,South Africa,British Lions in South Africa & Kenya
1962-09-08,All Blacks,Australia,3,0,All Blacks,Bledisloe Cup (in New Zealand)
1962-09-22,All Blacks,Australia,16,8,All Blacks,Bledisloe Cup (in New Zealand)
1962-11-11,Romania,France,3,0,Romania,France in Romania
1962-11-17,Ireland,Wales,3,3,Draw,Five Nations Championship
1963-01-12,France,Scotland,6,11,Scotland,Five Nations Championship
1963-01-19,Wales,England,6,13,England,Five Nations Championship
1963-01-26,Ireland,France,5,24,France,Five Nations Championship
1963-02-02,England,France,6,5,England,Five Nations Championship
1963-02-02,Scotland,Ireland,3,0,Scotland,Five Nations Championship
1963-02-23,Ireland,England,0,0,Draw,Five Nations Championship
1963-02-23,Scotland,Wales,0,6,Wales,Five Nations Championship
1963-03-09,Wales,Ireland,6,14,Ireland,Five Nations Championship
1963-03-16,England,Scotland,10,8,England,Five Nations Championship
1963-03-23,France,Wales,5,3,France,Five Nations Championship
1963-04-14,France,Italy,14,12,France,Italy in France
1963-05-25,All Blacks,England,21,11,All Blacks,England in New Zealand & Australia
1963-06-01,All Blacks,England,9,6,All Blacks,England in New Zealand & Australia
1963-06-04,Australia,England,18,9,Australia,England in New Zealand & Australia
1963-07-13,South Africa,Australia,14,3,South Africa,Australia in South Africa
1963-08-10,South Africa,Australia,5,9,Australia,Australia in South Africa
1963-08-24,South Africa,Australia,9,11,Australia,Australia in South Africa
1963-09-07,South Africa,Australia,22,6,South Africa,Australia in South Africa
1963-12-07,Ireland,All Blacks,5,6,All Blacks,All Blacks in Europe & Canada (1963-64)
1963-12-15,France,Romania,6,6,Draw,Romania in France
1963-12-21,Wales,All Blacks,0,6,All Blacks,All Blacks in Europe & Canada (1963-64)
1964-01-04,England,All Blacks,0,14,All Blacks,All Blacks in Europe & Canada (1963-64)
1964-01-04,Scotland,France,10,0,Scotland,Five Nations Championship
1964-01-18,England,Wales,6,6,Draw,Five Nations Championship
1964-01-18,Scotland,All Blacks,0,0,Draw,All Blacks in Europe & Canada (1963-64)
1964-02-01,Wales,Scotland,11,3,Wales,Five Nations Championship
1964-02-08,England,Ireland,5,18,Ireland,Five Nations Championship
1964-02-08,France,All Blacks,3,12,All Blacks,All Blacks in Europe & Canada (1963-64)
1964-02-22,France,England,3,6,England,Five Nations Championship
1964-02-22,Ireland,Scotland,3,6,Scotland,Five Nations Championship
1964-03-07,Ireland,Wales,6,15,Wales,Five Nations Championship
1964-03-21,Scotland,England,15,6,Scotland,Five Nations Championship
1964-03-21,Wales,France,11,11,Draw,Five Nations Championship
1964-03-29,Italy,France,3,12,France,France in Italy
1964-04-11,France,Ireland,27,6,France,Five Nations Championship
1964-05-23,South Africa,Wales,24,3,South Africa,Wales in South Africa
1964-07-25,South Africa,France,6,8,France,France in South Africa
1964-08-15,All Blacks,Australia,14,9,All Blacks,Bledisloe Cup
1964-08-22,All Blacks,Australia,18,3,All Blacks,Bledisloe Cup
1964-08-29,All Blacks,Australia,5,20,Australia,Bledisloe Cup
1964-11-29,Romania,France,6,9,France,France in Romania
1965-01-09,France,Scotland,16,8,France,Five Nations Championship
1965-01-16,Wales,England,14,3,Wales,Five Nations Championship
1965-01-23,Ireland,France,3,3,Draw,Five Nations Championship
1965-02-06,Scotland,Wales,12,14,Wales,Five Nations Championship
1965-02-13,Ireland,England,5,0,Ireland,Five Nations Championship
1965-02-27,England,France,9,6,England,Five Nations Championship
1965-02-27,Scotland,Ireland,6,16,Ireland,Five Nations Championship
1965-03-13,Wales,Ireland,14,8,Wales,Five Nations Championship
1965-03-20,England,Scotland,3,3,Draw,Five Nations Championship
1965-03-20,France,Wales,22,13,France,Five Nations Championship
1965-04-10,Ireland,South Africa,9,6,Ireland,South Africa in United Kingdom
1965-04-17,Scotland,South Africa,8,5,Scotland,South Africa in United Kingdom
1965-04-18,France,Italy,21,0,France,Italy in France
1965-06-19,Australia,South Africa,18,11,Australia,South Africa in Australia & New Zealand
1965-06-26,Australia,South Africa,12,8,Australia,South Africa in Australia & New Zealand
1965-07-31,All Blacks,South Africa,6,3,All Blacks,South Africa in Australia & New Zealand
1965-08-21,All Blacks,South Africa,13,0,All Blacks,South Africa in Australia & New Zealand
1965-09-04,All Blacks,South Africa,16,19,South Africa,South Africa in Australia & New Zealand
1965-09-18,All Blacks,South Africa,20,3,All Blacks,South Africa in Australia & New Zealand
1965-11-28,France,Romania,8,3,France,Romania in France
1966-01-15,England,Wales,6,11,Wales,Five Nations Championship
1966-01-15,Scotland,France,3,3,Draw,Five Nations Championship
1966-01-29,France,Ireland,11,6,France,Five Nations Championship
1966-02-05,Wales,Scotland,8,3,Wales,Five Nations Championship
1966-02-12,England,Ireland,6,6,Draw,Five Nations Championship
1966-02-26,France,England,13,0,France,Five Nations Championship
1966-02-26,Ireland,Scotland,3,11,Scotland,Five Nations Championship
1966-03-12,Ireland,Wales,9,6,Ireland,Five Nations Championship
1966-03-19,Scotland,England,6,3,Scotland,Five Nations Championship
1966-03-26,Wales,France,9,8,Wales,Five Nations Championship
1966-04-09,Italy,France,0,21,France,France in Italy
1966-05-28,Australia,British Lions,8,11,British Lions,"British Lions in Australia, New Zealand & Canada"
1966-06-04,Australia,British Lions,0,31,British Lions,"British Lions in Australia, New Zealand & Canada"
1966-07-10,All Blacks,British Lions,20,3,All Blacks,"British Lions in Australia, New Zealand & Canada"
1966-08-06,All Blacks,British Lions,16,12,All Blacks,"British Lions in Australia, New Zealand & Canada"
1966-08-27,All Blacks,British Lions,19,6,All Blacks,"British Lions in Australia, New Zealand & Canada"
1966-09-10,All Blacks,British Lions,24,11,All Blacks,"British Lions in Australia, New Zealand & Canada"
1966-11-27,Romania,France,3,9,France,France in Romania
1966-12-03,Wales,Australia,11,14,Australia,Australia in United Kingdom (1966-67)
1966-12-17,Scotland,Australia,11,5,Scotland,Australia in United Kingdom (1966-67)
1967-01-07,England,Australia,11,23,Australia,Australia in United Kingdom (1966-67)
1967-01-14,France,Scotland,8,9,Scotland,Five Nations Championship
1967-01-21,Ireland,Australia,15,8,Ireland,Australia in United Kingdom (1966-67)
1967-02-04,Scotland,Wales,11,5,Scotland,Five Nations Championship
1967-02-11,France,Australia,20,14,France,Australia in United Kingdom (1966-67)
1967-02-11,Ireland,England,3,8,England,Five Nations Championship
1967-02-25,England,France,12,16,France,Five Nations Championship
1967-02-25,Scotland,Ireland,3,5,Ireland,Five Nations Championship
1967-03-11,Wales,Ireland,0,3,Ireland,Five Nations Championship
1967-03-18,England,Scotland,27,14,England,Five Nations Championship
1967-03-26,France,Italy,60,13,France,Italy in France
1967-04-01,France,Wales,20,14,France,Five Nations Championship
1967-04-15,Ireland,France,6,11,France,Five Nations Championship
1967-04-15,Wales,England,34,21,Wales,Five Nations Championship
1967-05-13,Australia,Ireland,5,11,Ireland,Ireland in Australia
1967-07-15,South Africa,France,26,3,South Africa,France in South Africa
1967-07-22,South Africa,France,16,3,South Africa,France in South Africa
1967-07-29,South Africa,France,14,19,France,France in South Africa
1967-08-12,South Africa,France,6,6,Draw,France in South Africa
1967-08-19,All Blacks,Australia,29,9,All Blacks,Bledisloe Cup
1967-11-04,England,All Blacks,11,23,All Blacks,All Blacks in Europe & Canada
1967-11-11,Wales,All Blacks,6,13,All Blacks,All Blacks in Europe & Canada
1967-11-25,France,All Blacks,15,21,All Blacks,All Blacks in Europe & Canada
1967-12-02,Scotland,All Blacks,3,14,All Blacks,All Blacks in Europe & Canada
1967-12-10,France,Romania,11,3,France,Romania in France
1968-01-13,Scotland,France,6,8,France,Five Nations Championship
1968-01-20,England,Wales,11,11,Draw,Five Nations Championship
1968-01-27,France,Ireland,16,6,France,Five Nations Championship
1968-02-03,Wales,Scotland,5,0,Wales,Five Nations Championship
1968-02-10,England,Ireland,9,9,Draw,Five Nations Championship
1968-02-24,France,England,14,9,France,Five Nations Championship
1968-02-24,Ireland,Scotland,14,6,Ireland,Five Nations Championship
1968-03-09,Ireland,Wales,9,6,Ireland,Five Nations Championship
1968-03-16,Scotland,England,6,8,England,Five Nations Championship
1968-03-23,Wales,France,9,14,France,Five Nations Championship
1968-05-05,Czech Republic,France,6,19,France,France in Czechoslovakia
1968-06-08,South Africa,British Lions,25,20,South Africa,British Lions in South Africa
1968-06-15,Australia,All Blacks,11,27,All Blacks,Bledisloe Cup
1968-06-22,Australia,All Blacks,18,19,All Blacks,Bledisloe Cup
1968-06-22,South Africa,British Lions,6,6,Draw,British Lions in South Africa
1968-07-13,All Blacks,France,12,9,All Blacks,France in New Zealand & Australia
1968-07-13,South Africa,British Lions,11,6,South Africa,British Lions in South Africa
1968-07-27,All Blacks,France,9,3,All Blacks,France in New Zealand & Australia
1968-07-27,South Africa,British Lions,19,6,South Africa,British Lions in South Africa
1968-08-17,Australia,France,11,10,Australia,France in New Zealand & Australia
1968-10-10,All Blacks,France,19,12,All Blacks,France in New Zealand & Australia
1968-10-26,Ireland,Australia,10,3,Ireland,Australia in United Kingdom
1968-11-06,Scotland,Australia,9,3,Scotland,Australia in United Kingdom
1968-11-09,France,South Africa,9,12,South Africa,South Africa in France
1968-11-16,France,South Africa,11,16,South Africa,South Africa in France
1968-12-01,Romania,France,15,14,Romania,France in Romania
1969-01-11,France,Scotland,3,6,Scotland,Five Nations Championship
1969-01-25,Ireland,France,17,9,Ireland,Five Nations Championship
1969-02-01,Scotland,Wales,3,17,Wales,Five Nations Championship
1969-02-08,Ireland,England,17,15,Ireland,Five Nations Championship
1969-02-22,England,France,22,8,England,Five Nations Championship
1969-02-22,Scotland,Ireland,0,16,Ireland,Five Nations Championship
1969-03-08,Wales,Ireland,24,11,Wales,Five Nations Championship
1969-03-15,England,Scotland,8,3,England,Five Nations Championship
1969-03-22,France,Wales,8,8,Draw,Five Nations Championship
1969-04-12,Wales,England,30,9,Wales,Five Nations Championship
1969-05-31,All Blacks,Wales,19,0,All Blacks,Wales in New Zealand & Australia
1969-06-14,All Blacks,Wales,33,12,All Blacks,Wales in New Zealand & Australia
1969-06-21,Australia,Wales,16,19,Wales,Wales in New Zealand & Australia
1969-08-02,South Africa,Australia,30,11,South Africa,Australia in South Africa
1969-08-16,South Africa,Australia,16,9,South Africa,Australia in South Africa
1969-09-06,South Africa,Australia,11,3,South Africa,Australia in South Africa
1969-09-20,South Africa,Australia,19,8,South Africa,Australia in South Africa
1969-12-06,Scotland,South Africa,6,3,Scotland,South Africa in United Kingdom (1969-70)
1969-12-14,France,Romania,14,9,France,Romania in France
1969-12-20,England,South Africa,11,8,England,South Africa in United Kingdom (1969-70)
1970-01-10,Ireland,South Africa,8,8,Draw,South Africa in United Kingdom (1969-70)
1970-01-10,Scotland,France,9,11,France,Five Nations Championship
1970-01-24,France,Ireland,8,0,France,Five Nations Championship
1970-01-24,Wales,South Africa,6,6,Draw,South Africa in United Kingdom (1969-70)
1970-02-07,Wales,Scotland,18,9,Wales,Five Nations Championship
1970-02-14,England,Ireland,9,3,England,Five Nations Championship
1970-02-28,England,Wales,13,17,Wales,Five Nations Championship
1970-02-28,Ireland,Scotland,16,11,Ireland,Five Nations Championship
1970-03-14,Ireland,Wales,14,0,Ireland,Five Nations Championship
1970-03-21,Scotland,England,14,5,Scotland,Five Nations Championship
1970-04-04,Wales,France,11,6,Wales,Five Nations Championship
1970-04-18,France,England,35,13,France,Five Nations Championship
1970-06-06,Australia,Scotland,23,3,Australia,Scotland in Australia
1970-07-25,South Africa,All Blacks,17,6,South Africa,All Blacks in Australia & South Africa
1970-08-08,South Africa,All Blacks,8,9,All Blacks,All Blacks in Australia & South Africa
1970-08-29,South Africa,All Blacks,14,3,South Africa,All Blacks in Australia & South Africa
1970-09-12,South Africa,All Blacks,20,17,South Africa,All Blacks in Australia & South Africa
1970-11-29,Romania,France,3,14,France,France in Romania
1971-01-16,France,Scotland,13,8,France,Five Nations Championship
1971-01-16,Wales,England,22,6,Wales,Five Nations Championship
1971-01-30,Ireland,France,9,9,Draw,Five Nations Championship
1971-02-06,Scotland,Wales,18,19,Wales,Five Nations Championship
1971-02-13,Ireland,England,6,9,England,Five Nations Championship
1971-02-27,England,France,14,14,Draw,Five Nations Championship
1971-02-27,Scotland,Ireland,5,17,Ireland,Five Nations Championship
1971-03-13,Wales,Ireland,23,9,Wales,Five Nations Championship
1971-03-20,England,Scotland,15,16,Scotland,Five Nations Championship
1971-03-27,France,Wales,5,9,Wales,Five Nations Championship
1971-03-27,Scotland,England,26,6,Scotland,RFU Centenary Matches
1971-06-12,South Africa,France,22,9,South Africa,France in South Africa
1971-06-19,South Africa,France,8,8,Draw,France in South Africa
1971-06-26,All Blacks,British Lions,3,9,British Lions,British Lions in Australia & New Zealand
1971-07-10,All Blacks,British Lions,22,12,All Blacks,British Lions in Australia & New Zealand
1971-07-17,Australia,South Africa,11,19,South Africa,South Africa in Australia
1971-07-31,All Blacks,British Lions,3,13,British Lions,British Lions in Australia & New Zealand
1971-07-31,Australia,South Africa,6,14,South Africa,South Africa in Australia
1971-08-07,Australia,South Africa,6,18,South Africa,South Africa in Australia
1971-08-14,All Blacks,British Lions,14,14,Draw,British Lions in Australia & New Zealand
1971-11-20,France,Australia,11,13,Australia,Australia in France
1971-11-27,France,Australia,18,9,France,Australia in France
1971-12-11,France,Romania,31,12,France,Romania in France
1972-01-15,England,Wales,3,12,Wales,Five Nations Championship
1972-01-15,Scotland,France,20,9,Scotland,Five Nations Championship
1972-01-29,France,Ireland,9,14,Ireland,Five Nations Championship
1972-02-05,Wales,Scotland,35,12,Wales,Five Nations Championship
1972-02-12,England,Ireland,12,16,Ireland,Five Nations Championship
1972-02-26,France,England,37,12,France,Five Nations Championship
1972-03-18,Scotland,England,23,9,Scotland,Five Nations Championship
1972-03-25,Wales,France,20,6,Wales,Five Nations Championship
1972-04-29,Ireland,France,24,14,Ireland,France in Ireland
1972-06-03,South Africa,England,9,18,England,England in South Africa
1972-06-17,Australia,France,14,14,Draw,France in Australia
1972-06-25,Australia,France,15,16,France,France in Australia
1972-08-19,All Blacks,Australia,29,6,All Blacks,Australia in New Zealand & Fiji
1972-09-02,All Blacks,Australia,30,17,All Blacks,Australia in New Zealand & Fiji
1972-09-16,All Blacks,Australia,38,3,All Blacks,Australia in New Zealand & Fiji
1972-09-19,Fiji,Australia,19,21,Australia,Australia in New Zealand & Fiji
1972-11-26,Romania,France,6,15,France,France in Romania
1972-12-02,Wales,All Blacks,16,19,All Blacks,All Blacks in North America & Europe
1972-12-16,Scotland,All Blacks,9,14,All Blacks,All Blacks in North America & Europe
1973-01-06,England,All Blacks,0,9,All Blacks,All Blacks in North America & Europe
1973-01-13,France,Scotland,16,13,France,Five Nations Championship
1973-01-20,Ireland,All Blacks,10,10,Draw,All Blacks in North America & Europe
1973-01-20,Wales,England,25,9,Wales,Five Nations Championship
1973-02-03,Scotland,Wales,10,9,Scotland,Five Nations Championship
1973-02-10,France,All Blacks,13,6,France,All Blacks in North America & Europe
1973-02-10,Ireland,England,18,9,Ireland,Five Nations Championship
1973-02-24,England,France,14,6,England,Five Nations Championship
1973-02-24,Scotland,Ireland,19,14,Scotland,Five Nations Championship
1973-03-10,Wales,Ireland,16,12,Wales,Five Nations Championship
1973-03-17,England,Scotland,20,13,England,Five Nations Championship
1973-03-24,France,Wales,12,3,France,Five Nations Championship
1973-04-14,Ireland,France,6,4,Ireland,Five Nations Championship
1973-06-23,Australia,Tonga,30,12,Australia,Tonga in Australia
1973-06-30,Australia,Tonga,11,16,Tonga,Tonga in Australia
1973-09-15,All Blacks,England,10,16,England,England in Fiji & New Zealand
1973-11-10,Wales,Australia,24,0,Wales,Australia in United Kingdom
1973-11-11,France,Japan,30,18,France,Japan in France
1973-11-11,France,Romania,7,6,France,Romania in France
1973-11-17,England,Australia,20,3,England,Australia in United Kingdom
1974-01-19,France,Ireland,9,6,France,Five Nations Championship
1974-01-19,Wales,Scotland,6,0,Wales,Five Nations Championship
1974-02-02,Ireland,Wales,9,9,Draw,Five Nations Championship
1974-02-02,Scotland,England,16,14,Scotland,Five Nations Championship
1974-02-16,England,Ireland,21,26,Ireland,Five Nations Championship
1974-02-16,Wales,France,16,16,Draw,Five Nations Championship
1974-03-02,France,England,12,12,Draw,Five Nations Championship
1974-03-02,Ireland,Scotland,9,6,Ireland,Five Nations Championship
1974-03-16,England,Wales,16,12,England,Five Nations Championship
1974-03-16,Scotland,France,19,6,Scotland,Five Nations Championship
1974-05-25,Australia,All Blacks,6,11,All Blacks,All Blacks in Australia & Fiji
1974-06-01,Australia,All Blacks,16,16,Draw,All Blacks in Australia & Fiji
1974-06-08,Australia,All Blacks,6,16,All Blacks,All Blacks in Australia & Fiji
1974-06-08,South Africa,British Lions,3,12,British Lions,British Lions in South Africa
1974-06-22,South Africa,British Lions,9,28,British Lions,British Lions in South Africa
1974-06-29,Argentina,France,27,31,France,France in South America
1974-07-13,South Africa,British Lions,9,26,British Lions,British Lions in South Africa
1974-07-27,South Africa,British Lions,13,13,Draw,British Lions in South Africa
1974-10-13,Romania,France,15,10,Romania,France in Romania
1974-11-23,France,South Africa,4,13,South Africa,South Africa in France
1974-11-23,Ireland,All Blacks,6,15,All Blacks,All Blacks in UK & Ireland
1974-11-30,France,South Africa,8,10,South Africa,South Africa in France
1975-01-18,France,Wales,10,25,Wales,Five Nations Championship
1975-01-18,Ireland,England,12,9,Ireland,Five Nations Championship
1975-02-01,England,France,20,27,France,Five Nations Championship
1975-02-01,Scotland,Ireland,20,13,Scotland,Five Nations Championship
1975-02-15,France,Scotland,10,9,France,Five Nations Championship
1975-02-15,Wales,England,20,4,Wales,Five Nations Championship
1975-03-01,Ireland,France,25,6,Ireland,Five Nations Championship
1975-03-01,Scotland,Wales,12,10,Scotland,Five Nations Championship
1975-03-15,England,Scotland,7,6,England,Five Nations Championship
1975-03-15,Wales,Ireland,32,4,Wales,Five Nations Championship
1975-05-24,Australia,England,16,9,Australia,England in Australia
1975-05-31,Australia,England,30,21,Australia,England in Australia
1975-06-14,All Blacks,Scotland,24,0,All Blacks,Scotland in New Zealand
1975-06-21,South Africa,France,38,25,South Africa,France in South Africa
1975-06-28,South Africa,France,33,18,South Africa,France in South Africa
1975-08-02,Australia,Japan,37,7,Australia,Japan in Australia
1975-08-17,Australia,Japan,50,25,Australia,Japan in Australia
1975-10-19,France,Argentina,29,6,France,Argentina in France
1975-10-25,France,Argentina,36,21,France,Argentina in France
1975-11-23,France,Romania,36,12,France,Romania in France
1975-12-06,Scotland,Australia,10,3,Scotland,"Australia in Britain, Ireland & United States (1975-76)"
1975-12-20,Wales,Australia,28,3,Wales,"Australia in Britain, Ireland & United States (1975-76)"
1976-01-03,England,Australia,23,6,England,"Australia in Britain, Ireland & United States (1975-76)"
1976-01-10,Scotland,France,6,13,France,Five Nations Championship
1976-01-17,England,Wales,9,21,Wales,Five Nations Championship
1976-01-17,Ireland,Australia,10,20,Australia,"Australia in Britain, Ireland & United States (1975-76)"
1976-01-31,United States,Australia,12,24,Australia,"Australia in Britain, Ireland & United States (1975-76)"
1976-02-07,France,Ireland,26,3,France,Five Nations Championship
1976-02-07,Wales,Scotland,28,6,Wales,Five Nations Championship
1976-02-21,Ireland,Wales,9,34,Wales,Five Nations Championship
1976-02-21,Scotland,England,22,12,Scotland,Five Nations Championship
1976-03-06,England,Ireland,12,13,Ireland,Five Nations Championship
1976-03-06,Wales,France,19,13,Wales,Five Nations Championship
1976-03-20,France,England,30,9,France,Five Nations Championship
1976-03-20,Ireland,Scotland,6,15,Scotland,Five Nations Championship
1976-06-05,All Blacks,Ireland,11,3,All Blacks,Ireland in New Zealand & Fiji
1976-06-12,Australia,Fiji,22,6,Australia,Fiji in Australia
1976-06-12,United States,France,14,33,France,France in United States
1976-06-19,Australia,Fiji,21,9,Australia,Fiji in Australia
1976-06-26,Australia,Fiji,27,17,Australia,Fiji in Australia
1976-07-24,South Africa,All Blacks,16,7,South Africa,All Blacks in South Africa
1976-08-14,South Africa,All Blacks,9,15,All Blacks,All Blacks in South Africa
1976-09-04,South Africa,All Blacks,15,10,South Africa,All Blacks in South Africa
1976-09-18,South Africa,All Blacks,15,14,South Africa,All Blacks in South Africa
1976-10-24,France,Australia,18,15,France,Australia in France & Italy
1976-10-30,France,Australia,34,6,France,Australia in France & Italy
1976-11-14,Romania,France,15,12,Romania,France in Romania
1977-01-15,England,Scotland,26,6,England,Five Nations Championship
1977-01-15,Wales,Ireland,25,9,Wales,Five Nations Championship
1977-02-05,France,Wales,16,9,France,Five Nations Championship
1977-02-05,Ireland,England,0,4,England,Five Nations Championship
1977-02-19,England,France,3,4,France,Five Nations Championship
1977-02-19,Scotland,Ireland,21,18,Scotland,Five Nations Championship
1977-03-05,France,Scotland,23,3,France,Five Nations Championship
1977-03-05,Wales,England,14,9,Wales,Five Nations Championship
1977-03-19,Ireland,France,6,15,France,Five Nations Championship
1977-03-19,Scotland,Wales,9,18,Wales,Five Nations Championship
1977-06-18,All Blacks,British Lions,16,12,All Blacks,British Lions in New Zealand & Fiji
1977-06-25,Argentina,France,3,26,France,France in Argentina
1977-07-02,Argentina,France,18,18,Draw,France in Argentina
1977-07-09,All Blacks,British Lions,9,13,British Lions,British Lions in New Zealand & Fiji
1977-07-30,All Blacks,British Lions,19,7,All Blacks,British Lions in New Zealand & Fiji
1977-08-13,All Blacks,British Lions,10,9,All Blacks,British Lions in New Zealand & Fiji
1977-08-27,South Africa,World XV,45,24,South Africa,World XV in South Africa
1977-11-11,France,All Blacks,18,13,France,All Blacks in France
1977-11-19,France,All Blacks,3,15,All Blacks,All Blacks in France
1977-12-10,France,Romania,9,6,France,Romania in France
1978-01-21,France,England,15,6,France,Five Nations Championship
1978-01-21,Ireland,Scotland,12,9,Ireland,Five Nations Championship
1978-02-04,England,Wales,6,9,Wales,Five Nations Championship
1978-02-04,Scotland,France,16,19,France,Five Nations Championship
1978-02-18,France,Ireland,10,9,France,Five Nations Championship
1978-02-18,Wales,Scotland,22,14,Wales,Five Nations Championship
1978-03-04,Ireland,Wales,16,20,Wales,Five Nations Championship
1978-03-04,Scotland,England,0,15,England,Five Nations Championship
1978-03-18,England,Ireland,15,9,England,Five Nations Championship
1978-03-18,Wales,France,16,7,Wales,Five Nations Championship
1978-06-11,Australia,Wales,18,8,Australia,Wales in Australia
1978-06-17,Australia,Wales,19,17,Australia,Wales in Australia
1978-08-19,All Blacks,Australia,13,12,All Blacks,Bledisloe Cup
1978-08-26,All Blacks,Australia,22,6,All Blacks,Bledisloe Cup
1978-09-09,All Blacks,Australia,16,30,Australia,Bledisloe Cup
1978-11-04,Ireland,All Blacks,6,10,All Blacks,All Blacks in United Kingdom
1978-11-11,Wales,All Blacks,12,13,All Blacks,All Blacks in United Kingdom
1978-11-25,England,All Blacks,6,16,All Blacks,All Blacks in United Kingdom
1978-12-03,Romania,France,6,9,France,France in Romania
1978-12-09,Scotland,All Blacks,9,18,All Blacks,All Blacks in United Kingdom
1979-01-20,Ireland,France,9,9,Draw,Five Nations Championship
1979-01-20,Scotland,Wales,13,19,Wales,Five Nations Championship
1979-02-03,England,Scotland,7,7,Draw,Five Nations Championship
1979-02-03,Wales,Ireland,24,21,Wales,Five Nations Championship
1979-02-17,France,Wales,14,13,France,Five Nations Championship
1979-02-17,Ireland,England,12,7,Ireland,Five Nations Championship
1979-03-03,England,France,7,6,England,Five Nations Championship
1979-03-03,Scotland,Ireland,11,11,Draw,Five Nations Championship
1979-03-17,France,Scotland,21,17,France,Five Nations Championship
1979-03-17,Wales,England,27,3,Wales,Five Nations Championship
1979-06-03,Australia,Ireland,12,27,Ireland,Ireland in Australia
1979-06-16,Australia,Ireland,3,9,Ireland,Ireland in Australia
1979-07-07,All Blacks,France,23,9,All Blacks,France in Fiji & New Zealand
1979-07-14,All Blacks,France,19,24,France,France in Fiji & New Zealand
1979-07-28,Australia,All Blacks,12,6,Australia,All Blacks in Australia
1979-10-27,Argentina,Australia,24,13,Argentina,Australia in Argentina
1979-11-03,Argentina,Australia,12,17,Australia,Australia in Argentina
1979-11-10,Scotland,All Blacks,6,20,All Blacks,All Blacks in Northern Hemisphere
1979-11-24,England,All Blacks,9,10,All Blacks,All Blacks in Northern Hemisphere
1979-12-02,France,Romania,30,12,France,Romania in France
1980-01-19,England,Ireland,24,9,England,Five Nations Championship
1980-01-19,Wales,France,18,9,Wales,Five Nations Championship
1980-02-02,France,England,13,17,England,Five Nations Championship
1980-02-02,Ireland,Scotland,22,15,Ireland,Five Nations Championship
1980-02-16,England,Wales,9,8,England,Five Nations Championship
1980-02-16,Scotland,France,22,14,Scotland,Five Nations Championship
1980-03-01,France,Ireland,19,18,France,Five Nations Championship
1980-03-01,Wales,Scotland,17,6,Wales,Five Nations Championship
1980-03-15,Ireland,Wales,21,7,Ireland,Five Nations Championship
1980-03-15,Scotland,England,18,30,England,Five Nations Championship
1980-04-26,South Africa,South America,24,9,South Africa,South America in South Africa
1980-05-03,South Africa,South America,18,9,South Africa,South America in South Africa
1980-05-24,Fiji,Australia,9,22,Australia,Australia in Fiji
1980-05-31,South Africa,British Lions,26,22,South Africa,British Lions in South Africa
1980-06-03,Western Samoa,Tonga,12,15,Tonga,Tonga in Western Samoa
1980-06-14,Fiji,Italy,16,3,Fiji,"Italy in United States, New Zealand & The Pacific"
1980-06-14,South Africa,British Lions,26,19,South Africa,British Lions in South Africa
1980-06-21,Australia,All Blacks,13,9,Australia,All Blacks in Australia & Fiji
1980-06-28,Australia,All Blacks,9,12,All Blacks,All Blacks in Australia & Fiji
1980-06-28,South Africa,British Lions,12,10,South Africa,British Lions in South Africa
1980-07-05,Cook Islands,Italy,15,6,Cook Islands,"Italy in United States, New Zealand & The Pacific"
1980-07-12,Australia,All Blacks,26,10,Australia,All Blacks in Australia & Fiji
1980-07-12,South Africa,British Lions,13,17,British Lions,British Lions in South Africa
1980-07-23,Fiji,All Blacks,6,30,All Blacks,All Blacks in Australia & Fiji
1980-09-13,All Blacks,Fiji,33,0,All Blacks,Fiji in New Zealand
1980-10-18,South America,South Africa,13,22,South Africa,South Africa in South America
1980-10-25,South America,South Africa,16,30,South Africa,South Africa in South America
1980-11-01,Argentina,Fiji,34,22,Argentina,Fiji in Argentina
1980-11-01,Wales,All Blacks,3,23,All Blacks,All Blacks in North America & Wales
1980-11-08,Argentina,Fiji,38,16,Argentina,Fiji in Argentina
1980-11-08,South Africa,France,37,15,South Africa,France in South Africa
1980-11-23,Romania,France,15,0,Romania,France in Romania
1981-01-17,France,Scotland,16,9,France,Five Nations Championship
1981-01-17,Wales,England,21,19,Wales,Five Nations Championship
