PlayerID,Rating,MatchesPlayed,FramesPlayed,FirstMatchDate,LastMatchDate,EntryRating
212,2757.705361,86,1130,1979-04-16 00:00:00,1986-04-19 00:00:00,2674.657888
470,2747.031267,93,1201,1975-01-13 00:00:00,1986-04-19 00:00:00,2622.204235
469,2738.239451,32,341,1982-10-11 00:00:00,1986-04-19 00:00:00,2647.324233
468,2718.303229,65,838,1976-01-26 00:00:00,1986-04-19 00:00:00,2615.052327
153,2715.785424,1,18,1986-04-19 00:00:00,1986-04-19 00:00:00,2727.718511
20,2707.940108,53,691,1981-04-07 00:00:00,1986-04-19 00:00:00,2664.007301
2877,2691.263844,71,800,1979-04-16 00:00:00,1986-04-19 00:00:00,2667.023553
408,2686.507287,20,228,1983-10-10 00:00:00,1986-04-19 00:00:00,2675.901531
2878,2678.100659,85,1015,1975-01-13 00:00:00,1986-04-19 00:00:00,2638.149402
181,2677.759811,50,619,1981-04-07 00:00:00,1986-04-19 00:00:00,2648.137668
668,2672.82844,17,169,1984-04-21 00:00:00,1986-04-19 00:00:00,2669.845857
2874,2672.665651,46,484,1980-05-22 00:00:00,1986-04-19 00:00:00,2646.393548
2184,2672.235679,41,525,1977-04-18 00:00:00,1986-04-19 00:00:00,2637.315014
2870,2670.234653,62,748,1979-04-16 00:00:00,1986-04-19 00:00:00,2605.684844
3449,2668.979819,63,817,1975-01-13 00:00:00,1986-04-19 00:00:00,2613.812456
2879,2664.473599,29,329,1982-04-30 00:00:00,1986-04-19 00:00:00,2645.566045
806,2653.850889,65,783,1977-02-07 00:00:00,1986-04-19 00:00:00,2602.997034
3484,2648.139893,44,495,1977-04-18 00:00:00,1986-04-19 00:00:00,2604.775931
795,2644.248347,7,52,1984-10-20 00:00:00,1986-02-16 00:00:00,2662.088763
1298,2640.652669,10,76,1984-10-20 00:00:00,1986-02-16 00:00:00,2649.595252
41,2631.913748,4,29,1985-10-19 00:00:00,1986-02-16 00:00:00,2646.075608
205,2629.45211,20,203,1982-04-30 00:00:00,1986-04-19 00:00:00,2616.53703
802,2626.259266,3,25,1984-10-20 00:00:00,1985-10-19 00:00:00,2629.308486
2045,2625.66078,3,30,1985-01-04 00:00:00,1985-01-04 00:00:00,2600
3460,2622.982416,6,53,1983-10-10 00:00:00,1985-02-17 00:00:00,2641.349935
3324,2620.112445,19,183,1982-10-11 00:00:00,1986-04-19 00:00:00,2613.372872
3445,2620.05909,10,117,1980-05-22 00:00:00,1986-02-16 00:00:00,2584.064754
1355,2620.004184,7,66,1983-10-10 00:00:00,1986-02-16 00:00:00,2623.552942
800,2614.747676,7,61,1984-10-20 00:00:00,1986-02-16 00:00:00,2631.78364
3515,2613.806502,27,249,1975-01-13 00:00:00,1986-04-19 00:00:00,2595.854237
3701,2613.356603,19,155,1982-10-11 00:00:00,1986-02-16 00:00:00,2600
2875,2611.94496,83,1052,1975-01-13 00:00:00,1986-04-19 00:00:00,2658.375138
452,2610.062875,41,479,1977-04-18 00:00:00,1986-04-19 00:00:00,2598.554384
2881,2608.622809,5,38,1984-10-20 00:00:00,1986-02-16 00:00:00,2603.95927
3288,2608.118116,2,17,1985-10-19 00:00:00,1985-10-19 00:00:00,2600
3501,2605.276967,2,11,1986-02-16 00:00:00,1986-02-16 00:00:00,2600
2876,2604.046848,55,590,1975-01-13 00:00:00,1986-04-19 00:00:00,2625.150966
