Source,Country,Competition,CompetitionType,Tier,League,Season,Date,HomeRaw,AwayRaw,HomeGoals,AwayGoals,Score,Result,SourceURL
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-11-17,Alania Vladikavkaz,R. Volgograd,0,1,0-1,0-1,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-11-17,Dyn. Moscow,Lok. Moscow,1,2,1-2,0-1,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-11-17,FC Moscow,FK Rostov,2,0,2-0,1-0,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-11-17,FK Elista,Anzhi,0,1,0-1,0-1,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-11-17,Saratov,Yaroslavl,1,3,1-3,0-1,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-11-17,Saturn Ramenskoye,CSKA Moscow,0,3,0-3,0-1,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-11-17,Sp. Moscow,Torpedo Moscow,0,1,0-1,0-1,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-11-17,Zenit,Samara,1,2,1-2,0-1,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-11-10,Anzhi,Alania Vladikavkaz,0,1,0-1,0-1,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-11-10,FK Rostov,Saratov,1,1,1-1,0.5-0.5,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-11-10,Lok. Moscow,Zenit,2,1,2-1,1-0,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-11-10,R. Volgograd,FK Elista,2,0,2-0,1-0,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-11-10,Samara,Dyn. Moscow,0,0,0-0,0.5-0.5,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-11-10,Torpedo Moscow,Saturn Ramenskoye,1,1,1-1,0.5-0.5,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-11-10,Yaroslavl,FC Moscow,2,0,2-0,1-0,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-11-09,CSKA Moscow,Sp. Moscow,2,1,2-1,1-0,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-11-06,Alania Vladikavkaz,Lok. Moscow,1,1,1-1,0.5-0.5,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-11-03,FC Moscow,Samara,0,2,0-2,0-1,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-11-02,Saturn Ramenskoye,R. Volgograd,2,1,2-1,1-0,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-11-02,Alania Vladikavkaz,CSKA Moscow,0,1,0-1,0-1,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-11-02,Saratov,Lok. Moscow,0,3,0-3,0-1,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-11-02,Zenit,FK Rostov,0,2,0-2,0-1,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-11-02,Dyn. Moscow,Yaroslavl,0,1,0-1,0-1,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-11-02,FK Elista,Torpedo Moscow,0,1,0-1,0-1,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-10-27,CSKA Moscow,FK Elista,2,1,2-1,1-0,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-10-26,Torpedo Moscow,Alania Vladikavkaz,2,0,2-0,1-0,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-10-26,FK Rostov,Dyn. Moscow,1,1,1-1,0.5-0.5,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-10-26,R. Volgograd,Sp. Moscow,0,3,0-3,0-1,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-10-26,Samara,Saratov,0,1,0-1,0-1,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-10-26,Yaroslavl,Zenit,1,1,1-1,0.5-0.5,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-10-26,Anzhi,Saturn Ramenskoye,1,1,1-1,0.5-0.5,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-10-18,Lok. Moscow,FC Moscow,3,0,3-0,1-0,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-10-07,FC Moscow,Anzhi,1,0,1-0,1-0,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-10-06,Dyn. Moscow,Torpedo Moscow,3,3,3-3,0.5-0.5,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-10-06,Alania Vladikavkaz,Yaroslavl,2,1,2-1,1-0,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-10-06,Saturn Ramenskoye,Lok. Moscow,2,1,2-1,1-0,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-10-06,Sp. Moscow,Samara,3,1,3-1,1-0,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-10-06,FK Elista,FK Rostov,0,0,0-0,0.5-0.5,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-10-06,Saratov,R. Volgograd,3,1,3-1,1-0,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-10-06,Zenit,CSKA Moscow,0,2,0-2,0-1,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-09-28,Torpedo Moscow,FC Moscow,2,1,2-1,1-0,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-09-28,FK Rostov,Saturn Ramenskoye,2,1,2-1,1-0,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-09-28,R. Volgograd,Zenit,2,1,2-1,1-0,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-09-28,Samara,Alania Vladikavkaz,1,0,1-0,1-0,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-09-28,CSKA Moscow,Saratov,3,0,3-0,1-0,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-09-28,Anzhi,Dyn. Moscow,0,1,0-1,0-1,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-09-23,Zenit,Anzhi,2,2,2-2,0.5-0.5,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-09-23,FC Moscow,CSKA Moscow,0,2,0-2,0-1,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-09-21,Saratov,Torpedo Moscow,0,4,0-4,0-1,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,2002,2002-09-21,Saturn Ramenskoye,Yaroslavl,2,3,2-3,0-1,https://www.flashscore.co.uk/football/russia/premier-league-2002/results/
