date,season,week,game_type,tournament,home_team,away_team,away_score_raw,home_score_raw,result,HomeScore,AwayScore,HomeFirstAppearance,AwayFirstAppearance,HomeGamesBefore,AwayGamesBefore,HomeRating_Before,AwayRating_Before,HomeStartRating,AwayStartRating,ExpectedHome,ExpectedAway,KHome,KAway,HomeRating_After,AwayRating_After,HomeGamesAfter,AwayGamesAfter
1999-09-19,1999,2,REG,NFL Regular Season,SF,NO,21,28,SF,1,0,FALSE,FALSE,1,1,1466.20731614571,1486.20731614571,1476.20731614571,1476.20731614571,0.471249436107731,0.528750563892269,20,20,1476.78232742356,1475.63230486787,2,2
1999-09-19,1999,2,REG,NFL Regular Season,BUF,NYJ,3,17,BUF,1,0,FALSE,FALSE,1,1,1466.20731614571,1466.20731614571,1476.20731614571,1476.20731614571,0.5,0.5,20,20,1476.20731614571,1456.20731614571,2,2
1999-09-19,1999,2,REG,NFL Regular Season,MIN,OAK,22,17,OAK,0,1,FALSE,FALSE,1,1,1486.20731614571,1466.20731614571,1476.20731614571,1476.20731614571,0.528750563892269,0.471249436107731,20,20,1475.63230486787,1476.78232742356,2,2
1999-09-19,1999,2,REG,NFL Regular Season,BAL,PIT,23,20,PIT,0,1,FALSE,FALSE,1,1,1466.20731614571,1486.20731614571,1476.20731614571,1476.20731614571,0.471249436107731,0.528750563892269,20,20,1456.78232742356,1495.63230486787,2,2
1999-09-19,1999,2,REG,NFL Regular Season,CIN,SD,34,7,SD,0,1,FALSE,TRUE,1,0,1466.20731614571,1476.18957081654,1476.20731614571,1476.18957081654,0.485638332308794,0.514361667691206,20,20,1456.49454949954,1485.90233746271,2,1
1999-09-19,1999,2,REG,NFL Regular Season,CHI,SEA,14,13,SEA,0,1,FALSE,FALSE,1,1,1486.20731614571,1466.20731614571,1476.20731614571,1476.20731614571,0.528750563892269,0.471249436107731,20,20,1475.63230486787,1476.78232742356,2,2
1999-09-19,1999,2,REG,NFL Regular Season,PHI,TB,19,5,TB,0,1,FALSE,FALSE,1,1,1466.20731614571,1466.20731614571,1476.20731614571,1476.20731614571,0.5,0.5,20,20,1456.20731614571,1476.20731614571,2,2
1999-09-19,1999,2,REG,NFL Regular Season,NYG,WAS,50,21,WAS,0,1,FALSE,FALSE,1,1,1486.20731614571,1466.20731614571,1476.20731614571,1476.20731614571,0.528750563892269,0.471249436107731,20,20,1475.63230486787,1476.78232742356,2,2
1999-09-20,1999,2,REG,NFL Regular Season,DAL,ATL,7,24,DAL,1,0,FALSE,FALSE,1,1,1486.20731614571,1466.20731614571,1476.20731614571,1476.20731614571,0.528750563892269,0.471249436107731,20,20,1495.63230486787,1456.78232742356,2,2
1999-09-26,1999,3,REG,NFL Regular Season,STL,ATL,7,35,STL,1,0,FALSE,FALSE,1,2,1486.20731614571,1456.78232742356,1476.20731614571,1476.20731614571,0.54224500711022,0.45775499288978,20,20,1495.36241600351,1447.62722756576,2,3
1999-09-26,1999,3,REG,NFL Regular Season,OAK,CHI,17,24,OAK,1,0,FALSE,FALSE,2,2,1476.78232742356,1475.63230486787,1476.20731614571,1476.20731614571,0.501655009451579,0.498344990548421,20,20,1486.74922723453,1465.6654050569,3,3
1999-09-26,1999,3,REG,NFL Regular Season,CAR,CIN,3,27,CAR,1,0,FALSE,FALSE,2,2,1456.78232742356,1456.49454949954,1476.20731614571,1476.20731614571,0.500414145629005,0.499585854370996,20,20,1466.77404451098,1446.50283241212,3,3
1999-09-26,1999,3,REG,NFL Regular Season,BAL,CLE,10,17,BAL,1,0,FALSE,FALSE,2,2,1456.78232742356,1456.78232742356,1476.20731614571,1476.20731614571,0.5,0.5,20,20,1466.78232742356,1446.78232742356,3,3
1999-09-26,1999,3,REG,NFL Regular Season,TB,DEN,10,13,TB,1,0,FALSE,FALSE,2,2,1476.20731614571,1456.20485406321,1476.20731614571,1476.20478109869,0.528754095397142,0.471245904602858,20,20,1485.63223423777,1446.77993597115,3,3
1999-09-26,1999,3,REG,NFL Regular Season,KC,DET,21,31,KC,1,0,FALSE,FALSE,2,2,1476.2072431812,1496.20731614571,1476.20731614571,1476.20731614571,0.471249331450534,0.528750668549466,20,20,1486.78225655219,1485.63230277473,3,3
1999-09-26,1999,3,REG,NFL Regular Season,SD,IND,27,19,IND,0,1,FALSE,FALSE,1,2,1485.90233746271,1476.20731614571,1476.18957081654,1476.20731614571,0.513948636989231,0.48605136301077,20,20,1475.62336472293,1486.4862888855,2,3
1999-09-26,1999,3,REG,NFL Regular Season,GB,MIN,20,23,GB,1,0,FALSE,FALSE,2,2,1476.20731614571,1475.63230486787,1476.20731614571,1476.20731614571,0.500827506992384,0.499172493007616,20,20,1486.19076600587,1465.64885500772,3,3
1999-09-26,1999,3,REG,NFL Regular Season,NE,NYG,14,16,NE,1,0,FALSE,FALSE,2,2,1496.20731614571,1475.63230486787,1476.20731614571,1476.20731614571,0.529575256350336,0.470424743649664,20,20,1505.61581101871,1466.22380999488,3,3
1999-09-26,1999,3,REG,NFL Regular Season,BUF,PHI,0,26,BUF,1,0,FALSE,FALSE,2,2,1476.20731614571,1456.20731614571,1476.20731614571,1476.20731614571,0.528750563892269,0.471249436107731,20,20,1485.63230486787,1446.78232742356,3,3
1999-09-26,1999,3,REG,NFL Regular Season,PIT,SEA,29,10,SEA,0,1,FALSE,FALSE,2,2,1495.63230486787,1476.78232742356,1476.20731614571,1476.20731614571,0.527100712514422,0.472899287485578,20,20,1485.09029061758,1487.32434167385,3,3
1999-09-26,1999,3,REG,NFL Regular Season,JAX,TEN,20,19,TEN,0,1,FALSE,FALSE,2,2,1495.63230486787,1495.63230486787,1476.20731614571,1476.20731614571,0.5,0.5,20,20,1485.63230486787,1505.63230486787,3,3
1999-09-26,1999,3,REG,NFL Regular Season,NYJ,WAS,27,20,WAS,0,1,FALSE,FALSE,2,2,1456.20731614571,1476.78232742356,1476.20731614571,1476.20731614571,0.470424743649664,0.529575256350336,20,20,1446.79882127272,1486.19082229655,3,3
1999-09-27,1999,3,REG,NFL Regular Season,ARI,SF,24,10,SF,0,1,FALSE,FALSE,2,2,1476.2072431812,1476.78232742356,1476.20731614571,1476.20731614571,0.499172388003521,0.50082761199648,20,20,1466.22379542113,1486.76577518363,3,3
1999-10-03,1999,4,REG,NFL Regular Season,DAL,ARI,7,35,DAL,1,0,FALSE,FALSE,2,3,1495.63230486787,1466.22379542113,1476.20731614571,1476.20731614571,0.542221460727363,0.457778539272637,20,20,1504.78787565332,1457.06822463567,3,4
1999-10-03,1999,4,REG,NFL Regular Season,ATL,BAL,19,13,BAL,0,1,FALSE,FALSE,3,3,1447.62722756576,1466.78232742356,1476.20731614571,1476.20731614571,0.47246149199135,0.52753850800865,20,20,1438.17799772594,1476.23155726339,4,4
1999-10-03,1999,4,REG,NFL Regular Season,WAS,CAR,36,38,WAS,1,0,FALSE,FALSE,3,3,1486.19082229655,1466.77404451098,1476.20731614571,1476.20731614571,0.527913934812252,0.472086065187748,20,20,1495.63254360031,1457.33232320722,4,4
1999-10-03,1999,4,REG,NFL Regular Season,PIT,JAX,17,3,JAX,0,1,FALSE,FALSE,3,3,1485.09029061758,1485.63230486787,1476.20731614571,1476.20731614571,0.499219979424722,0.500780020575278,20,20,1475.10589102909,1495.61670445636,4,4
1999-10-03,1999,4,REG,NFL Regular Season,SD,KC,14,21,SD,1,0,FALSE,FALSE,2,3,1475.62336472293,1486.78225655219,1476.18957081654,1476.20731614571,0.483946583391366,0.516053416608634,20,20,1485.9444330551,1476.46118822001,3,4
1999-10-03,1999,4,REG,NFL Regular Season,CLE,NE,19,7,NE,0,1,FALSE,FALSE,3,3,1446.78232742356,1505.61581101871,1476.20731614571,1476.20731614571,0.416131916546727,0.583868083453273,20,20,1438.45968909263,1513.93844934964,4,4
1999-10-03,1999,4,REG,NFL Regular Season,CHI,NO,10,14,CHI,1,0,FALSE,FALSE,3,2,1465.6654050569,1475.63230486787,1476.20731614571,1476.20731614571,0.485660411525404,0.514339588474597,20,20,1475.95219682639,1465.34551309838,4,3
1999-10-03,1999,4,REG,NFL Regular Season,DEN,NYJ,21,13,NYJ,0,1,FALSE,FALSE,3,3,1446.77993597115,1446.79882127272,1476.20478109869,1476.20731614571,0.499972821866357,0.500027178133643,20,20,1436.78047953382,1456.79827771005,4,4
1999-10-03,1999,4,REG,NFL Regular Season,SEA,OAK,21,22,SEA,1,0,FALSE,FALSE,3,3,1487.32434167385,1486.74922723453,1476.20731614571,1476.20731614571,0.500827655453274,0.499172344546727,20,20,1497.30778856478,1476.76578034359,4,4
1999-10-03,1999,4,REG,NFL Regular Season,NYG,PHI,15,16,NYG,1,0,FALSE,FALSE,3,3,1466.22380999488,1446.78232742356,1476.20731614571,1476.20731614571,0.52794937690612,0.47205062309388,20,20,1475.66482245675,1437.34131496168,4,4
1999-10-03,1999,4,REG,NFL Regular Season,CIN,STL,38,10,STL,0,1,FALSE,FALSE,3,2,1446.50283241212,1495.36241600351,1476.20731614571,1476.20731614571,0.430145296420509,0.569854703579491,20,20,1437.89992648371,1503.96532193192,4,3
1999-10-03,1999,4,REG,NFL Regular Season,MIN,TB,14,21,MIN,1,0,FALSE,FALSE,3,3,1465.64885500772,1485.63223423777,1476.20731614571,1476.20731614571,0.471273276297993,0.528726723702007,20,20,1476.22338948176,1475.05769976373,4,4
