Date,Country,League,Tier,Season,Home,Away,Score,Result,CompetitionType,Source,SourcePage
2004-09-22,UEFA,UEFA 2nd Division,2,2004–05,Maccabi Petah Tikva,Heerenveen,"","",Continental,Wikipedia,2004–05 UEFA Cup first round
2007-02-15,UEFA,UEFA 2nd Division,2,2006–07,Feyenoord,Tottenham Hotspur,"","",Continental,Wikipedia,2006–07 UEFA Cup knockout stage
2007-02-22,UEFA,UEFA 2nd Division,2,2006–07,Tottenham Hotspur,Feyenoord,"","",Continental,Wikipedia,2006–07 UEFA Cup knockout stage
2008-08-14,UEFA,UEFA 2nd Division,2,2008–09,WIT Georgia,Austria Wien,"","",Continental,Wikipedia,2008–09 UEFA Cup qualifying rounds
2022-03-10,UEFA,UEFA 2nd Division,2,2021–22,RB Leipzig,Spartak Moscow,"","",Continental,Wikipedia,2021–22 UEFA Europa League knockout phase
2022-03-17,UEFA,UEFA 2nd Division,2,2021–22,Spartak Moscow,RB Leipzig,"","",Continental,Wikipedia,2021–22 UEFA Europa League knockout phase
