MatchID,MatchDate,DateSource,EventID,EventName,EventSeason,EventStartDate,EventEndDate,RawMatchDate,SourceFile,PlayerA_ID,PlayerA_Name,PlayerA_Nationality,PlayerB_ID,PlayerB_Name,PlayerB_Nationality,WinnerID,Winner_Name,Winner_Nationality,WinnerFromScore,WinnerFromScore_Name,WinnerFromScore_Nationality,ScoreA,ScoreB,FramesA,FramesB,TotalFrames,AFirstAppearance,BFirstAppearance,AGamesBefore,BGamesBefore,AFramesBefore,BFramesBefore,ARating_Before,BRating_Before,AStartRating,BStartRating,ABaseK,BBaseK,AKMultiplier,BKMultiplier,AEffectiveK,BEffectiveK,ExpectedA,ExpectedB,OppWeightA,OppWeightB,ActualScoreA,ActualScoreB,DeltaA,DeltaB,ARating_After,BRating_After,AGamesAfter,BGamesAfter,AFramesAfter,BFramesAfter
9364662,2000-10-01 00:00:00,EventStart_Pre2008Season,2328,British Open,2000,2000-10-01 00:00:00,2000-10-08 00:00:00,2025-04-15 09:27:37,matches_2000_all.csv,3209,Terry Murphy,Northern Ireland,30,Stuart Bingham,England,3209,Terry Murphy,Northern Ireland,3209,Terry Murphy,Northern Ireland,5,3,5,3,8,FALSE,FALSE,36,21,374,302,2665.37335027439,2699.78002984021,2652.01366787184,2664.72075429549,5,5,1,1,5,5,0.450646040820498,0.549353959179502,1,1,0.625,0.375,6.97415836718009,-6.97415836718009,2672.34750864157,2692.80587147303,37,22,382,310
9364663,2000-10-01 00:00:00,EventStart_Pre2008Season,2328,British Open,2000,2000-10-01 00:00:00,2000-10-08 00:00:00,2025-04-15 09:27:37,matches_2000_all.csv,657,Brian Morgan,England,92,Robert Milkins,England,92,Robert Milkins,England,92,Robert Milkins,England,0,5,0,5,5,FALSE,FALSE,65,15,673,214,2680.39999895884,2657.66980423929,2652.31399876382,2634.99768407562,5,5,1,1,5,5,0.532664789730528,0.467335210269472,1,1,0,1,-13.3166197432632,13.3166197432632,2667.08337921558,2670.98642398256,66,16,678,219
9364664,2000-10-01 00:00:00,EventStart_Pre2008Season,2328,British Open,2000,2000-10-01 00:00:00,2000-10-08 00:00:00,2025-04-15 09:27:37,matches_2000_all.csv,212,Steve Davis,England,1348,Kristjan Helgason,Iceland,212,Steve Davis,England,212,Steve Davis,England,5,4,5,4,9,FALSE,FALSE,326,11,3478,150,2729.96820876492,2692.24596355512,2674.65788820987,2665.08599333241,5,5,1,1,5,5,0.554074362182025,0.445925637817975,1,1,0.555555555555556,0.444444444444444,0.0666537018088853,-0.0666537018088853,2730.03486246673,2692.17930985331,327,12,3487,159
9364665,2000-10-01 00:00:00,EventStart_Pre2008Season,2328,British Open,2000,2000-10-01 00:00:00,2000-10-08 00:00:00,2025-04-15 09:27:37,matches_2000_all.csv,41,Tony Drago,Malta,713,John Lardner,Scotland,41,Tony Drago,Malta,41,Tony Drago,Malta,5,4,5,4,9,FALSE,FALSE,132,14,1138,172,2701.99299138169,2674.38652047772,2646.0756082668,2642.54227585187,5,5,1,1,5,5,0.539645505786573,0.460354494213427,1,1,0.555555555555556,0.444444444444444,0.715952239604221,-0.715952239604221,2702.70894362129,2673.67056823812,133,15,1147,181
9364666,2000-10-01 00:00:00,EventStart_Pre2008Season,2328,British Open,2000,2000-10-01 00:00:00,2000-10-08 00:00:00,2025-04-15 09:27:37,matches_2000_all.csv,33,Dominic Dale,Wales,804,Gary Wilkinson,England,33,Dominic Dale,Wales,33,Dominic Dale,Wales,5,3,5,3,8,FALSE,FALSE,55,119,606,1134,2729.64222309,2685.63406349837,2644.85583858459,2665.00430525806,5,5,1,1,5,5,0.562996284330591,0.437003715669409,1,1,0.625,0.375,2.48014862677637,-2.48014862677637,2732.12237171677,2683.1539148716,56,120,614,1142
9364667,2000-10-01 00:00:00,EventStart_Pre2008Season,2328,British Open,2000,2000-10-01 00:00:00,2000-10-08 00:00:00,2025-04-15 09:27:37,matches_2000_all.csv,52,Graeme Dott,Scotland,672,Jonathan Birch,England,52,Graeme Dott,Scotland,52,Graeme Dott,Scotland,5,1,5,1,6,FALSE,FALSE,41,38,423,433,2708.19823811141,2636.65959173804,2677.78458092588,2610.87907095129,5,5,1,1,5,5,0.601521695945718,0.398478304054282,1,1,0.833333333333333,0.166666666666667,6.95434912162845,-6.95434912162845,2715.15258723304,2629.70524261642,42,39,429,439
9364668,2000-10-01 00:00:00,EventStart_Pre2008Season,2328,British Open,2000,2000-10-01 00:00:00,2000-10-08 00:00:00,2025-04-15 09:27:37,matches_2000_all.csv,1166,Drew Henry,Scotland,83,Shokat Ali,Pakistan,83,Shokat Ali,Pakistan,83,Shokat Ali,Pakistan,4,5,4,5,9,FALSE,FALSE,44,20,538,196,2711.52612196801,2608.92288783364,2706.00490577129,2598.42850203525,5,5,1,1,5,5,0.643510072392376,0.356489927607624,1,1,0.444444444444444,0.555555555555556,-8.95795325765691,8.95795325765691,2702.56816871035,2617.8808410913,45,21,547,205
9364669,2000-10-01 00:00:00,EventStart_Pre2008Season,2328,British Open,2000,2000-10-01 00:00:00,2000-10-08 00:00:00,2025-04-15 09:27:37,matches_2000_all.csv,2745,Quinten Hann,Australia,125,Michael Holt,England,2745,Quinten Hann,Australia,2745,Quinten Hann,Australia,5,2,5,2,7,FALSE,FALSE,29,15,274,179,2699.10817626824,2638.9425707291,2703.31308359024,2628.20216001758,5,5,1,1,5,5,0.585730016666044,0.414269983333956,1,1,0.714285714285714,0.285714285714286,4.49944941668846,-4.49944941668846,2703.60762568493,2634.44312131241,30,16,281,186
9364670,2000-10-01 00:00:00,EventStart_Pre2008Season,2328,British Open,2000,2000-10-01 00:00:00,2000-10-08 00:00:00,2025-04-15 09:27:37,matches_2000_all.csv,223,Darren Morgan,Wales,1426,Anthony Davies,Wales,1426,Anthony Davies,Wales,1426,Anthony Davies,Wales,3,5,3,5,8,FALSE,FALSE,121,39,1216,441,2671.25777820511,2679.47379333469,2622.12338157215,2663.21658978112,5,5,1,1,5,5,0.488178407271001,0.511821592728999,1,1,0.375,0.625,-4.52713629084004,4.52713629084004,2666.73064191427,2684.00092962553,122,40,1224,449
9364671,2000-10-01 00:00:00,EventStart_Pre2008Season,2328,British Open,2000,2000-10-01 00:00:00,2000-10-08 00:00:00,2025-04-15 09:27:37,matches_2000_all.csv,714,Billy Snaddon,Scotland,520,Lee Walker,Wales,714,Billy Snaddon,Scotland,714,Billy Snaddon,Scotland,5,2,5,2,7,FALSE,FALSE,54,20,568,286,2681.77640594218,2686.84557110817,2654.16813866531,2706.55246489042,5,5,1,1,5,5,0.492705402513979,0.507294597486021,1,1,0.714285714285714,0.285714285714286,7.75531091201073,-7.75531091201073,2689.53171685419,2679.09026019616,55,21,575,293
9364672,2000-10-01 00:00:00,EventStart_Pre2008Season,2328,British Open,2000,2000-10-01 00:00:00,2000-10-08 00:00:00,2025-04-15 09:27:37,matches_2000_all.csv,2880,Chris Small,Scotland,3221,Gary Ponting,England,3221,Gary Ponting,England,3221,Gary Ponting,England,3,5,3,5,8,FALSE,FALSE,57,25,625,311,2707.48850266785,2678.44068000777,2645.98374490765,2637.94112530171,5,5,1,1,5,5,0.541706047002391,0.458293952997609,1,1,0.375,0.625,-6.66824188009563,6.66824188009563,2700.82026078776,2685.10892188786,58,26,633,319
9364673,2000-10-01 00:00:00,EventStart_Pre2008Season,2328,British Open,2000,2000-10-01 00:00:00,2000-10-08 00:00:00,2025-04-15 09:27:37,matches_2000_all.csv,14,Nigel Bond,England,130,David Gray,England,130,David Gray,England,130,David Gray,England,0,5,0,5,5,FALSE,FALSE,125,21,1244,246,2704.24608614306,2680.39921103501,2698.84872106548,2659.49561198169,5,5,1,1,5,5,0.534264621819773,0.465735378180227,1,1,0,1,-13.3566155454943,13.3566155454943,2690.88947059756,2693.75582658051,126,22,1249,251
9364674,2000-10-01 00:00:00,EventStart_Pre2008Season,2328,British Open,2000,2000-10-01 00:00:00,2000-10-08 00:00:00,2025-04-15 09:27:37,matches_2000_all.csv,20,Jimmy White,England,37,Peter Lines,England,20,Jimmy White,England,20,Jimmy White,England,5,3,5,3,8,FALSE,FALSE,272,26,3151,302,2704.44679156326,2660.83205605638,2664.00730147513,2623.24680930579,5,5,1,1,5,5,0.56243900994957,0.43756099005043,1,1,0.625,0.375,2.50243960201719,-2.50243960201719,2706.94923116527,2658.32961645437,273,27,3159,310
9364675,2000-10-01 00:00:00,EventStart_Pre2008Season,2328,British Open,2000,2000-10-01 00:00:00,2000-10-08 00:00:00,2025-04-15 09:27:37,matches_2000_all.csv,168,Joe Perry,England,3219,Troy Shaw,England,168,Joe Perry,England,168,Joe Perry,England,5,0,5,0,5,FALSE,FALSE,28,16,344,188,2722.93788376816,2602.85936371036,2701.4596224945,2574.04311940283,5,5,1,1,5,5,0.66623994029755,0.33376005970245,1,1,1,0,8.34400149256126,-8.34400149256126,2731.28188526073,2594.51536221779,29,17,349,193
9364676,2000-10-01 00:00:00,EventStart_Pre2008Season,2328,British Open,2000,2000-10-01 00:00:00,2000-10-08 00:00:00,2025-04-15 09:27:37,matches_2000_all.csv,28,Mark King,England,1049,Steve James,England,28,Mark King,England,28,Mark King,England,5,0,5,0,5,FALSE,FALSE,64,113,641,1113,2729.05632661458,2638.74656422239,2650.41419841964,2661.36302063012,5,5,1,1,5,5,0.627116147182969,0.372883852817031,1,1,1,0,9.32209632042577,-9.32209632042577,2738.378422935,2629.42446790196,65,114,646,1118
9364677,2000-10-01 00:00:00,EventStart_Pre2008Season,2328,British Open,2000,2000-10-01 00:00:00,2000-10-08 00:00:00,2025-04-15 09:27:37,matches_2000_all.csv,193,James Wattana,Thailand,25,Andrew Higginson,England,193,James Wattana,Thailand,193,James Wattana,Thailand,5,4,5,4,9,FALSE,FALSE,156,8,1497,122,2683.75224574229,2667.88287213511,2698.82987360658,2645.58210388717,5,5,1,1,5,5,0.522821995681261,0.477178004318739,1,1,0.555555555555556,0.444444444444444,1.47301019434325,-1.47301019434325,2685.22525593663,2666.40986194077,157,9,1506,131
9364678,2000-10-01 00:00:00,EventStart_Pre2008Season,2328,British Open,2000,2000-10-01 00:00:00,2000-10-08 00:00:00,2025-04-15 09:29:07,matches_2000_all.csv,153,Stephen Hendry,Scotland,3209,Terry Murphy,Northern Ireland,153,Stephen Hendry,Scotland,153,Stephen Hendry,Scotland,5,2,5,2,7,FALSE,FALSE,301,37,3207,382,2781.34207342511,2672.34750864157,2727.71851092324,2652.01366787184,5,5,1,1,5,5,0.651904939968483,0.348095060031517,1,1,0.714285714285714,0.285714285714286,2.18332710110309,-2.1833271011031,2783.52540052622,2670.16418154047,302,38,3214,389
9364679,2000-10-01 00:00:00,EventStart_Pre2008Season,2328,British Open,2000,2000-10-01 00:00:00,2000-10-08 00:00:00,2025-04-15 09:29:07,matches_2000_all.csv,35,Joe Swail,Northern Ireland,92,Robert Milkins,England,92,Robert Milkins,England,92,Robert Milkins,England,2,5,2,5,7,FALSE,FALSE,78,16,791,219,2710.86853650565,2670.98642398256,2661.36017761865,2634.99768407562,5,5,1,1,5,5,0.557144202534288,0.442855797465712,1,1,0.285714285714286,0.714285714285714,-9.50004708870009,9.50004708870009,2701.36848941695,2680.48647107126,79,17,798,226
9364680,2000-10-01 00:00:00,EventStart_Pre2008Season,2328,British Open,2000,2000-10-01 00:00:00,2000-10-08 00:00:00,2025-04-15 09:41:10,matches_2000_all.csv,63,Fergal O'Brien,Ireland,212,Steve Davis,England,212,Steve Davis,England,212,Steve Davis,England,4,5,4,5,9,FALSE,FALSE,64,327,650,3487,2721.74362023169,2730.03486246673,2692.3706339272,2674.65788820987,5,5,1,1,5,5,0.488070207836974,0.511929792163026,1,1,0.444444444444444,0.555555555555556,-1.96315935266381,1.96315935266381,2719.78046087903,2731.9980218194,65,328,659,3496
