MatchID,MatchDate,DateSource,EventID,EventName,EventSeason,EventStartDate,EventEndDate,RawMatchDate,SourceFile,PlayerA_ID,PlayerA_Name,PlayerA_Nationality,PlayerB_ID,PlayerB_Name,PlayerB_Nationality,WinnerID,Winner_Name,Winner_Nationality,WinnerFromScore,WinnerFromScore_Name,WinnerFromScore_Nationality,ScoreA,ScoreB,FramesA,FramesB,TotalFrames,AFirstAppearance,BFirstAppearance,AGamesBefore,BGamesBefore,AFramesBefore,BFramesBefore,ARating_Before,BRating_Before,AStartRating,BStartRating,ABaseK,BBaseK,AKMultiplier,BKMultiplier,AEffectiveK,BEffectiveK,ExpectedA,ExpectedB,OppWeightA,OppWeightB,ActualScoreA,ActualScoreB,DeltaA,DeltaB,ARating_After,BRating_After,AGamesAfter,BGamesAfter,AFramesAfter,BFramesAfter
8769231,1993-10-18 00:00:00,EventStart_Pre2008Season,2064,Grand Prix,1993,1993-10-18 00:00:00,1993-10-31 00:00:00,2024-07-10 08:51:54,matches_1993_all.csv,20,Jimmy White,England,2874,Tony Meo,England,20,Jimmy White,England,20,Jimmy White,England,5,2,5,2,7,FALSE,FALSE,185,103,2240,1057,2768.6154039943,2652.73182161997,2664.00730147513,2646.39354799738,5,5,1,1,5,5,0.660848907475694,0.339151092524306,1,1,0.714285714285714,0.285714285714286,1.87028823835069,-1.87028823835069,2770.48569223265,2650.86153338162,186,104,2247,1064
8769232,1993-10-18 00:00:00,EventStart_Pre2008Season,2064,Grand Prix,1993,1993-10-18 00:00:00,1993-10-31 00:00:00,2024-07-10 08:51:54,matches_1993_all.csv,3213,Jason Ferguson,England,549,Robin Hull,Finland,3213,Jason Ferguson,England,3213,Jason Ferguson,England,5,4,5,4,9,FALSE,TRUE,21,0,233,0,2671.70809642278,2613.17738098505,2673.17551562986,2613.17738098505,5,5,1,1,5,5,0.583444562371118,0.416555437628882,1,1,0.555555555555556,0.444444444444444,-1.25500530670029,1.25500530670029,2670.45309111608,2614.43238629175,22,1,242,9
8769233,1993-10-18 00:00:00,EventStart_Pre2008Season,2064,Grand Prix,1993,1993-10-18 00:00:00,1993-10-31 00:00:00,2024-07-10 08:51:54,matches_1993_all.csv,3242,Mark Bennett,England,179,Stuart Pettman,England,179,Stuart Pettman,England,179,Stuart Pettman,England,3,5,3,5,8,FALSE,TRUE,47,0,424,0,2673.58537804287,2605.0243192208,2601.58734543655,2605.0243192208,5,5,1,1,5,5,0.597406202203395,0.402593797796605,1,1,0.375,0.625,-8.89624808813579,8.89624808813579,2664.68912995473,2613.92056730894,48,1,432,8
8769234,1993-10-18 00:00:00,EventStart_Pre2008Season,2064,Grand Prix,1993,1993-10-18 00:00:00,1993-10-31 00:00:00,2024-07-10 08:51:54,matches_1993_all.csv,170,Ken Doherty,Ireland,3296,Jamie Woodman,England,170,Ken Doherty,Ireland,170,Ken Doherty,Ireland,5,2,5,2,7,FALSE,FALSE,40,3,396,23,2742.35338672737,2605.98967619509,2703.13268866811,2600,5,5,1,1,5,5,0.686750836089819,0.313249163910181,1,1,0.714285714285714,0.285714285714286,0.963720736856333,-0.963720736856331,2743.31710746423,2605.02595545824,41,4,403,30
8769235,1993-10-18 00:00:00,EventStart_Pre2008Season,2064,Grand Prix,1993,1993-10-18 00:00:00,1993-10-31 00:00:00,2024-07-10 08:51:54,matches_1993_all.csv,223,Darren Morgan,Wales,3324,Eugene Hughes,Ireland,223,Darren Morgan,Wales,223,Darren Morgan,Wales,5,0,5,0,5,FALSE,FALSE,45,57,427,505,2678.66283271749,2615.78748154994,2622.12338157215,2613.37287236945,5,5,1,1,5,5,0.589509879123563,0.410490120876437,1,1,1,0,10.2622530219109,-10.2622530219109,2688.9250857394,2605.52522852803,46,58,432,510
8769236,1993-10-18 00:00:00,EventStart_Pre2008Season,2064,Grand Prix,1993,1993-10-18 00:00:00,1993-10-31 00:00:00,2024-07-10 08:51:54,matches_1993_all.csv,667,Dene O'Kane,New Zealand,3209,Terry Murphy,Northern Ireland,667,Dene O'Kane,New Zealand,667,Dene O'Kane,New Zealand,5,0,5,0,5,FALSE,FALSE,59,2,547,27,2645.24809062968,2639.07173539263,2635.37223544571,2652.01366787184,5,5,1,1,5,5,0.50888755348805,0.49111244651195,1,1,1,0,12.2778111627988,-12.2778111627988,2657.52590179248,2626.79392422983,60,3,552,32
8769237,1993-10-18 00:00:00,EventStart_Pre2008Season,2064,Grand Prix,1993,1993-10-18 00:00:00,1993-10-31 00:00:00,2024-07-10 08:51:54,matches_1993_all.csv,181,Tony Knowles,England,2878,Alex Higgins,Northern Ireland,181,Tony Knowles,England,181,Tony Knowles,England,5,1,5,1,6,FALSE,FALSE,126,132,1311,1474,2638.55694744477,2647.87241425368,2648.13766805974,2638.14940218891,5,5,1,1,5,5,0.486597177170959,0.513402822829041,1,1,0.833333333333333,0.166666666666667,10.4020846848712,-10.4020846848712,2648.95903212965,2637.47032956881,127,133,1317,1480
8769238,1993-10-18 00:00:00,EventStart_Pre2008Season,2064,Grand Prix,1993,1993-10-18 00:00:00,1993-10-31 00:00:00,2024-07-10 08:51:54,matches_1993_all.csv,2184,Willie Thorne,England,657,Brian Morgan,England,657,Brian Morgan,England,657,Brian Morgan,England,3,5,3,5,8,FALSE,FALSE,122,17,1261,180,2699.31169269752,2656.52628838924,2637.31501397125,2652.31399876382,5,5,1,1,5,5,0.561263770440897,0.438736229559103,1,1,0.375,0.625,-7.4505508176359,7.4505508176359,2691.86114187988,2663.97683920687,123,18,1269,188
8769239,1993-10-18 00:00:00,EventStart_Pre2008Season,2064,Grand Prix,1993,1993-10-18 00:00:00,1993-10-31 00:00:00,2024-07-10 08:51:54,matches_1993_all.csv,2877,Terry Griffiths,Wales,38,Gerard Greene,Northern Ireland,38,Gerard Greene,Northern Ireland,38,Gerard Greene,Northern Ireland,2,5,2,5,7,FALSE,TRUE,171,0,1816,0,2691.4846721439,2650.07103492475,2667.02355254285,2650.07103492475,5,5,1,1,5,5,0.559318345511445,0.440681654488556,1,1,0.285714285714286,0.714285714285714,-9.57614209290055,9.57614209290055,2681.908530051,2659.64717701765,172,1,1823,7
8769240,1993-10-18 00:00:00,EventStart_Pre2008Season,2064,Grand Prix,1993,1993-10-18 00:00:00,1993-10-31 00:00:00,2024-07-10 08:51:54,matches_1993_all.csv,41,Tony Drago,Malta,13,Stephen Lee,England,13,Stephen Lee,England,13,Stephen Lee,England,4,5,4,5,9,FALSE,FALSE,62,6,509,42,2667.46209105667,2704.03981582109,2646.0756082668,2693.21413052306,5,5,1,1,5,5,0.447554044699567,0.552445955300433,1,1,0.444444444444444,0.555555555555556,-0.139932011480508,0.139932011480508,2667.32215904519,2704.17974783257,63,7,518,51
