MatchID,MatchDate,DateSource,EventID,EventName,EventSeason,EventStartDate,EventEndDate,RawMatchDate,SourceFile,PlayerA_ID,PlayerA_Name,PlayerA_Nationality,PlayerB_ID,PlayerB_Name,PlayerB_Nationality,WinnerID,Winner_Name,Winner_Nationality,WinnerFromScore,WinnerFromScore_Name,WinnerFromScore_Nationality,ScoreA,ScoreB,FramesA,FramesB,TotalFrames,AFirstAppearance,BFirstAppearance,AGamesBefore,BGamesBefore,AFramesBefore,BFramesBefore,ARating_Before,BRating_Before,AStartRating,BStartRating,ABaseK,BBaseK,AKMultiplier,BKMultiplier,AEffectiveK,BEffectiveK,ExpectedA,ExpectedB,OppWeightA,OppWeightB,ActualScoreA,ActualScoreB,DeltaA,DeltaB,ARating_After,BRating_After,AGamesAfter,BGamesAfter,AFramesAfter,BFramesAfter
8768849,1996-10-16 00:00:00,EventStart_Pre2008Season,2067,Grand Prix,1996,1996-10-16 00:00:00,1996-10-27 00:00:00,2024-07-10 05:07:35,matches_1996_all.csv,193,James Wattana,Thailand,52,Graeme Dott,Scotland,193,James Wattana,Thailand,193,James Wattana,Thailand,5,4,5,4,9,FALSE,FALSE,112,5,1054,53,2725.27079269475,2676.72223637863,2698.82987360658,2677.78458092588,5,5,1,1,5,5,0.569415781232363,0.430584218767637,1,1,0.555555555555556,0.444444444444444,-0.623710155456321,0.623710155456321,2724.64708253929,2677.34594653408,113,6,1063,62
8768850,1996-10-16 00:00:00,EventStart_Pre2008Season,2067,Grand Prix,1996,1996-10-16 00:00:00,1996-10-27 00:00:00,2024-07-10 05:07:35,matches_1996_all.csv,51,Andy Hicks,England,716,Paul McPhillips,Scotland,716,Paul McPhillips,Scotland,716,Paul McPhillips,Scotland,3,5,3,5,8,FALSE,FALSE,30,11,392,130,2731.02611062624,2616.3847631085,2680.11629308963,2616.30830374822,5,5,1,1,5,5,0.659244359265669,0.340755640734331,1,1,0.375,0.625,-11.3697743706268,11.3697743706268,2719.65633625562,2627.75453747913,31,12,400,138
8768851,1996-10-16 00:00:00,EventStart_Pre2008Season,2067,Grand Prix,1996,1996-10-16 00:00:00,1996-10-27 00:00:00,2024-07-10 05:07:35,matches_1996_all.csv,223,Darren Morgan,Wales,3255,Karl Broughton,England,223,Darren Morgan,Wales,223,Darren Morgan,Wales,5,1,5,1,6,FALSE,FALSE,84,12,835,135,2747.03852061508,2607.15822426859,2622.12338157215,2605.86318592789,5,5,1,1,5,5,0.69108906578152,0.30891093421848,1,1,0.833333333333333,0.166666666666667,4.26732802655439,-4.26732802655439,2751.30584864164,2602.89089624204,85,13,841,141
8768852,1996-10-16 00:00:00,EventStart_Pre2008Season,2067,Grand Prix,1996,1996-10-16 00:00:00,1996-10-27 00:00:00,2024-07-10 05:07:35,matches_1996_all.csv,3258,Mick Price,Ireland,2871,Jason Prince,Northern Ireland,3258,Mick Price,Ireland,3258,Mick Price,Ireland,5,4,5,4,9,FALSE,FALSE,40,26,411,287,2649.12848282667,2627.22623936888,2645.47470356184,2594.66331417258,5,5,1,1,5,5,0.53147817493813,0.46852182506187,1,1,0.555555555555556,0.444444444444444,1.08348212778414,-1.08348212778414,2650.21196495445,2626.14275724109,41,27,420,296
8768853,1996-10-16 00:00:00,EventStart_Pre2008Season,2067,Grand Prix,1996,1996-10-16 00:00:00,1996-10-27 00:00:00,2024-07-10 05:07:35,matches_1996_all.csv,668,Neal Foulds,England,15,Mark Davis,England,668,Neal Foulds,England,668,Neal Foulds,England,5,2,5,2,7,FALSE,FALSE,136,17,1362,237,2655.80682085091,2708.43850992395,2669.84585653093,2700.48212788131,5,5,1,1,5,5,0.424831027166086,0.575168972833914,1,1,0.714285714285714,0.285714285714286,10.130914049187,-10.130914049187,2665.9377349001,2698.30759587477,137,18,1369,244
8768854,1996-10-16 00:00:00,EventStart_Pre2008Season,2067,Grand Prix,1996,1996-10-16 00:00:00,1996-10-27 00:00:00,2024-07-10 05:07:35,matches_1996_all.csv,408,John Parrott,England,469,Joe Johnson,England,408,John Parrott,England,408,John Parrott,England,5,4,5,4,9,FALSE,FALSE,172,116,1817,1158,2703.41409021199,2644.27328329752,2675.90153149846,2647.32423272239,5,5,1,1,5,5,0.584297849824996,0.415702150175004,1,1,0.555555555555556,0.444444444444444,-1.29340324212483,1.29340324212483,2702.12068696987,2645.56668653965,173,117,1826,1167
8768855,1996-10-16 00:00:00,EventStart_Pre2008Season,2067,Grand Prix,1996,1996-10-16 00:00:00,1996-10-27 00:00:00,2024-07-10 05:07:35,matches_1996_all.csv,42,Peter Ebdon,England,3242,Mark Bennett,England,3242,Mark Bennett,England,3242,Mark Bennett,England,3,5,3,5,8,FALSE,FALSE,70,61,755,549,2781.53736036697,2641.45711084036,2730.0833810011,2601.58734543655,5,5,1,1,5,5,0.69133473783507,0.30866526216493,1,1,0.375,0.625,-12.6533895134028,12.6533895134028,2768.88397085357,2654.11050035376,71,62,763,557
8768856,1996-10-16 00:00:00,EventStart_Pre2008Season,2067,Grand Prix,1996,1996-10-16 00:00:00,1996-10-27 00:00:00,2024-07-10 05:07:35,matches_1996_all.csv,2880,Chris Small,Scotland,1191,Paul Hunter,England,2880,Chris Small,Scotland,2880,Chris Small,Scotland,5,4,5,4,9,FALSE,FALSE,19,2,276,23,2676.39897195778,2651.63564254974,2645.98374490765,2671.0581942307,5,5,1,1,5,5,0.535577071470532,0.464422928529468,1,1,0.555555555555556,0.444444444444444,0.899031783826043,-0.899031783826043,2677.2980037416,2650.73661076591,20,3,285,32
8768857,1996-10-16 00:00:00,EventStart_Pre2008Season,2067,Grand Prix,1996,1996-10-16 00:00:00,1996-10-27 00:00:00,2024-07-10 05:07:35,matches_1996_all.csv,2184,Willie Thorne,England,38,Gerard Greene,Northern Ireland,38,Gerard Greene,Northern Ireland,38,Gerard Greene,Northern Ireland,2,5,2,5,7,FALSE,FALSE,143,6,1475,81,2682.52501983712,2669.86853148929,2637.31501397125,2650.07103492475,5,5,1,1,5,5,0.518206098294353,0.481793901705647,1,1,0.285714285714286,0.714285714285714,-8.13721344030235,8.13721344030235,2674.38780639681,2678.0057449296,144,7,1482,88
8768858,1996-10-16 00:00:00,EventStart_Pre2008Season,2067,Grand Prix,1996,1996-10-16 00:00:00,1996-10-27 00:00:00,2024-07-10 05:07:35,matches_1996_all.csv,212,Steve Davis,England,3273,John Giles,England,212,Steve Davis,England,212,Steve Davis,England,5,2,5,2,7,FALSE,FALSE,266,6,2962,87,2727.63451050016,2624.25119285476,2674.65788820987,2600,5,5,1,1,5,5,0.644539554716588,0.355460445283412,1,1,0.714285714285714,0.285714285714286,2.44111558491941,-2.44111558491941,2730.07562608508,2621.81007726984,267,7,2969,94
