Season,League,Date,Home,Away,Result,Score,Source,SourceSeasonFolder,SourceFile
2005/06,National League,2005-08-13,Accrington,Canvey Island,1-0,1-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-13,Aldershot,Tamworth,0-1,0-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-13,Burton,Grays,0.5-0.5,1-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-13,Dag and Red,Southport,1-0,3-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-13,Forest Green,Cambridge,1-0,1-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-13,Gravesend,Exeter,0-1,0-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-13,Hereford,Scarborough,1-0,4-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-13,Kidderminster,Woking,1-0,2-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-13,Morecambe,Halifax,1-0,1-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-13,Stevenage,Altrincham,1-0,3-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-13,York,Crawley Town,0.5-0.5,0-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-16,Altrincham,Accrington,0-1,0-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-16,Cambridge,Hereford,1-0,2-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-16,Canvey Island,Aldershot,1-0,2-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-16,Crawley Town,Dag and Red,0.5-0.5,0-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-16,Exeter,Kidderminster,1-0,1-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-16,Grays,Gravesend,1-0,6-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-16,Halifax,Burton,1-0,1-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-16,Scarborough,Morecambe,0-1,0-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-16,Southport,York,0-1,1-4,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-16,Tamworth,Forest Green,0.5-0.5,0-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-16,Woking,Stevenage,1-0,3-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-20,Altrincham,Forest Green,1-0,2-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-20,Cambridge,Accrington,1-0,3-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-20,Canvey Island,Gravesend,0-1,1-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-20,Crawley Town,Hereford,0-1,0-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-20,Exeter,Morecambe,1-0,2-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-20,Grays,York,0.5-0.5,1-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-20,Halifax,Aldershot,0.5-0.5,1-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-20,Scarborough,Kidderminster,0.5-0.5,1-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-20,Southport,Stevenage,1-0,3-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-20,Tamworth,Dag and Red,0.5-0.5,2-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-20,Woking,Burton,0.5-0.5,2-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-26,York,Woking,1-0,2-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-27,Accrington,Exeter,0-1,1-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-27,Aldershot,Altrincham,0-1,0-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-27,Burton,Canvey Island,0-1,1-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-27,Dag and Red,Scarborough,0-1,0-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-27,Forest Green,Halifax,0.5-0.5,2-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-27,Gravesend,Cambridge,0.5-0.5,0-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-27,Hereford,Grays,0-1,0-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-27,Kidderminster,Southport,0.5-0.5,1-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-27,Morecambe,Crawley Town,1-0,3-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-27,Stevenage,Tamworth,1-0,3-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-29,Altrincham,Morecambe,1-0,2-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-29,Cambridge,Kidderminster,0-1,0-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-29,Canvey Island,Dag and Red,0-1,1-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-29,Crawley Town,Stevenage,0-1,1-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-29,Exeter,Forest Green,0.5-0.5,0-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-29,Grays,Aldershot,1-0,2-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-29,Halifax,York,1-0,1-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-29,Scarborough,Accrington,0.5-0.5,2-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-29,Southport,Burton,1-0,3-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-29,Tamworth,Hereford,0-1,0-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-29,Woking,Gravesend,0-1,1-3,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-02,Forest Green,Grays,0-1,1-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-02,Kidderminster,Canvey Island,1-0,3-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-02,York,Cambridge,1-0,1-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-03,Accrington,Woking,1-0,2-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-03,Burton,Scarborough,1-0,2-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-03,Dag and Red,Exeter,0.5-0.5,2-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-03,Gravesend,Southport,1-0,2-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-03,Hereford,Altrincham,0.5-0.5,0-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-03,Morecambe,Tamworth,0.5-0.5,0-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-03,Stevenage,Halifax,1-0,1-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-05,Aldershot,Crawley Town,1-0,3-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-10,Altrincham,Dag and Red,0-1,0-5,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-10,Burton,Accrington,0-1,0-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-10,Crawley Town,Canvey Island,1-0,3-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-10,Exeter,Cambridge,1-0,4-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-10,Forest Green,York,0-1,1-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-10,Grays,Kidderminster,0.5-0.5,2-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-10,Halifax,Tamworth,1-0,4-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-10,Morecambe,Aldershot,1-0,5-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-10,Scarborough,Gravesend,1-0,3-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-10,Stevenage,Hereford,0.5-0.5,0-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-10,Woking,Southport,1-0,1-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-17,Accrington,Crawley Town,1-0,4-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-17,Aldershot,Stevenage,0.5-0.5,2-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-17,Cambridge,Woking,0-1,0-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-17,Canvey Island,Scarborough,1-0,1-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-17,Dag and Red,Burton,1-0,3-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-17,Gravesend,Halifax,1-0,4-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-17,Hereford,Morecambe,1-0,1-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-17,Kidderminster,Forest Green,0-1,1-3,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-17,Southport,Exeter,0-1,0-3,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-17,Tamworth,Grays,0.5-0.5,2-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-17,York,Altrincham,1-0,5-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-20,Accrington,Aldershot,1-0,3-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-20,Altrincham,Scarborough,0.5-0.5,1-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-20,Burton,Morecambe,0-1,0-4,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-20,Forest Green,Crawley Town,0.5-0.5,2-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-20,Grays,Cambridge,1-0,5-3,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-20,Hereford,Gravesend,0.5-0.5,1-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-20,Kidderminster,Halifax,0-1,0-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-20,Southport,Tamworth,0.5-0.5,1-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-20,Stevenage,Exeter,1-0,2-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-20,Woking,Canvey Island,0.5-0.5,1-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-20,York,Dag and Red,0.5-0.5,1-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-24,Aldershot,York,1-0,2-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-24,Cambridge,Altrincham,1-0,4-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-24,Canvey Island,Southport,1-0,2-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-24,Crawley Town,Grays,0-1,1-3,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-24,Dag and Red,Accrington,0-1,1-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-24,Exeter,Burton,0-1,1-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-24,Gravesend,Kidderminster,0-1,1-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-24,Halifax,Hereford,1-0,2-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-24,Morecambe,Stevenage,1-0,4-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-24,Scarborough,Forest Green,1-0,1-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-24,Tamworth,Woking,0-1,0-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-27,Aldershot,Hereford,0-1,0-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-27,Cambridge,Burton,0.5-0.5,2-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-27,Canvey Island,Stevenage,0.5-0.5,1-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-27,Crawley Town,Kidderminster,1-0,2-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-27,Dag and Red,Grays,0-1,1-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-27,Exeter,Woking,0.5-0.5,1-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-27,Gravesend,Forest Green,1-0,2-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-27,Halifax,Altrincham,1-0,2-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-27,Morecambe,Accrington,1-0,3-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-27,Scarborough,Southport,0-1,0-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-09-27,Tamworth,York,0-1,0-3,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-10-01,Accrington,Gravesend,0.5-0.5,1-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-10-01,Altrincham,Crawley Town,0.5-0.5,1-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-10-01,Forest Green,Morecambe,1-0,1-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
