Date,Black,White,ResultCode,GameKey,BlackFirstAppearance,WhiteFirstAppearance,BlackStartRating,WhiteStartRating,Gb_Before,Gw_Before,Kb,Kw,Rb_Before,Rw_Before,ExpectedBlack,ExpectedWhite,Rb_After,Rw_After,Gb_After,Gw_After
2023-01-01,Hong Mujin,Cho Hanseung,B+R,2023-01-01|Hong Mujin|Cho Hanseung|B+R,TRUE,TRUE,2956.890054501466,2988.132619174716,0,0,40,40,2956.890054501466,2988.132619174716,0.45515913423984555,0.5448408657601544,2978.683689131872,2966.33898454431,1,1
2023-01-01,Kang Dongyun,Shin Minjun,W+R,2023-01-01|Kang Dongyun|Shin Minjun|W+R,TRUE,TRUE,3108.2746593539227,3161.296491452465,0,0,40,40,3108.2746593539227,3161.296491452465,0.424282348935092,0.575717651064908,3091.303365396519,3178.267785409869,1,1
2023-01-01,Kang Seungmin,Choi Jeong,B+1.5,2023-01-01|Kang Seungmin|Choi Jeong|B+1.5,TRUE,TRUE,3088.741301247228,2997.042321377186,0,0,40,40,3088.741301247228,2997.042321377186,0.628984263563998,0.37101573643600205,3103.581930704668,2982.201691919746,1,1
2023-01-01,Shin Minjun,Han Seungjoo,B+R,2023-01-01|Shin Minjun|Han Seungjoo|B+R,FALSE,TRUE,3161.296491452465,3066.1781698889176,1,0,40,40,3178.267785409869,3066.1781698889176,0.6559369383518696,0.3440630616481304,3192.030307875794,3052.4156474229926,2,1
2023-01-01,Yun Junsang,Han Seungjoo,W+R,2023-01-01|Yun Junsang|Han Seungjoo|W+R,TRUE,FALSE,3002.055462567029,3066.1781698889176,0,1,40,40,3002.055462567029,3052.4156474229926,0.4280291990813366,0.5719708009186635,2984.9342946037755,3069.536815386246,1,2
2023-01-02,An Sungjoon,Lee Yeonggu,W+R,2023-01-02|An Sungjoon|Lee Yeonggu|W+R,TRUE,TRUE,3102.956571796402,2971.769474179019,0,0,40,40,3102.956571796402,2971.769474179019,0.6803049625212323,0.3196950374787677,3075.7443732955526,2998.9816726798686,1,1
2023-01-02,Geum Jiwoo,Moon Minjong,B+4.5,2023-01-02|Geum Jiwoo|Moon Minjong|B+4.5,TRUE,TRUE,2940.1487607356844,2994.0295152565823,0,0,40,40,2940.1487607356844,2994.0295152565823,0.42307506143527635,0.5769249385647237,2963.225758278273,2970.9525177139935,1,1
2023-01-02,Kim Junghyun,Kang Dongyun,W+R,2023-01-02|Kim Junghyun|Kang Dongyun|W+R,TRUE,FALSE,3050.008284894672,3108.2746593539227,0,1,40,40,3050.008284894672,3091.303365396519,0.4408498767487013,0.5591501232512988,3032.374289824724,3108.937360466467,1,2
2023-01-02,Lee Jihyun (m),Shin Jinseo,W+R,2023-01-02|Lee Jihyun (m)|Shin Jinseo|W+R,TRUE,TRUE,2969.7179179292652,3232.563925942657,0,0,40,40,2969.7179179292652,3232.563925942657,0.18048526335744441,0.8195147366425556,2962.4985073949674,3239.783336476955,1,1
2023-01-03,Chen Pinhua,Liu Jianchang,B+R,2023-01-03|Chen Pinhua|Liu Jianchang|B+R,TRUE,TRUE,2831.039487935881,2817.6269854081793,0,0,40,40,2831.039487935881,2817.6269854081793,0.5192925598477149,0.48070744015228506,2850.2677855419724,2798.398687802088,1,1
