Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,Score,Result,FixtureSource,ResultSource,DateSource
2018-03-11,2018,Norway,Eliteserien,1,Domestic,Bodø/Glimt,Lillestrøm,3,1,3-1,H,wikipedia,wikipedia,football-data
2018-03-11,2018,Norway,Eliteserien,1,Domestic,Molde,Sandefjord,5,0,5-0,H,wikipedia,wikipedia,football-data
2018-03-11,2018,Norway,Eliteserien,1,Domestic,Odd,Haugesund,1,2,1-2,A,wikipedia,wikipedia,football-data
2018-03-11,2018,Norway,Eliteserien,1,Domestic,Sarpsborg 08,Rosenborg,1,0,1-0,H,wikipedia,wikipedia,football-data
2018-03-11,2018,Norway,Eliteserien,1,Domestic,Start,Tromsø,4,1,4-1,H,wikipedia,wikipedia,football-data
2018-03-11,2018,Norway,Eliteserien,1,Domestic,Strømsgodset,Stabæk,2,2,2-2,D,wikipedia,wikipedia,football-data
2018-03-12,2018,Norway,Eliteserien,1,Domestic,Kristiansund,Vålerenga,0,1,0-1,A,wikipedia,wikipedia,football-data
2018-03-17,2018,Norway,Eliteserien,1,Domestic,Lillestrøm,Sarpsborg 08,2,2,2-2,D,wikipedia,wikipedia,football-data
2018-03-17,2018,Norway,Eliteserien,1,Domestic,Rosenborg,Kristiansund,2,2,2-2,D,wikipedia,wikipedia,football-data
2018-03-18,2018,Norway,Eliteserien,1,Domestic,Brann,Bodø/Glimt,2,0,2-0,H,wikipedia,wikipedia,football-data
2018-03-18,2018,Norway,Eliteserien,1,Domestic,Haugesund,Molde,0,1,0-1,A,wikipedia,wikipedia,football-data
2018-03-18,2018,Norway,Eliteserien,1,Domestic,Vålerenga,Odd,2,1,2-1,H,wikipedia,wikipedia,football-data
2018-04-02,2018,Norway,Eliteserien,1,Domestic,Bodø/Glimt,Haugesund,0,3,0-3,A,wikipedia,wikipedia,football-data
2018-04-02,2018,Norway,Eliteserien,1,Domestic,Kristiansund,Lillestrøm,2,1,2-1,H,wikipedia,wikipedia,football-data
2018-04-02,2018,Norway,Eliteserien,1,Domestic,Molde,Tromsø,2,1,2-1,H,wikipedia,wikipedia,football-data
2018-04-02,2018,Norway,Eliteserien,1,Domestic,Odd,Rosenborg,1,1,1-1,D,wikipedia,wikipedia,football-data
2018-04-02,2018,Norway,Eliteserien,1,Domestic,Ranheim,Stabæk,4,1,4-1,H,wikipedia,wikipedia,football-data
2018-04-02,2018,Norway,Eliteserien,1,Domestic,Sarpsborg 08,Vålerenga,3,0,3-0,H,wikipedia,wikipedia,football-data
2018-04-02,2018,Norway,Eliteserien,1,Domestic,Start,Sandefjord,1,4,1-4,A,wikipedia,wikipedia,football-data
2018-04-02,2018,Norway,Eliteserien,1,Domestic,Strømsgodset,Brann,1,1,1-1,D,wikipedia,wikipedia,football-data
2018-04-07,2018,Norway,Eliteserien,1,Domestic,Vålerenga,Strømsgodset,1,4,1-4,A,wikipedia,wikipedia,football-data
2018-04-08,2018,Norway,Eliteserien,1,Domestic,Brann,Kristiansund,1,0,1-0,H,wikipedia,wikipedia,football-data
2018-04-08,2018,Norway,Eliteserien,1,Domestic,Haugesund,Sarpsborg 08,1,1,1-1,D,wikipedia,wikipedia,football-data
2018-04-08,2018,Norway,Eliteserien,1,Domestic,Odd,Bodø/Glimt,1,0,1-0,H,wikipedia,wikipedia,football-data
2018-04-08,2018,Norway,Eliteserien,1,Domestic,Rosenborg,Molde,4,0,4-0,H,wikipedia,wikipedia,football-data
2018-04-08,2018,Norway,Eliteserien,1,Domestic,Sandefjord,Stabæk,1,1,1-1,D,wikipedia,wikipedia,football-data
2018-04-08,2018,Norway,Eliteserien,1,Domestic,Tromsø,Ranheim,4,0,4-0,H,wikipedia,wikipedia,football-data
2018-04-09,2018,Norway,Eliteserien,1,Domestic,Lillestrøm,Start,1,0,1-0,H,wikipedia,wikipedia,football-data
2018-04-11,2018,Norway,Eliteserien,1,Domestic,Sandefjord,Ranheim,1,2,1-2,A,wikipedia,wikipedia,football-data
2018-04-11,2018,Norway,Eliteserien,1,Domestic,Tromsø,Strømsgodset,3,1,3-1,H,wikipedia,wikipedia,football-data
2018-04-14,2018,Norway,Eliteserien,1,Domestic,Start,Vålerenga,1,6,1-6,A,wikipedia,wikipedia,football-data
2018-04-15,2018,Norway,Eliteserien,1,Domestic,Molde,Lillestrøm,2,1,2-1,H,wikipedia,wikipedia,football-data
2018-04-15,2018,Norway,Eliteserien,1,Domestic,Ranheim,Haugesund,4,2,4-2,H,wikipedia,wikipedia,football-data
2018-04-15,2018,Norway,Eliteserien,1,Domestic,Sandefjord,Kristiansund,3,3,3-3,D,wikipedia,wikipedia,football-data
2018-04-15,2018,Norway,Eliteserien,1,Domestic,Sarpsborg 08,Brann,1,2,1-2,A,wikipedia,wikipedia,football-data
2018-04-15,2018,Norway,Eliteserien,1,Domestic,Stabæk,Tromsø,1,1,1-1,D,wikipedia,wikipedia,football-data
2018-04-15,2018,Norway,Eliteserien,1,Domestic,Strømsgodset,Odd,3,0,3-0,H,wikipedia,wikipedia,football-data
2018-04-16,2018,Norway,Eliteserien,1,Domestic,Bodø/Glimt,Rosenborg,0,1,0-1,A,wikipedia,wikipedia,football-data
2018-04-21,2018,Norway,Eliteserien,1,Domestic,Brann,Stabæk,3,0,3-0,H,wikipedia,wikipedia,football-data
2018-04-22,2018,Norway,Eliteserien,1,Domestic,Haugesund,Strømsgodset,1,0,1-0,H,wikipedia,wikipedia,football-data
2018-04-22,2018,Norway,Eliteserien,1,Domestic,Kristiansund,Bodø/Glimt,1,1,1-1,D,wikipedia,wikipedia,football-data
2018-04-22,2018,Norway,Eliteserien,1,Domestic,Lillestrøm,Ranheim,0,1,0-1,A,wikipedia,wikipedia,football-data
2018-04-22,2018,Norway,Eliteserien,1,Domestic,Rosenborg,Start,2,0,2-0,H,wikipedia,wikipedia,football-data
2018-04-22,2018,Norway,Eliteserien,1,Domestic,Tromsø,Sandefjord,4,1,4-1,H,wikipedia,wikipedia,football-data
2018-04-22,2018,Norway,Eliteserien,1,Domestic,Vålerenga,Molde,0,0,0-0,D,wikipedia,wikipedia,football-data
2018-04-23,2018,Norway,Eliteserien,1,Domestic,Odd,Sarpsborg 08,3,1,3-1,H,wikipedia,wikipedia,football-data
