Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,DateMatchMethod,Score,Result,FixtureSource,ResultSource,DateSource
2012-05-16,2012,Norway,Eliteserien,1,Domestic,Molde,Fredrikstad,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2012-05-16,2012,Norway,Eliteserien,1,Domestic,Odd Grenland,Sandnes Ulf,2,2,score,2-2,D,wikipedia,wikipedia,football-data
2012-05-16,2012,Norway,Eliteserien,1,Domestic,Rosenborg,Hønefoss BK,0,1,score,0-1,A,wikipedia,wikipedia,football-data
2012-05-16,2012,Norway,Eliteserien,1,Domestic,Strømsgodset,Tromsø,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2012-05-16,2012,Norway,Eliteserien,1,Domestic,Viking,Lillestrøm,1,2,score,1-2,A,wikipedia,wikipedia,football-data
2012-05-19,2012,Norway,Eliteserien,1,Domestic,Fredrikstad,Strømsgodset,2,3,score,2-3,A,wikipedia,wikipedia,football-data
2012-05-19,2012,Norway,Eliteserien,1,Domestic,Hønefoss BK,Vålerenga,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2012-05-20,2012,Norway,Eliteserien,1,Domestic,Aalesund,Brann,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2012-05-20,2012,Norway,Eliteserien,1,Domestic,Lillestrøm,Sogndal,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2012-05-20,2012,Norway,Eliteserien,1,Domestic,Rosenborg,Odd Grenland,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2012-05-20,2012,Norway,Eliteserien,1,Domestic,Sandnes Ulf,Molde,0,2,score,0-2,A,wikipedia,wikipedia,football-data
2012-05-20,2012,Norway,Eliteserien,1,Domestic,Stabæk,Haugesund,0,2,score,0-2,A,wikipedia,wikipedia,football-data
2012-05-20,2012,Norway,Eliteserien,1,Domestic,Tromsø,Viking,5,1,score,5-1,H,wikipedia,wikipedia,football-data
2012-05-23,2012,Norway,Eliteserien,1,Domestic,Brann,Fredrikstad,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2012-05-23,2012,Norway,Eliteserien,1,Domestic,Sogndal,Sandnes Ulf,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2012-05-23,2012,Norway,Eliteserien,1,Domestic,Strømsgodset,Odd Grenland,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2012-05-23,2012,Norway,Eliteserien,1,Domestic,Viking,Stabæk,1,0,score,1-0,H,wikipedia,wikipedia,football-data
