Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,Score,Result,FixtureSource,ResultSource,DateSource
2019-03-30,2019,Norway,Eliteserien,1,Domestic,Odd,Brann,3,2,3-2,H,wikipedia,wikipedia,football-data
2019-03-30,2019,Norway,Eliteserien,1,Domestic,Vålerenga,Mjøndalen,2,0,2-0,H,wikipedia,wikipedia,football-data
2019-03-31,2019,Norway,Eliteserien,1,Domestic,Bodø/Glimt,Rosenborg,2,0,2-0,H,wikipedia,wikipedia,football-data
2019-03-31,2019,Norway,Eliteserien,1,Domestic,Ranheim,Tromsø,1,2,1-2,A,wikipedia,wikipedia,football-data
2019-03-31,2019,Norway,Eliteserien,1,Domestic,Sarpsborg 08,Molde,1,1,1-1,D,wikipedia,wikipedia,football-data
2019-03-31,2019,Norway,Eliteserien,1,Domestic,Strømsgodset,Haugesund,3,2,3-2,H,wikipedia,wikipedia,football-data
2019-03-31,2019,Norway,Eliteserien,1,Domestic,Viking,Kristiansund,2,0,2-0,H,wikipedia,wikipedia,football-data
2019-04-01,2019,Norway,Eliteserien,1,Domestic,Stabæk,Lillestrøm,1,1,1-1,D,wikipedia,wikipedia,football-data
2019-04-06,2019,Norway,Eliteserien,1,Domestic,Mjøndalen,Bodø/Glimt,4,5,4-5,A,wikipedia,wikipedia,football-data
2019-04-07,2019,Norway,Eliteserien,1,Domestic,Brann,Strømsgodset,1,1,1-1,D,wikipedia,wikipedia,football-data
2019-04-07,2019,Norway,Eliteserien,1,Domestic,Haugesund,Sarpsborg 08,1,1,1-1,D,wikipedia,wikipedia,football-data
2019-04-07,2019,Norway,Eliteserien,1,Domestic,Kristiansund,Vålerenga,2,0,2-0,H,wikipedia,wikipedia,football-data
2019-04-07,2019,Norway,Eliteserien,1,Domestic,Lillestrøm,Ranheim,2,1,2-1,H,wikipedia,wikipedia,football-data
2019-04-07,2019,Norway,Eliteserien,1,Domestic,Molde,Stabæk,3,0,3-0,H,wikipedia,wikipedia,football-data
2019-04-07,2019,Norway,Eliteserien,1,Domestic,Tromsø,Viking,0,2,0-2,A,wikipedia,wikipedia,football-data
2019-04-08,2019,Norway,Eliteserien,1,Domestic,Rosenborg,Odd,1,1,1-1,D,wikipedia,wikipedia,football-data
2019-04-10,2019,Norway,Eliteserien,1,Domestic,Brann,Kristiansund,2,1,2-1,H,wikipedia,wikipedia,football-data
2019-04-10,2019,Norway,Eliteserien,1,Domestic,Molde,Vålerenga,4,1,4-1,H,wikipedia,wikipedia,football-data
2019-04-12,2019,Norway,Eliteserien,1,Domestic,Strømsgodset,Mjøndalen,2,3,2-3,A,wikipedia,wikipedia,football-data
2019-04-13,2019,Norway,Eliteserien,1,Domestic,Viking,Brann,2,1,2-1,H,wikipedia,wikipedia,football-data
2019-04-14,2019,Norway,Eliteserien,1,Domestic,Bodø/Glimt,Molde,3,2,3-2,H,wikipedia,wikipedia,football-data
2019-04-14,2019,Norway,Eliteserien,1,Domestic,Odd,Kristiansund,2,0,2-0,H,wikipedia,wikipedia,football-data
2019-04-14,2019,Norway,Eliteserien,1,Domestic,Ranheim,Haugesund,0,2,0-2,A,wikipedia,wikipedia,football-data
2019-04-14,2019,Norway,Eliteserien,1,Domestic,Sarpsborg 08,Lillestrøm,1,0,1-0,H,wikipedia,wikipedia,football-data
2019-04-14,2019,Norway,Eliteserien,1,Domestic,Stabæk,Rosenborg,3,1,3-1,H,wikipedia,wikipedia,football-data
2019-04-14,2019,Norway,Eliteserien,1,Domestic,Vålerenga,Tromsø,4,1,4-1,H,wikipedia,wikipedia,football-data
2019-04-22,2019,Norway,Eliteserien,1,Domestic,Bodø/Glimt,Sarpsborg 08,1,1,1-1,D,wikipedia,wikipedia,football-data
