Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,Score,Result,FixtureSource,ResultSource,DateSource
2020-10-04,2020,Norway,Eliteserien,1,Domestic,Viking,Strømsgodset,2,2,2-2,D,wikipedia,wikipedia,football-data
2020-10-17,2020,Norway,Eliteserien,1,Domestic,Mjøndalen,Brann,2,0,2-0,H,wikipedia,wikipedia,football-data
2020-10-17,2020,Norway,Eliteserien,1,Domestic,Molde,Bodø/Glimt,4,2,4-2,H,wikipedia,wikipedia,football-data
2020-10-18,2020,Norway,Eliteserien,1,Domestic,Haugesund,Sarpsborg 08,2,0,2-0,H,wikipedia,wikipedia,football-data
2020-10-18,2020,Norway,Eliteserien,1,Domestic,Kristiansund,Rosenborg,0,0,0-0,D,wikipedia,wikipedia,football-data
2020-10-18,2020,Norway,Eliteserien,1,Domestic,Sandefjord,Vålerenga,0,3,0-3,A,wikipedia,wikipedia,football-data
2020-10-18,2020,Norway,Eliteserien,1,Domestic,Stabæk,Aalesund,4,0,4-0,H,wikipedia,wikipedia,football-data
2020-10-18,2020,Norway,Eliteserien,1,Domestic,Strømsgodset,Start,1,1,1-1,D,wikipedia,wikipedia,football-data
2020-10-24,2020,Norway,Eliteserien,1,Domestic,Brann,Stabæk,1,1,1-1,D,wikipedia,wikipedia,football-data
2020-10-24,2020,Norway,Eliteserien,1,Domestic,Start,Sandefjord,0,1,0-1,A,wikipedia,wikipedia,football-data
2020-10-25,2020,Norway,Eliteserien,1,Domestic,Aalesund,Odd,0,3,0-3,A,wikipedia,wikipedia,football-data
2020-10-25,2020,Norway,Eliteserien,1,Domestic,Bodø/Glimt,Mjøndalen,2,0,2-0,H,wikipedia,wikipedia,football-data
2020-10-25,2020,Norway,Eliteserien,1,Domestic,Molde,Strømsgodset,2,1,2-1,H,wikipedia,wikipedia,football-data
2020-10-25,2020,Norway,Eliteserien,1,Domestic,Sarpsborg 08,Rosenborg,1,2,1-2,A,wikipedia,wikipedia,football-data
2020-10-25,2020,Norway,Eliteserien,1,Domestic,Vålerenga,Kristiansund,1,1,1-1,D,wikipedia,wikipedia,football-data
2020-10-27,2020,Norway,Eliteserien,1,Domestic,Viking,Haugesund,0,1,0-1,A,wikipedia,wikipedia,football-data
2020-10-31,2020,Norway,Eliteserien,1,Domestic,Haugesund,Aalesund,0,1,0-1,A,wikipedia,wikipedia,football-data
2020-10-31,2020,Norway,Eliteserien,1,Domestic,Odd,Sarpsborg 08,1,1,1-1,D,wikipedia,wikipedia,football-data
2020-11-01,2020,Norway,Eliteserien,1,Domestic,Kristiansund,Bodø/Glimt,2,3,2-3,A,wikipedia,wikipedia,football-data
