Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,Score,Result,FixtureSource,ResultSource,DateSource
2019-10-27,2019,Sweden,Allsvenskan,1,Domestic,BK Häcken,IFK Norrköping,0,1,0-1,A,wikipedia,wikipedia,football-data
2019-10-27,2019,Sweden,Allsvenskan,1,Domestic,Östersunds FK,Hammarby,1,2,1-2,A,wikipedia,wikipedia,football-data
2019-10-28,2019,Sweden,Allsvenskan,1,Domestic,Djurgårdens IF,Örebro SK,3,0,3-0,H,wikipedia,wikipedia,football-data
2019-10-28,2019,Sweden,Allsvenskan,1,Domestic,IF Elfsborg,IFK Göteborg,2,0,2-0,H,wikipedia,wikipedia,football-data
2019-10-28,2019,Sweden,Allsvenskan,1,Domestic,Malmö FF,AIK,2,0,2-0,H,wikipedia,wikipedia,football-data
2019-11-02,2019,Sweden,Allsvenskan,1,Domestic,AIK,GIF Sundsvall,2,1,2-1,H,wikipedia,wikipedia,football-data
2019-11-02,2019,Sweden,Allsvenskan,1,Domestic,Falkenbergs FF,AFC Eskilstuna,1,0,1-0,H,wikipedia,wikipedia,football-data
2019-11-02,2019,Sweden,Allsvenskan,1,Domestic,Hammarby,BK Häcken,4,1,4-1,H,wikipedia,wikipedia,football-data
2019-11-02,2019,Sweden,Allsvenskan,1,Domestic,Helsingborgs IF,IF Elfsborg,1,2,1-2,A,wikipedia,wikipedia,football-data
2019-11-02,2019,Sweden,Allsvenskan,1,Domestic,IFK Göteborg,Östersunds FK,7,1,7-1,H,wikipedia,wikipedia,football-data
2019-11-02,2019,Sweden,Allsvenskan,1,Domestic,IFK Norrköping,Djurgårdens IF,2,2,2-2,D,wikipedia,wikipedia,football-data
2019-11-02,2019,Sweden,Allsvenskan,1,Domestic,IK Sirius,Kalmar FF,3,0,3-0,H,wikipedia,wikipedia,football-data
2019-11-02,2019,Sweden,Allsvenskan,1,Domestic,Örebro SK,Malmö FF,0,5,0-5,A,wikipedia,wikipedia,football-data
