Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,DateMatchMethod,Score,Result,FixtureSource,ResultSource,DateSource
2016-07-31,2016,Sweden,Allsvenskan,1,Domestic,BK Häcken,Helsingborgs IF,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2016-07-31,2016,Sweden,Allsvenskan,1,Domestic,Jönköpings Södra IF,IFK Göteborg,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2016-08-01,2016,Sweden,Allsvenskan,1,Domestic,Kalmar FF,Djurgårdens IF,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2016-08-01,2016,Sweden,Allsvenskan,1,Domestic,Örebro SK,Malmö FF,0,3,score,0-3,A,wikipedia,wikipedia,football-data
2016-08-05,2016,Sweden,Allsvenskan,1,Domestic,Helsingborgs IF,Gefle IF,2,3,score,2-3,A,wikipedia,wikipedia,football-data
2016-08-06,2016,Sweden,Allsvenskan,1,Domestic,Falkenbergs FF,Jönköpings Södra IF,0,5,score,0-5,A,wikipedia,wikipedia,football-data
2016-08-06,2016,Sweden,Allsvenskan,1,Domestic,Östersunds FK,GIF Sundsvall,4,0,score,4-0,H,wikipedia,wikipedia,football-data
2016-08-07,2016,Sweden,Allsvenskan,1,Domestic,Hammarby IF,Kalmar FF,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2016-08-07,2016,Sweden,Allsvenskan,1,Domestic,IF Elfsborg,BK Häcken,2,4,score,2-4,A,wikipedia,wikipedia,football-data
2016-08-07,2016,Sweden,Allsvenskan,1,Domestic,IFK Norrköping,Örebro SK,3,1,score,3-1,H,wikipedia,wikipedia,football-data
2016-08-07,2016,Sweden,Allsvenskan,1,Domestic,Malmö FF,AIK,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2016-08-08,2016,Sweden,Allsvenskan,1,Domestic,Djurgårdens IF,IFK Göteborg,3,1,score,3-1,H,wikipedia,wikipedia,football-data
2016-08-10,2016,Sweden,Allsvenskan,1,Domestic,IFK Norrköping,BK Häcken,3,1,score,3-1,H,wikipedia,wikipedia,football-data
2016-08-12,2016,Sweden,Allsvenskan,1,Domestic,IFK Göteborg,Falkenbergs FF,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2016-08-13,2016,Sweden,Allsvenskan,1,Domestic,AIK,Helsingborgs IF,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2016-08-13,2016,Sweden,Allsvenskan,1,Domestic,Gefle IF,IFK Norrköping,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2016-08-14,2016,Sweden,Allsvenskan,1,Domestic,BK Häcken,Örebro SK,0,1,score,0-1,A,wikipedia,wikipedia,football-data
2016-08-14,2016,Sweden,Allsvenskan,1,Domestic,Djurgårdens IF,IF Elfsborg,2,2,score,2-2,D,wikipedia,wikipedia,football-data
2016-08-14,2016,Sweden,Allsvenskan,1,Domestic,Kalmar FF,Malmö FF,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2016-08-15,2016,Sweden,Allsvenskan,1,Domestic,GIF Sundsvall,Hammarby IF,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2016-08-15,2016,Sweden,Allsvenskan,1,Domestic,Jönköpings Södra IF,Östersunds FK,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2016-08-20,2016,Sweden,Allsvenskan,1,Domestic,Helsingborgs IF,Kalmar FF,0,1,score,0-1,A,wikipedia,wikipedia,football-data
2016-08-20,2016,Sweden,Allsvenskan,1,Domestic,Östersunds FK,Djurgårdens IF,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2016-08-21,2016,Sweden,Allsvenskan,1,Domestic,Falkenbergs FF,Gefle IF,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2016-08-21,2016,Sweden,Allsvenskan,1,Domestic,Hammarby IF,IFK Göteborg,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2016-08-21,2016,Sweden,Allsvenskan,1,Domestic,Örebro SK,AIK,0,2,score,0-2,A,wikipedia,wikipedia,football-data
2016-08-22,2016,Sweden,Allsvenskan,1,Domestic,IF Elfsborg,GIF Sundsvall,4,0,score,4-0,H,wikipedia,wikipedia,football-data
2016-08-22,2016,Sweden,Allsvenskan,1,Domestic,Malmö FF,Jönköpings Södra IF,4,1,score,4-1,H,wikipedia,wikipedia,football-data
2016-08-27,2016,Sweden,Allsvenskan,1,Domestic,Djurgårdens IF,Gefle IF,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2016-08-27,2016,Sweden,Allsvenskan,1,Domestic,Kalmar FF,IFK Norrköping,0,1,score,0-1,A,wikipedia,wikipedia,football-data
2016-08-28,2016,Sweden,Allsvenskan,1,Domestic,AIK,Hammarby IF,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2016-08-28,2016,Sweden,Allsvenskan,1,Domestic,BK Häcken,Östersunds FK,3,1,score,3-1,H,wikipedia,wikipedia,football-data
2016-08-28,2016,Sweden,Allsvenskan,1,Domestic,GIF Sundsvall,Malmö FF,0,1,score,0-1,A,wikipedia,wikipedia,football-data
2016-08-28,2016,Sweden,Allsvenskan,1,Domestic,IFK Göteborg,Helsingborgs IF,2,1,fixture_unique,2-1,H,wikipedia,wikipedia,football-data
2016-08-28,2016,Sweden,Allsvenskan,1,Domestic,Jönköpings Södra IF,IF Elfsborg,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2016-08-28,2016,Sweden,Allsvenskan,1,Domestic,Örebro SK,Falkenbergs FF,3,2,score,3-2,H,wikipedia,wikipedia,football-data
2016-09-10,2016,Sweden,Allsvenskan,1,Domestic,IF Elfsborg,Kalmar FF,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2016-09-11,2016,Sweden,Allsvenskan,1,Domestic,Falkenbergs FF,Djurgårdens IF,1,2,score,1-2,A,wikipedia,wikipedia,football-data
2016-09-11,2016,Sweden,Allsvenskan,1,Domestic,GIF Sundsvall,AIK,1,3,score,1-3,A,wikipedia,wikipedia,football-data
2016-09-11,2016,Sweden,Allsvenskan,1,Domestic,IFK Norrköping,Jönköpings Södra IF,5,1,score,5-1,H,wikipedia,wikipedia,football-data
2016-09-11,2016,Sweden,Allsvenskan,1,Domestic,Östersunds FK,Helsingborgs IF,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2016-09-12,2016,Sweden,Allsvenskan,1,Domestic,Gefle IF,BK Häcken,2,2,score,2-2,D,wikipedia,wikipedia,football-data
2016-09-12,2016,Sweden,Allsvenskan,1,Domestic,Hammarby IF,Örebro SK,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2016-09-12,2016,Sweden,Allsvenskan,1,Domestic,Malmö FF,IFK Göteborg,3,1,score,3-1,H,wikipedia,wikipedia,football-data
2016-09-16,2016,Sweden,Allsvenskan,1,Domestic,Jönköpings Södra IF,Hammarby IF,0,1,score,0-1,A,wikipedia,wikipedia,football-data
2016-09-16,2016,Sweden,Allsvenskan,1,Domestic,Örebro SK,GIF Sundsvall,3,3,score,3-3,D,wikipedia,wikipedia,football-data
2016-09-17,2016,Sweden,Allsvenskan,1,Domestic,Kalmar FF,Östersunds FK,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2016-09-18,2016,Sweden,Allsvenskan,1,Domestic,AIK,Gefle IF,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2016-09-18,2016,Sweden,Allsvenskan,1,Domestic,Djurgårdens IF,Malmö FF,3,1,score,3-1,H,wikipedia,wikipedia,football-data
2016-09-18,2016,Sweden,Allsvenskan,1,Domestic,Helsingborgs IF,IFK Norrköping,1,2,score,1-2,A,wikipedia,wikipedia,football-data
2016-09-18,2016,Sweden,Allsvenskan,1,Domestic,IF Elfsborg,Falkenbergs FF,5,0,score,5-0,H,wikipedia,wikipedia,football-data
2016-09-19,2016,Sweden,Allsvenskan,1,Domestic,BK Häcken,IFK Göteborg,2,2,score,2-2,D,wikipedia,wikipedia,football-data
2016-09-21,2016,Sweden,Allsvenskan,1,Domestic,Djurgårdens IF,AIK,0,3,score,0-3,A,wikipedia,wikipedia,football-data
2016-09-21,2016,Sweden,Allsvenskan,1,Domestic,Gefle IF,Jönköpings Södra IF,0,1,score,0-1,A,wikipedia,wikipedia,football-data
