Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,Score,Result,FixtureSource,ResultSource,DateSource
2020-06-14,2020,Sweden,Allsvenskan,1,Domestic,Hammarby,Östersunds FK,2,0,2-0,H,wikipedia,wikipedia,football-data
2020-06-14,2020,Sweden,Allsvenskan,1,Domestic,IFK Göteborg,IF Elfsborg,0,1,0-1,A,wikipedia,wikipedia,football-data
2020-06-14,2020,Sweden,Allsvenskan,1,Domestic,IFK Norrköping,Kalmar FF,2,1,2-1,H,wikipedia,wikipedia,football-data
2020-06-14,2020,Sweden,Allsvenskan,1,Domestic,IK Sirius,Djurgårdens IF,0,2,0-2,A,wikipedia,wikipedia,football-data
2020-06-14,2020,Sweden,Allsvenskan,1,Domestic,Örebro SK,AIK,0,2,0-2,A,wikipedia,wikipedia,football-data
2020-06-15,2020,Sweden,Allsvenskan,1,Domestic,Falkenbergs FF,BK Häcken,1,1,1-1,D,wikipedia,wikipedia,football-data
2020-06-15,2020,Sweden,Allsvenskan,1,Domestic,Helsingborgs IF,Varbergs BoIS,0,3,0-3,A,wikipedia,wikipedia,football-data
2020-06-15,2020,Sweden,Allsvenskan,1,Domestic,Malmö FF,Mjällby AIF,2,0,2-0,H,wikipedia,wikipedia,football-data
2020-06-17,2020,Sweden,Allsvenskan,1,Domestic,AIK,IFK Norrköping,1,4,1-4,A,wikipedia,wikipedia,football-data
2020-06-17,2020,Sweden,Allsvenskan,1,Domestic,Djurgårdens IF,Örebro SK,1,2,1-2,A,wikipedia,wikipedia,football-data
2020-06-17,2020,Sweden,Allsvenskan,1,Domestic,IF Elfsborg,Hammarby,2,2,2-2,D,wikipedia,wikipedia,football-data
2020-06-18,2020,Sweden,Allsvenskan,1,Domestic,BK Häcken,Malmö FF,1,1,1-1,D,wikipedia,wikipedia,football-data
2020-06-18,2020,Sweden,Allsvenskan,1,Domestic,Kalmar FF,Helsingborgs IF,4,0,4-0,H,wikipedia,wikipedia,football-data
2020-06-18,2020,Sweden,Allsvenskan,1,Domestic,Mjällby AIF,Falkenbergs FF,0,1,0-1,A,wikipedia,wikipedia,football-data
2020-06-18,2020,Sweden,Allsvenskan,1,Domestic,Varbergs BoIS,IFK Göteborg,1,2,1-2,A,wikipedia,wikipedia,football-data
2020-06-18,2020,Sweden,Allsvenskan,1,Domestic,Östersunds FK,IK Sirius,0,2,0-2,A,wikipedia,wikipedia,football-data
2020-06-21,2020,Sweden,Allsvenskan,1,Domestic,Falkenbergs FF,Kalmar FF,0,2,0-2,A,wikipedia,wikipedia,football-data
2020-06-21,2020,Sweden,Allsvenskan,1,Domestic,Hammarby,AIK,0,2,0-2,A,wikipedia,wikipedia,football-data
2020-06-21,2020,Sweden,Allsvenskan,1,Domestic,IFK Norrköping,Djurgårdens IF,3,0,3-0,H,wikipedia,wikipedia,football-data
2020-06-21,2020,Sweden,Allsvenskan,1,Domestic,Malmö FF,Varbergs BoIS,2,2,2-2,D,wikipedia,wikipedia,football-data
2020-06-21,2020,Sweden,Allsvenskan,1,Domestic,Örebro SK,Östersunds FK,0,0,0-0,D,wikipedia,wikipedia,football-data
2020-06-22,2020,Sweden,Allsvenskan,1,Domestic,Helsingborgs IF,IF Elfsborg,0,0,0-0,D,wikipedia,wikipedia,football-data
2020-06-22,2020,Sweden,Allsvenskan,1,Domestic,IFK Göteborg,Mjällby AIF,2,2,2-2,D,wikipedia,wikipedia,football-data
2020-06-22,2020,Sweden,Allsvenskan,1,Domestic,IK Sirius,BK Häcken,2,2,2-2,D,wikipedia,wikipedia,football-data
2020-06-27,2020,Sweden,Allsvenskan,1,Domestic,Östersunds FK,IFK Norrköping,2,4,2-4,A,wikipedia,wikipedia,football-data
2020-06-28,2020,Sweden,Allsvenskan,1,Domestic,AIK,Malmö FF,2,2,2-2,D,wikipedia,wikipedia,football-data
2020-06-28,2020,Sweden,Allsvenskan,1,Domestic,Djurgårdens IF,Kalmar FF,5,0,5-0,H,wikipedia,wikipedia,football-data
2020-06-28,2020,Sweden,Allsvenskan,1,Domestic,IF Elfsborg,Örebro SK,1,1,1-1,D,wikipedia,wikipedia,football-data
2020-06-28,2020,Sweden,Allsvenskan,1,Domestic,IK Sirius,IFK Göteborg,2,2,2-2,D,wikipedia,wikipedia,football-data
2020-06-28,2020,Sweden,Allsvenskan,1,Domestic,Mjällby AIF,Hammarby,2,1,2-1,H,wikipedia,wikipedia,football-data
