Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,DateMatchMethod,Score,Result,FixtureSource,ResultSource,DateSource
2013-03-31,2013,Sweden,Allsvenskan,1,Domestic,BK Häcken,IFK Göteborg,0,3,score,0-3,A,wikipedia,wikipedia,football-data
2013-03-31,2013,Sweden,Allsvenskan,1,Domestic,Helsingborgs IF,Djurgårdens IF,3,0,score,3-0,H,wikipedia,wikipedia,football-data
2013-03-31,2013,Sweden,Allsvenskan,1,Domestic,Syrianska FC,Kalmar FF,0,3,score,0-3,A,wikipedia,wikipedia,football-data
2013-04-01,2013,Sweden,Allsvenskan,1,Domestic,Gefle IF,Åtvidabergs FF,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2013-04-01,2013,Sweden,Allsvenskan,1,Domestic,IF Brommapojkarna,Östers IF,2,2,score,2-2,D,wikipedia,wikipedia,football-data
2013-04-01,2013,Sweden,Allsvenskan,1,Domestic,IF Elfsborg,AIK,2,2,score,2-2,D,wikipedia,wikipedia,football-data
2013-04-01,2013,Sweden,Allsvenskan,1,Domestic,Malmö FF,Halmstads BK,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2013-04-01,2013,Sweden,Allsvenskan,1,Domestic,Mjällby AIF,IFK Norrköping,1,2,score,1-2,A,wikipedia,wikipedia,football-data
2013-04-05,2013,Sweden,Allsvenskan,1,Domestic,Åtvidabergs FF,Malmö FF,1,3,score,1-3,A,wikipedia,wikipedia,football-data
2013-04-07,2013,Sweden,Allsvenskan,1,Domestic,AIK,Syrianska FC,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2013-04-07,2013,Sweden,Allsvenskan,1,Domestic,Halmstads BK,IF Elfsborg,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2013-04-07,2013,Sweden,Allsvenskan,1,Domestic,IFK Göteborg,IF Brommapojkarna,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2013-04-07,2013,Sweden,Allsvenskan,1,Domestic,Kalmar FF,BK Häcken,0,0,score,0-0,D,wikipedia,wikipedia,football-data
