Season,SeasonLabel,SeasonEndDate,Rank,PlayerID,PlayerName,Nationality,Rating,MatchesPlayed,FramesPlayed,ListedFrames,FirstMatchDate,LastMatchDate,EntryRating,Active,Listable
2021,2021/2022,2022-06-11,1,5,Ronnie O'Sullivan,England,2942.72,949,8505,8505,1992-06-20 00:00:00,2022-05-01 11:55:25,2727.41,TRUE,TRUE
2021,2021/2022,2022-06-11,2,154,Neil Robertson,Australia,2905.73,1060,7971,7971,1999-01-03 00:00:00,2022-04-23 17:43:47,2631.48,TRUE,TRUE
2021,2021/2022,2022-06-11,3,1,Mark J Williams,Wales,2902.47,1248,9077,9077,1993-02-22 00:00:00,2022-04-28 11:50:20,2646.43,TRUE,TRUE
2021,2021/2022,2022-06-11,4,12,Judd Trump,England,2901.33,1184,8145,8145,2005-10-31 00:00:00,2022-05-01 11:55:25,2671.03,TRUE,TRUE
2021,2021/2022,2022-06-11,5,1260,Yan Bingtao,China,2890.73,327,2359,2359,2013-06-12 13:01:51,2022-04-26 09:01:28,2721.02,TRUE,TRUE
2021,2021/2022,2022-06-11,6,237,John Higgins,Scotland,2884,1301,10196,10196,1992-10-12 00:00:00,2022-04-28 17:39:15,2718.45,TRUE,TRUE
2021,2021/2022,2022-06-11,7,39,Kyren Wilson,England,2881.94,802,5241,5241,2010-08-01 10:00:00,2022-04-24 09:01:46,2602.99,TRUE,TRUE
2021,2021/2022,2022-06-11,8,17,Mark Selby,England,2872,1250,9037,9037,1999-09-08 00:00:00,2022-04-22 13:29:30,2694.53,TRUE,TRUE
2021,2021/2022,2022-06-11,9,224,Ding Junhui,China,2868.32,826,6399,6399,2002-02-24 00:00:00,2022-04-20 09:10:50,2679.65,TRUE,TRUE
2021,2021/2022,2022-06-11,10,62,Ricky Walden,England,2866.3,907,6185,6185,2001-02-20 00:00:00,2022-04-09 13:31:42,2670.12,TRUE,TRUE
2021,2021/2022,2022-06-11,11,946,Zhao Xintong,China,2866.03,341,2239,2239,2012-06-18 09:11:07,2022-04-21 17:49:26,2746.83,TRUE,TRUE
2021,2021/2022,2022-06-11,12,30,Stuart Bingham,England,2864.42,1063,7496,7496,1997-01-03 00:00:00,2022-04-26 13:42:19,2664.72,TRUE,TRUE
2021,2021/2022,2022-06-11,13,16,Barry Hawkins,England,2857.59,1000,6996,6996,1997-01-03 00:00:00,2022-04-16 13:48:15,2665.52,TRUE,TRUE
2021,2021/2022,2022-06-11,14,85,Jack Lisowski,England,2856.6,611,4125,4125,2010-08-01 10:00:00,2022-04-26 13:42:19,2701.43,TRUE,TRUE
2021,2021/2022,2022-06-11,15,118,David Gilbert,England,2851.88,705,4972,4972,2002-10-04 00:00:00,2022-04-16 13:48:15,2640.14,TRUE,TRUE
2021,2021/2022,2022-06-11,16,202,Mark Allen,Northern Ireland,2850.96,848,6108,6108,2005-07-20 00:00:00,2022-04-22 08:59:46,2685.54,TRUE,TRUE
2021,2021/2022,2022-06-11,17,1829,Mink Nutcharut,Thailand,2850.04,125,511,511,2015-07-18 09:35:47,2022-04-04 13:32:23,2739.57,TRUE,TRUE
2021,2021/2022,2022-06-11,18,200,Liang Wenbo,China,2849.45,675,4711,4711,2005-03-26 00:00:00,2022-03-24 11:41:45,2685.08,TRUE,TRUE
2021,2021/2022,2022-06-11,19,101,Luca Brecel,Belgium,2846.94,534,3615,3615,2010-08-01 10:00:00,2022-04-20 17:56:48,2637.43,TRUE,TRUE
