Season,SeasonLabel,SeasonEndDate,Rank,PlayerID,PlayerName,Nationality,Rating,MatchesPlayed,FramesPlayed,ListedFrames,FirstMatchDate,LastMatchDate,EntryRating,Active,Listable
1991,1991/1992,1992-04-18,1,153,Stephen Hendry,Scotland,2823.08,128,1382,1382,1986-04-19 00:00:00,1992-04-18 00:00:00,2727.72,TRUE,TRUE
1991,1991/1992,1992-04-18,2,212,Steve Davis,England,2780.39,204,2373,2373,1979-04-16 00:00:00,1992-04-18 00:00:00,2674.66,TRUE,TRUE
1991,1991/1992,1992-04-18,3,20,Jimmy White,England,2773.77,161,1977,1977,1981-04-07 00:00:00,1992-04-18 00:00:00,2664.01,TRUE,TRUE
1991,1991/1992,1992-04-18,4,408,John Parrott,England,2767.11,119,1299,1299,1983-10-10 00:00:00,1992-04-18 00:00:00,2675.9,TRUE,TRUE
1991,1991/1992,1992-04-18,5,193,James Wattana,Thailand,2739.23,44,395,395,1989-08-17 00:00:00,1992-04-18 00:00:00,2698.83,TRUE,TRUE
1991,1991/1992,1992-04-18,6,669,Alain Robidoux,Canada,2721.6,45,401,401,1988-10-10 00:00:00,1992-04-18 00:00:00,2688.65,TRUE,TRUE
1991,1991/1992,1992-04-18,7,170,Ken Doherty,Ireland,2711.56,26,266,266,1991-01-01 00:00:00,1992-03-21 00:00:00,2703.13,TRUE,TRUE
1991,1991/1992,1992-04-18,8,44,Alan McManus,Scotland,2711.08,36,433,433,1990-10-08 00:00:00,1992-04-18 00:00:00,2687.87,TRUE,TRUE
1991,1991/1992,1992-04-18,9,2877,Terry Griffiths,Wales,2710.73,161,1713,1713,1979-04-16 00:00:00,1992-04-18 00:00:00,2667.02,TRUE,TRUE
1991,1991/1992,1992-04-18,10,14,Nigel Bond,England,2705.98,28,267,267,1989-10-09 00:00:00,1992-04-18 00:00:00,2698.85,TRUE,TRUE
1991,1991/1992,1992-04-18,11,668,Neal Foulds,England,2698.56,102,1025,1025,1984-04-21 00:00:00,1992-04-18 00:00:00,2669.85,TRUE,TRUE
1991,1991/1992,1992-04-18,12,205,Mike Hallett,England,2692.25,104,984,984,1982-04-30 00:00:00,1992-04-18 00:00:00,2616.54,TRUE,TRUE
1991,1991/1992,1992-04-18,13,2184,Willie Thorne,England,2687.5,110,1148,1148,1977-04-18 00:00:00,1992-04-18 00:00:00,2637.32,TRUE,TRUE
1991,1991/1992,1992-04-18,14,3258,Mick Price,Ireland,2683.36,19,219,219,1988-10-10 00:00:00,1992-04-18 00:00:00,2645.47,TRUE,TRUE
1991,1991/1992,1992-04-18,15,468,Dennis Taylor,Northern Ireland,2680.2,147,1592,1592,1976-01-26 00:00:00,1992-04-18 00:00:00,2615.05,TRUE,TRUE
1991,1991/1992,1992-04-18,16,1049,Steve James,England,2679.76,58,588,588,1987-02-15 00:00:00,1992-04-18 00:00:00,2661.36,TRUE,TRUE
1991,1991/1992,1992-04-18,17,2878,Alex Higgins,Northern Ireland,2679.67,128,1424,1424,1975-01-13 00:00:00,1992-03-21 00:00:00,2638.15,TRUE,TRUE
