Season,SeasonLabel,SeasonEndDate,Rank,PlayerID,PlayerName,Nationality,Rating,MatchesPlayed,FramesPlayed,ListedFrames,FirstMatchDate,LastMatchDate,EntryRating,Active,Listable
1995,1995/1996,1996-04-20,1,153,Stephen Hendry,Scotland,2831.07,206,2267,2267,1986-04-19 00:00:00,1996-04-20 00:00:00,2727.72,TRUE,TRUE
1995,1995/1996,1996-04-20,2,237,John Higgins,Scotland,2798.24,58,570,570,1992-10-12 00:00:00,1996-04-20 00:00:00,2718.45,TRUE,TRUE
1995,1995/1996,1996-04-20,3,5,Ronnie O'Sullivan,England,2790.86,60,656,656,1992-06-20 00:00:00,1996-04-20 00:00:00,2727.41,TRUE,TRUE
1995,1995/1996,1996-04-20,4,42,Peter Ebdon,England,2781.54,70,755,755,1991-10-14 00:00:00,1996-04-20 00:00:00,2730.08,TRUE,TRUE
1995,1995/1996,1996-04-20,5,14,Nigel Bond,England,2769.78,77,828,828,1989-10-09 00:00:00,1996-04-20 00:00:00,2698.85,TRUE,TRUE
1995,1995/1996,1996-04-20,6,223,Darren Morgan,Wales,2747.04,84,835,835,1988-10-10 00:00:00,1996-04-20 00:00:00,2622.12,TRUE,TRUE
1995,1995/1996,1996-04-20,7,20,Jimmy White,England,2745.77,227,2705,2705,1981-04-07 00:00:00,1996-04-20 00:00:00,2664.01,TRUE,TRUE
1995,1995/1996,1996-04-20,8,44,Alan McManus,Scotland,2742.83,103,1113,1113,1990-10-08 00:00:00,1996-04-20 00:00:00,2687.87,TRUE,TRUE
1995,1995/1996,1996-04-20,9,31,Dave Harold,England,2741.53,49,496,496,1991-10-14 00:00:00,1996-04-20 00:00:00,2701.36,TRUE,TRUE
1995,1995/1996,1996-04-20,10,170,Ken Doherty,Ireland,2732.41,84,814,814,1991-01-01 00:00:00,1996-04-20 00:00:00,2703.13,TRUE,TRUE
1995,1995/1996,1996-04-20,11,51,Andy Hicks,England,2731.03,30,392,392,1992-03-21 00:00:00,1996-04-01 00:00:00,2680.12,TRUE,TRUE
1995,1995/1996,1996-04-20,12,212,Steve Davis,England,2727.63,266,2962,2962,1979-04-16 00:00:00,1996-04-20 00:00:00,2674.66,TRUE,TRUE
1995,1995/1996,1996-04-20,13,193,James Wattana,Thailand,2725.27,112,1054,1054,1989-08-17 00:00:00,1996-04-20 00:00:00,2698.83,TRUE,TRUE
1995,1995/1996,1996-04-20,14,1166,Drew Henry,Scotland,2711.12,16,225,225,1992-02-17 00:00:00,1996-04-20 00:00:00,2706,TRUE,TRUE
1995,1995/1996,1996-04-20,15,3213,Jason Ferguson,England,2711.04,39,410,410,1990-10-08 00:00:00,1996-04-20 00:00:00,2673.18,TRUE,TRUE
1995,1995/1996,1996-04-20,16,15,Mark Davis,England,2708.44,17,237,237,1992-01-01 00:00:00,1996-01-01 00:00:00,2700.48,TRUE,TRUE
1995,1995/1996,1996-04-20,17,804,Gary Wilkinson,England,2708.26,86,828,828,1987-10-17 00:00:00,1996-04-20 00:00:00,2665,TRUE,TRUE
1995,1995/1996,1996-04-20,18,63,Fergal O'Brien,Ireland,2704.55,18,200,200,1993-03-13 00:00:00,1996-04-01 00:00:00,2692.37,TRUE,TRUE
1995,1995/1996,1996-04-20,19,408,John Parrott,England,2703.41,172,1817,1817,1983-10-10 00:00:00,1996-04-20 00:00:00,2675.9,TRUE,TRUE
1995,1995/1996,1996-04-20,20,13,Stephen Lee,England,2698.8,27,289,289,1993-02-22 00:00:00,1996-04-01 00:00:00,2693.21,TRUE,TRUE
1995,1995/1996,1996-04-20,21,3261,Martin Clark,England,2695.22,85,739,739,1987-10-17 00:00:00,1996-04-20 00:00:00,2669.57,TRUE,TRUE
1995,1995/1996,1996-04-20,22,35,Joe Swail,Northern Ireland,2692.51,46,440,440,1992-01-14 00:00:00,1996-04-01 00:00:00,2661.36,TRUE,TRUE
1995,1995/1996,1996-04-20,23,41,Tony Drago,Malta,2692.17,88,739,739,1985-10-19 00:00:00,1996-04-20 00:00:00,2646.08,TRUE,TRUE
1995,1995/1996,1996-04-20,24,1049,Steve James,England,2689.07,93,911,911,1987-02-15 00:00:00,1996-04-20 00:00:00,2661.36,TRUE,TRUE
1995,1995/1996,1996-04-20,25,177,Rod Lawler,England,2685.19,36,405,405,1990-10-08 00:00:00,1996-04-20 00:00:00,2667.59,TRUE,TRUE
1995,1995/1996,1996-04-20,26,669,Alain Robidoux,Canada,2684.53,74,661,661,1988-10-10 00:00:00,1996-04-20 00:00:00,2688.65,TRUE,TRUE
1995,1995/1996,1996-04-20,27,2184,Willie Thorne,England,2682.53,143,1475,1475,1977-04-18 00:00:00,1996-04-20 00:00:00,2637.32,TRUE,TRUE
1995,1995/1996,1996-04-20,28,409,David Roe,England,2679.69,59,569,569,1986-10-18 00:00:00,1996-04-20 00:00:00,2606.77,TRUE,TRUE
1995,1995/1996,1996-04-20,29,2880,Chris Small,Scotland,2676.4,19,276,276,1992-03-21 00:00:00,1996-01-01 00:00:00,2645.98,TRUE,TRUE
1995,1995/1996,1996-04-20,30,205,Mike Hallett,England,2674.44,127,1220,1220,1982-04-30 00:00:00,1996-04-01 00:00:00,2616.54,TRUE,TRUE
1995,1995/1996,1996-04-20,31,115,Anthony Hamilton,England,2673.12,28,308,308,1992-01-01 00:00:00,1996-04-20 00:00:00,2624.04,TRUE,TRUE
1995,1995/1996,1996-04-20,32,28,Mark King,England,2664.91,16,211,211,1992-06-20 00:00:00,1996-01-01 00:00:00,2650.41,TRUE,TRUE
1995,1995/1996,1996-04-20,33,173,Paul Davies,Wales,2661.99,20,217,217,1991-10-14 00:00:00,1996-01-01 00:00:00,2636.94,TRUE,TRUE
1995,1995/1996,1996-04-20,34,1426,Anthony Davies,Wales,2660.84,18,215,215,1992-10-12 00:00:00,1996-04-01 00:00:00,2663.22,TRUE,TRUE
1995,1995/1996,1996-04-20,35,657,Brian Morgan,England,2657.94,33,369,369,1990-01-02 00:00:00,1996-04-01 00:00:00,2652.31,TRUE,TRUE
1995,1995/1996,1996-04-20,36,668,Neal Foulds,England,2655.81,136,1362,1362,1984-04-21 00:00:00,1996-04-20 00:00:00,2669.85,TRUE,TRUE
1995,1995/1996,1996-04-20,37,181,Tony Knowles,England,2653.71,145,1483,1483,1981-04-07 00:00:00,1996-04-01 00:00:00,2648.14,TRUE,TRUE
