Season,SeasonLabel,SeasonEndDate,Rank,PlayerID,PlayerName,Nationality,Rating,MatchesPlayed,FramesPlayed,ListedFrames,FirstMatchDate,LastMatchDate,EntryRating,Active,Listable
1990,1990/1991,1991-04-20,1,408,John Parrott,England,2778.49,101,1126,1126,1983-10-10 00:00:00,1991-04-20 00:00:00,2675.9,TRUE,TRUE
1990,1990/1991,1991-04-20,2,153,Stephen Hendry,Scotland,2777.37,98,1073,1073,1986-04-19 00:00:00,1991-04-20 00:00:00,2727.72,TRUE,TRUE
1990,1990/1991,1991-04-20,3,20,Jimmy White,England,2754.52,141,1719,1719,1981-04-07 00:00:00,1991-04-20 00:00:00,2664.01,TRUE,TRUE
1990,1990/1991,1991-04-20,4,212,Steve Davis,England,2744.79,175,2126,2126,1979-04-16 00:00:00,1991-04-20 00:00:00,2674.66,TRUE,TRUE
1990,1990/1991,1991-04-20,5,804,Gary Wilkinson,England,2722.14,42,379,379,1987-10-17 00:00:00,1991-04-20 00:00:00,2665,TRUE,TRUE
1990,1990/1991,1991-04-20,6,668,Neal Foulds,England,2717.63,85,873,873,1984-04-21 00:00:00,1991-04-20 00:00:00,2669.85,TRUE,TRUE
1990,1990/1991,1991-04-20,7,1049,Steve James,England,2709.69,46,489,489,1987-02-15 00:00:00,1991-04-20 00:00:00,2661.36,TRUE,TRUE
1990,1990/1991,1991-04-20,8,669,Alain Robidoux,Canada,2707.95,27,240,240,1988-10-10 00:00:00,1991-04-20 00:00:00,2688.65,TRUE,TRUE
1990,1990/1991,1991-04-20,9,205,Mike Hallett,England,2702.84,88,854,854,1982-04-30 00:00:00,1991-04-20 00:00:00,2616.54,TRUE,TRUE
1990,1990/1991,1991-04-20,10,468,Dennis Taylor,Northern Ireland,2700.95,134,1489,1489,1976-01-26 00:00:00,1991-04-20 00:00:00,2615.05,TRUE,TRUE
1990,1990/1991,1991-04-20,11,2877,Terry Griffiths,Wales,2695.71,139,1501,1501,1979-04-16 00:00:00,1991-04-20 00:00:00,2667.02,TRUE,TRUE
1990,1990/1991,1991-04-20,12,2878,Alex Higgins,Northern Ireland,2685.12,125,1382,1382,1975-01-13 00:00:00,1990-04-13 00:00:00,2638.15,TRUE,TRUE
1990,1990/1991,1991-04-20,13,1355,Tony Jones,England,2684.18,37,340,340,1983-10-10 00:00:00,1991-04-20 00:00:00,2623.55,TRUE,TRUE
1990,1990/1991,1991-04-20,14,2184,Willie Thorne,England,2681.7,96,1015,1015,1977-04-18 00:00:00,1991-04-20 00:00:00,2637.32,TRUE,TRUE
1990,1990/1991,1991-04-20,15,3460,Warren King,Australia,2680.65,32,293,293,1983-10-10 00:00:00,1991-04-20 00:00:00,2641.35,TRUE,TRUE
1990,1990/1991,1991-04-20,16,41,Tony Drago,Malta,2666.98,44,357,357,1985-10-19 00:00:00,1991-03-22 00:00:00,2646.08,TRUE,TRUE
1990,1990/1991,1991-04-20,17,3261,Martin Clark,England,2665.68,40,319,319,1987-10-17 00:00:00,1991-04-20 00:00:00,2669.57,TRUE,TRUE
1990,1990/1991,1991-04-20,18,659,Dean Reynolds,England,2664.82,67,670,670,1982-04-30 00:00:00,1991-04-20 00:00:00,2592.13,TRUE,TRUE
1990,1990/1991,1991-04-20,19,2879,Silvino Francisco,South Africa,2661.67,77,755,755,1982-04-30 00:00:00,1991-03-22 00:00:00,2645.57,TRUE,TRUE
1990,1990/1991,1991-04-20,20,469,Joe Johnson,England,2654.42,86,882,882,1982-10-11 00:00:00,1991-04-20 00:00:00,2647.32,TRUE,TRUE
1990,1990/1991,1991-04-20,21,795,Steve Newbury,Wales,2654.15,48,390,390,1984-10-20 00:00:00,1991-04-20 00:00:00,2662.09,TRUE,TRUE
1990,1990/1991,1991-04-20,22,2874,Tony Meo,England,2653.15,95,970,970,1980-05-22 00:00:00,1991-04-20 00:00:00,2646.39,TRUE,TRUE
1990,1990/1991,1991-04-20,23,806,Doug Mountjoy,Wales,2651.71,119,1275,1275,1977-02-07 00:00:00,1991-04-20 00:00:00,2603,TRUE,TRUE
1990,1990/1991,1991-04-20,24,802,Tony Chappel,Wales,2650.43,28,225,225,1984-10-20 00:00:00,1991-03-22 00:00:00,2629.31,TRUE,TRUE
1990,1990/1991,1991-04-20,25,449,Les Dodd,England,2647.92,25,217,217,1983-04-16 00:00:00,1991-03-22 00:00:00,2609.5,TRUE,TRUE
1990,1990/1991,1991-04-20,26,667,Dene O'Kane,New Zealand,2642.19,40,355,355,1984-10-20 00:00:00,1991-03-22 00:00:00,2635.37,TRUE,TRUE
1990,1990/1991,1991-04-20,27,3449,Eddie Charlton,Australia,2639.78,98,1135,1135,1975-01-13 00:00:00,1991-04-20 00:00:00,2613.81,TRUE,TRUE
1990,1990/1991,1991-04-20,28,181,Tony Knowles,England,2637.57,112,1187,1187,1981-04-07 00:00:00,1991-04-20 00:00:00,2648.14,TRUE,TRUE
1990,1990/1991,1991-04-20,29,1298,Peter Francisco,South Africa,2635.7,55,444,444,1984-10-20 00:00:00,1991-03-22 00:00:00,2649.6,TRUE,TRUE
1990,1990/1991,1991-04-20,30,2881,Bob Chaperon,Canada,2635.45,39,328,328,1984-10-20 00:00:00,1991-03-22 00:00:00,2603.96,TRUE,TRUE
1990,1990/1991,1991-04-20,31,223,Darren Morgan,Wales,2634.97,22,218,218,1988-10-10 00:00:00,1991-03-22 00:00:00,2622.12,TRUE,TRUE
1990,1990/1991,1991-04-20,32,3324,Eugene Hughes,Ireland,2634.86,50,436,436,1982-10-11 00:00:00,1991-03-22 00:00:00,2613.37,TRUE,TRUE
1990,1990/1991,1991-04-20,33,3463,Steve Duggan,England,2632.86,26,221,221,1983-10-10 00:00:00,1991-03-22 00:00:00,2611.26,TRUE,TRUE
1990,1990/1991,1991-04-20,34,3242,Mark Bennett,England,2628.9,27,249,249,1986-10-18 00:00:00,1991-04-20 00:00:00,2601.59,TRUE,TRUE
1990,1990/1991,1991-04-20,35,800,Wayne Jones,Wales,2628.2,42,392,392,1984-10-20 00:00:00,1991-03-22 00:00:00,2631.78,TRUE,TRUE
1990,1990/1991,1991-04-20,36,2870,Kirk Stevens,Canada,2622.62,82,917,917,1979-04-16 00:00:00,1991-03-22 00:00:00,2605.68,TRUE,TRUE
1990,1990/1991,1991-04-20,37,409,David Roe,England,2620.03,23,211,211,1986-10-18 00:00:00,1991-03-22 00:00:00,2606.77,TRUE,TRUE
1990,1990/1991,1991-04-20,38,3491,Ray Edmonds,England,2618.72,22,227,227,1980-05-22 00:00:00,1991-03-22 00:00:00,2563.19,TRUE,TRUE
1990,1990/1991,1991-04-20,39,3484,John Virgo,England,2617.69,87,873,873,1977-04-18 00:00:00,1991-04-20 00:00:00,2604.78,TRUE,TRUE
1990,1990/1991,1991-04-20,40,470,Cliff Thorburn,Canada,2615.29,144,1734,1734,1975-01-13 00:00:00,1991-03-22 00:00:00,2622.2,TRUE,TRUE
1990,1990/1991,1991-04-20,41,2875,Ray Reardon,Wales,2602.37,98,1188,1188,1975-01-13 00:00:00,1991-03-22 00:00:00,2658.38,TRUE,TRUE
1990,1990/1991,1991-04-20,42,2876,John Spencer,England,2601.55,73,725,725,1975-01-13 00:00:00,1991-03-22 00:00:00,2625.15,TRUE,TRUE
1990,1990/1991,1991-04-20,43,3504,Dave Martin,England,2598.32,31,253,253,1981-04-07 00:00:00,1989-08-17 00:00:00,2584.49,TRUE,TRUE
1990,1990/1991,1991-04-20,44,3487,John Campbell,Australia,2594.43,42,385,385,1983-04-16 00:00:00,1991-03-22 00:00:00,2582.35,TRUE,TRUE
1990,1990/1991,1991-04-20,45,3445,Jim Wych,Canada,2593.02,26,255,255,1980-05-22 00:00:00,1991-03-22 00:00:00,2584.06,TRUE,TRUE
1990,1990/1991,1991-04-20,46,3321,Danny Fowler,England,2592.73,32,276,276,1984-10-20 00:00:00,1991-03-22 00:00:00,2582.28,TRUE,TRUE
1990,1990/1991,1991-04-20,47,452,David Taylor,England,2591.88,63,660,660,1977-04-18 00:00:00,1991-03-22 00:00:00,2598.55,TRUE,TRUE
1990,1990/1991,1991-04-20,48,3515,Rex Williams,England,2587.53,63,545,545,1975-01-13 00:00:00,1991-03-22 00:00:00,2595.85,TRUE,TRUE
1990,1990/1991,1991-04-20,49,3509,Bill Werbeniuk,Canada,2585.25,50,597,597,1975-01-13 00:00:00,1991-03-22 00:00:00,2597.27,TRUE,TRUE
1990,1990/1991,1991-04-20,50,712,Murdo MacLeod,Scotland,2580.14,36,303,303,1982-10-11 00:00:00,1991-03-22 00:00:00,2579.34,TRUE,TRUE
1990,1990/1991,1991-04-20,51,3467,Cliff Wilson,Wales,2575.26,60,508,508,1980-05-22 00:00:00,1991-03-22 00:00:00,2579.39,TRUE,TRUE
1990,1990/1991,1991-04-20,52,3474,Steve Longworth,England,2574.74,26,229,229,1985-01-04 00:00:00,1991-03-22 00:00:00,2577.01,TRUE,TRUE
1990,1990/1991,1991-04-20,53,502,Barry West,England,2549.13,33,248,248,1985-10-19 00:00:00,1991-03-22 00:00:00,2568.02,TRUE,TRUE
1990,1990/1991,1991-04-20,54,3696,Graham Miles,England,2535.01,45,451,451,1975-01-13 00:00:00,1991-03-22 00:00:00,2578.41,TRUE,TRUE
1990,1990/1991,1991-04-20,55,2834,Fred Davis,England,2497.45,28,340,340,1975-01-13 00:00:00,1991-03-22 00:00:00,2557.7,TRUE,TRUE
