Season,SeasonLabel,SeasonEndDate,Rank,PlayerID,PlayerName,Nationality,Rating,MatchesPlayed,FramesPlayed,ListedFrames,FirstMatchDate,LastMatchDate,EntryRating,Active,Listable
2008,2008/2009,2009-04-18,1,17,Mark Selby,England,2817.15,169,1509,1509,1999-09-08 00:00:00,2009-04-18 00:00:00,2694.53,TRUE,TRUE
2008,2008/2009,2009-04-18,2,5,Ronnie O'Sullivan,England,2810.48,337,3532,3532,1992-06-20 00:00:00,2009-04-18 00:00:00,2727.41,TRUE,TRUE
2008,2008/2009,2009-04-18,3,62,Ricky Walden,England,2799.05,104,993,993,2001-02-20 00:00:00,2009-04-18 00:00:00,2670.12,TRUE,TRUE
2008,2008/2009,2009-04-18,4,237,John Higgins,Scotland,2798.49,370,3573,3573,1992-10-12 00:00:00,2009-04-18 00:00:00,2718.45,TRUE,TRUE
2008,2008/2009,2009-04-18,5,154,Neil Robertson,Australia,2797.21,158,1436,1436,1999-01-03 00:00:00,2009-04-18 00:00:00,2631.48,TRUE,TRUE
2008,2008/2009,2009-04-18,6,97,Shaun Murphy,England,2787.94,180,1783,1783,2001-02-04 00:00:00,2009-04-18 00:00:00,2709.44,TRUE,TRUE
2008,2008/2009,2009-04-18,7,68,Ryan Day,Wales,2786.15,155,1449,1449,1999-01-03 00:00:00,2009-04-18 00:00:00,2657.72,TRUE,TRUE
2008,2008/2009,2009-04-18,8,158,Ali Carter,England,2782.06,215,1742,1742,1997-01-03 00:00:00,2009-04-18 00:00:00,2654.01,TRUE,TRUE
2008,2008/2009,2009-04-18,9,202,Mark Allen,Northern Ireland,2778.25,107,849,849,2005-07-20 00:00:00,2009-04-18 00:00:00,2685.54,TRUE,TRUE
2008,2008/2009,2009-04-18,10,2,Stephen Maguire,Scotland,2769.61,148,1513,1513,1999-01-03 00:00:00,2009-04-18 00:00:00,2658.76,TRUE,TRUE
2008,2008/2009,2009-04-18,11,12,Judd Trump,England,2759.55,54,452,452,2005-10-31 00:00:00,2009-03-30 00:00:00,2671.03,TRUE,TRUE
2008,2008/2009,2009-04-18,12,168,Joe Perry,England,2757.57,209,1734,1734,1997-01-03 00:00:00,2009-04-18 00:00:00,2701.46,TRUE,TRUE
2008,2008/2009,2009-04-18,13,4,Fu Marco,Hong Kong,2753.8,145,1444,1444,1998-01-02 00:00:00,2009-04-18 00:00:00,2720.96,TRUE,TRUE
2008,2008/2009,2009-04-18,14,153,Stephen Hendry,Scotland,2747.89,487,5046,5046,1986-04-19 00:00:00,2009-04-18 00:00:00,2727.72,TRUE,TRUE
2008,2008/2009,2009-04-18,15,224,Ding Junhui,China,2746.11,132,1141,1141,2002-02-24 00:00:00,2009-04-18 00:00:00,2679.65,TRUE,TRUE
2008,2008/2009,2009-04-18,16,3,Jamie Cope,England,2740.48,99,759,759,2002-10-04 00:00:00,2009-04-18 00:00:00,2642.34,TRUE,TRUE
2008,2008/2009,2009-04-18,17,115,Anthony Hamilton,England,2739.9,209,1940,1940,1992-01-01 00:00:00,2009-03-30 00:00:00,2624.04,TRUE,TRUE
2008,2008/2009,2009-04-18,18,52,Graeme Dott,Scotland,2737.42,182,1808,1808,1996-01-01 00:00:00,2009-04-18 00:00:00,2677.78,TRUE,TRUE
2008,2008/2009,2009-04-18,19,1,Mark J Williams,Wales,2734.31,302,2866,2866,1993-02-22 00:00:00,2009-04-18 00:00:00,2646.43,TRUE,TRUE
2008,2008/2009,2009-04-18,20,30,Stuart Bingham,England,2730.28,144,1363,1363,1997-01-03 00:00:00,2009-04-18 00:00:00,2664.72,TRUE,TRUE
2008,2008/2009,2009-04-18,21,38,Gerard Greene,Northern Ireland,2724.23,108,987,987,1993-10-18 00:00:00,2009-04-18 00:00:00,2650.07,TRUE,TRUE
2008,2008/2009,2009-04-18,22,179,Stuart Pettman,England,2723.91,81,810,810,1993-10-18 00:00:00,2009-03-30 00:00:00,2605.02,TRUE,TRUE
2008,2008/2009,2009-04-18,23,35,Joe Swail,Northern Ireland,2722.74,215,1996,1996,1992-01-14 00:00:00,2009-04-18 00:00:00,2661.36,TRUE,TRUE
