Season,SeasonLabel,SeasonEndDate,Rank,PlayerID,PlayerName,Nationality,Rating,MatchesPlayed,FramesPlayed,ListedFrames,FirstMatchDate,LastMatchDate,EntryRating,Active,Listable
2016,2016/2017,2017-05-20,1,17,Mark Selby,England,2846.92,867,6361,6361,1999-09-08 00:00:00,2017-04-30 12:42:44,2600,TRUE,TRUE
2016,2016/2017,2017-05-20,2,237,John Higgins,Scotland,2834.37,929,7463,7463,1992-10-12 00:00:00,2017-04-30 12:42:44,2600,TRUE,TRUE
2016,2016/2017,2017-05-20,3,12,Judd Trump,England,2803.75,737,4988,4988,2005-10-31 00:00:00,2017-04-18 14:24:49,2600,TRUE,TRUE
2016,2016/2017,2017-05-20,4,16,Barry Hawkins,England,2801,675,4858,4858,1997-01-03 00:00:00,2017-04-27 17:48:59,2600,TRUE,TRUE
2016,2016/2017,2017-05-20,5,5,Ronnie O'Sullivan,England,2790.46,679,6243,6243,1992-06-20 00:00:00,2017-04-25 09:09:04,2600,TRUE,TRUE
2016,2016/2017,2017-05-20,6,224,Ding Junhui,China,2789.51,604,4703,4703,2002-02-24 00:00:00,2017-04-27 12:00:14,2600,TRUE,TRUE
2016,2016/2017,2017-05-20,7,154,Neil Robertson,Australia,2781.27,761,5559,5559,1999-01-03 00:00:00,2017-04-23 08:50:32,2600,TRUE,TRUE
2016,2016/2017,2017-05-20,8,2,Stephen Maguire,Scotland,2778.65,685,5092,5092,1999-01-03 00:00:00,2017-04-25 13:32:25,2600,TRUE,TRUE
2016,2016/2017,2017-05-20,9,4,Marco Fu,Hong Kong,2772.46,677,5022,5022,1998-01-02 00:00:00,2017-04-25 13:32:25,2600,TRUE,TRUE
2016,2016/2017,2017-05-20,10,30,Stuart Bingham,England,2769.85,718,5295,5295,1997-01-03 00:00:00,2017-04-20 11:51:45,2600,TRUE,TRUE
2016,2016/2017,2017-05-20,11,1,Mark J Williams,Wales,2759.46,930,6843,6843,1993-02-22 00:00:00,2017-04-11 16:00:29,2600,TRUE,TRUE
2016,2016/2017,2017-05-20,12,97,Shaun Murphy,England,2757.6,806,6035,6035,2001-02-04 00:00:00,2017-04-20 18:00:37,2600,TRUE,TRUE
2016,2016/2017,2017-05-20,13,68,Ryan Day,Wales,2755.1,693,4789,4789,1999-01-03 00:00:00,2017-04-19 09:01:01,2600,TRUE,TRUE
2016,2016/2017,2017-05-20,14,39,Kyren Wilson,England,2753.69,324,2152,2152,2010-08-01 10:00:00,2017-04-25 09:09:04,2600,TRUE,TRUE
2016,2016/2017,2017-05-20,15,15,Mark Davis,England,2750.4,697,4790,4790,1992-01-01 00:00:00,2017-04-09 09:05:29,2600,TRUE,TRUE
