MatchID,EventID,EventName,EventSeason,EventStartDate,EventEndDate,PlayerA_ID,PlayerB_ID,ScoreA,ScoreB,WinnerID,MatchDate,SourceFile
1188144,300,World Championship,2005,2006-04-15,2006-05-01,97,193,10,4,97,2013-04-20T23:53:43Z,matches_2005_event_300.csv
1188145,300,World Championship,2005,2006-04-15,2006-05-01,212,51,10,4,212,2013-04-20T23:53:43Z,matches_2005_event_300.csv
1188146,300,World Championship,2005,2006-04-15,2006-05-01,20,130,5,10,130,2013-04-20T23:53:43Z,matches_2005_event_300.csv
1188147,300,World Championship,2005,2006-04-15,2006-05-01,42,125,10,8,42,2013-04-20T23:53:43Z,matches_2005_event_300.csv
1188148,300,World Championship,2005,2006-04-15,2006-05-01,9,35,10,5,9,2013-04-20T23:53:43Z,matches_2005_event_300.csv
1188149,300,World Championship,2005,2006-04-15,2006-05-01,170,16,10,1,170,2013-04-20T23:53:43Z,matches_2005_event_300.csv
1188150,300,World Championship,2005,2006-04-15,2006-05-01,44,4,3,10,4,2013-04-20T23:53:43Z,matches_2005_event_300.csv
1188151,300,World Championship,2005,2006-04-15,2006-05-01,2,28,10,6,2,2013-04-20T23:53:43Z,matches_2005_event_300.csv
1188152,300,World Championship,2005,2006-04-15,2006-05-01,153,14,9,10,14,2013-04-20T23:53:43Z,matches_2005_event_300.csv
1188153,300,World Championship,2005,2006-04-15,2006-05-01,52,408,10,3,52,2013-04-20T23:53:43Z,matches_2005_event_300.csv
1188154,300,World Championship,2005,2006-04-15,2006-05-01,13,158,10,8,13,2013-04-20T23:53:43Z,matches_2005_event_300.csv
1188155,300,World Championship,2005,2006-04-15,2006-05-01,1191,154,5,10,154,2013-04-20T23:53:43Z,matches_2005_event_300.csv
1188156,300,World Championship,2005,2006-04-15,2006-05-01,237,17,4,10,17,2013-04-20T23:53:43Z,matches_2005_event_300.csv
1188157,300,World Championship,2005,2006-04-15,2006-05-01,1,115,10,1,1,2013-04-20T23:53:43Z,matches_2005_event_300.csv
1188158,300,World Championship,2005,2006-04-15,2006-05-01,168,68,3,10,68,2013-04-20T23:53:43Z,matches_2005_event_300.csv
1188159,300,World Championship,2005,2006-04-15,2006-05-01,5,31,10,4,5,2013-04-20T23:53:43Z,matches_2005_event_300.csv
8108721,300,World Championship,2005,2006-04-15,2006-05-01,97,212,13,7,97,2013-04-20T23:58:20Z,matches_2005_event_300.csv
8108722,300,World Championship,2005,2006-04-15,2006-05-01,130,42,2,13,42,2013-04-20T23:58:20Z,matches_2005_event_300.csv
8108723,300,World Championship,2005,2006-04-15,2006-05-01,9,170,8,13,170,2013-04-20T23:58:20Z,matches_2005_event_300.csv
8108724,300,World Championship,2005,2006-04-15,2006-05-01,4,2,13,3,4,2013-04-20T23:58:20Z,matches_2005_event_300.csv
8108725,300,World Championship,2005,2006-04-15,2006-05-01,14,52,9,13,52,2013-04-20T23:58:20Z,matches_2005_event_300.csv
8108726,300,World Championship,2005,2006-04-15,2006-05-01,13,154,9,13,154,2013-04-20T23:58:20Z,matches_2005_event_300.csv
8108727,300,World Championship,2005,2006-04-15,2006-05-01,17,1,8,13,1,2013-04-20T23:58:20Z,matches_2005_event_300.csv
8108728,300,World Championship,2005,2006-04-15,2006-05-01,68,5,10,13,5,2013-04-20T23:58:20Z,matches_2005_event_300.csv
1188168,300,World Championship,2005,2006-04-15,2006-05-01,97,42,7,13,42,2013-04-21T00:01:27Z,matches_2005_event_300.csv
1188169,300,World Championship,2005,2006-04-15,2006-05-01,170,4,10,13,4,2013-04-21T00:01:27Z,matches_2005_event_300.csv
1188170,300,World Championship,2005,2006-04-15,2006-05-01,52,154,13,12,52,2013-04-21T00:01:27Z,matches_2005_event_300.csv
1188171,300,World Championship,2005,2006-04-15,2006-05-01,1,5,11,13,5,2013-04-21T00:01:27Z,matches_2005_event_300.csv
1188172,300,World Championship,2005,2006-04-15,2006-05-01,42,4,17,16,42,2013-04-21T00:04:27Z,matches_2005_event_300.csv
1188173,300,World Championship,2005,2006-04-15,2006-05-01,52,5,17,11,52,2013-04-21T00:04:27Z,matches_2005_event_300.csv
8105442,300,World Championship,2005,2006-04-15,2006-05-01,42,52,14,18,52,2013-04-21T00:05:15Z,matches_2005_event_300.csv
1188080,301,World Championship Qualifier Rounds 4-6,2005,2006-01-08,2006-01-13,7,122,10,3,7,2013-04-21T09:54:50Z,matches_2005_event_301.csv
1188081,301,World Championship Qualifier Rounds 4-6,2005,2006-01-08,2006-01-13,224,1195,10,1,224,2013-04-21T09:54:50Z,matches_2005_event_301.csv
1188082,301,World Championship Qualifier Rounds 4-6,2005,2006-01-08,2006-01-13,922,78,1,10,78,2013-04-21T09:54:50Z,matches_2005_event_301.csv
1188083,301,World Championship Qualifier Rounds 4-6,2005,2006-01-08,2006-01-13,1197,1198,0,0,1197,2013-04-21T09:54:50Z,matches_2005_event_301.csv
1188084,301,World Championship Qualifier Rounds 4-6,2005,2006-01-08,2006-01-13,409,804,10,9,409,2013-04-21T09:54:50Z,matches_2005_event_301.csv
