MatchID,EventID,EventName,EventSeason,EventStartDate,EventEndDate,PlayerA_ID,PlayerB_ID,ScoreA,ScoreB,WinnerID,MatchDate,SourceFile
1187343,59,World Championship,2009,2010-04-17,2010-05-03,154,52,18,13,154,2009-08-01T10:00:00Z,matches_2009_event_59.csv
1187344,59,World Championship,2009,2010-04-17,2010-05-03,154,158,17,12,154,2009-08-01T10:00:00Z,matches_2009_event_59.csv
1187345,59,World Championship,2009,2010-04-17,2010-05-03,52,17,17,14,52,2009-08-01T10:00:00Z,matches_2009_event_59.csv
1187346,59,World Championship,2009,2010-04-17,2010-05-03,212,154,5,13,154,2009-08-01T10:00:00Z,matches_2009_event_59.csv
1187347,59,World Championship,2009,2010-04-17,2010-05-03,158,97,13,12,158,2009-08-01T10:00:00Z,matches_2009_event_59.csv
1187348,59,World Championship,2009,2010-04-17,2010-05-03,52,202,13,12,52,2009-08-01T10:00:00Z,matches_2009_event_59.csv
1187349,59,World Championship,2009,2010-04-17,2010-05-03,17,5,13,11,17,2009-08-01T10:00:00Z,matches_2009_event_59.csv
8324543,59,World Championship,2009,2010-04-17,2010-05-03,237,212,11,13,212,2009-08-01T10:00:00Z,matches_2009_event_59.csv
8324544,59,World Championship,2009,2010-04-17,2010-05-03,154,27,13,12,154,2009-08-01T10:00:00Z,matches_2009_event_59.csv
8324545,59,World Championship,2009,2010-04-17,2010-05-03,158,168,13,11,158,2009-08-01T10:00:00Z,matches_2009_event_59.csv
8324546,59,World Championship,2009,2010-04-17,2010-05-03,224,97,10,13,97,2009-08-01T10:00:00Z,matches_2009_event_59.csv
8324547,59,World Championship,2009,2010-04-17,2010-05-03,2,52,6,13,52,2009-08-01T10:00:00Z,matches_2009_event_59.csv
8324548,59,World Championship,2009,2010-04-17,2010-05-03,202,15,13,5,202,2009-08-01T10:00:00Z,matches_2009_event_59.csv
8324549,59,World Championship,2009,2010-04-17,2010-05-03,17,153,13,5,17,2009-08-01T10:00:00Z,matches_2009_event_59.csv
