MatchID,EventID,EventName,EventSeason,EventStartDate,EventEndDate,PlayerA_ID,PlayerB_ID,ScoreA,ScoreB,WinnerID,MatchDate,SourceFile
8323879,1718,Masters,1982,1983-01-23,1983-01-30,2878,3509,4,5,3509,2023-11-30T09:19:21Z,matches_1982_event_1718.csv
8323880,1718,Masters,1982,1983-01-23,1983-01-30,3449,2874,5,3,3449,2023-11-30T09:19:21Z,matches_1982_event_1718.csv
8323881,1718,Masters,1982,1983-01-23,1983-01-30,2870,2877,3,5,2877,2023-11-30T09:19:21Z,matches_1982_event_1718.csv
8323882,1718,Masters,1982,1983-01-23,1983-01-30,470,469,5,2,470,2023-11-30T09:19:21Z,matches_1982_event_1718.csv
8323883,1718,Masters,1982,1983-01-23,1983-01-30,2875,659,5,1,2875,2023-11-30T09:19:21Z,matches_1982_event_1718.csv
8323884,1718,Masters,1982,1983-01-23,1983-01-30,452,20,2,5,20,2023-11-30T09:19:21Z,matches_1982_event_1718.csv
8323885,1718,Masters,1982,1983-01-23,1983-01-30,806,3484,5,1,806,2023-11-30T09:19:21Z,matches_1982_event_1718.csv
8323886,1718,Masters,1982,1983-01-23,1983-01-30,212,3701,5,2,212,2023-11-30T09:19:21Z,matches_1982_event_1718.csv
8323887,1718,Masters,1982,1983-01-23,1983-01-30,3509,3449,3,5,3449,2023-11-30T09:19:56Z,matches_1982_event_1718.csv
8323888,1718,Masters,1982,1983-01-23,1983-01-30,2877,470,3,5,470,2023-11-30T09:19:56Z,matches_1982_event_1718.csv
8323889,1718,Masters,1982,1983-01-23,1983-01-30,2875,20,5,2,2875,2023-11-30T09:19:56Z,matches_1982_event_1718.csv
8323890,1718,Masters,1982,1983-01-23,1983-01-30,806,212,5,4,806,2023-11-30T09:19:56Z,matches_1982_event_1718.csv
8323893,1718,Masters,1982,1983-01-23,1983-01-30,3449,470,5,6,470,2023-11-30T09:20:29Z,matches_1982_event_1718.csv
8323894,1718,Masters,1982,1983-01-23,1983-01-30,2875,806,6,3,2875,2023-11-30T09:20:29Z,matches_1982_event_1718.csv
8323897,1718,Masters,1982,1983-01-23,1983-01-30,470,2875,9,7,470,2023-11-30T09:22:14Z,matches_1982_event_1718.csv
8326104,1733,World Championship,1982,1983-04-16,1983-05-02,2878,659,10,4,2878,2023-12-04T10:32:03Z,matches_1982_event_1733.csv
