ID,EventID,Round,Number,Player1ID,Score1,Walkover1,Player2ID,Score2,Walkover2,WinnerID,Unfinished,OnBreak,Status,WorldSnookerID,LiveUrl,DetailsUrl,PointsDropped,ShowCommonNote,Estimated,Type,TableNo,VideoURL,InitDate,ModDate,StartDate,EndDate,ScheduledDate,FrameScores,Sessions,Note,ExtendedNote,HeldOver,StatsURL,EventName,EventStartDate,EventEndDate,Season
10210100,2758,2,18,1045,0,FALSE,2046,0,FALSE,0,FALSE,FALSE,0,0,https://www.wst.tv/match-centre/13f6b9e0-8c88-4127-9ca4-1bf6e6ce33ff,https://www.wst.tv/match-centre/13f6b9e0-8c88-4127-9ca4-1bf6e6ce33ff,FALSE,FALSE,FALSE,1,0,,2026-05-29 12:37:05,2026-06-05 08:18:24,,,2026-06-15 18:00:00,,,"","",FALSE,,Wuhan Open Qualifiers,2026-06-15,2026-06-18,2026
10210101,2758,2,19,2640,0,FALSE,20,0,FALSE,0,FALSE,FALSE,0,0,https://www.wst.tv/match-centre/82c21ac4-5a52-4d33-8252-b419c3b7daad,https://www.wst.tv/match-centre/82c21ac4-5a52-4d33-8252-b419c3b7daad,FALSE,FALSE,FALSE,1,0,,2026-05-29 12:37:05,2026-06-05 08:18:24,,,2026-06-15 18:00:00,,,"","",FALSE,,Wuhan Open Qualifiers,2026-06-15,2026-06-18,2026
10210102,2758,2,20,2320,0,FALSE,1485,0,FALSE,0,FALSE,FALSE,0,0,https://www.wst.tv/match-centre/dc491ce1-fc81-4412-ba67-b19d1ea2567c,https://www.wst.tv/match-centre/dc491ce1-fc81-4412-ba67-b19d1ea2567c,FALSE,FALSE,FALSE,1,0,,2026-05-29 12:37:05,2026-06-05 08:18:24,,,2026-06-15 18:00:00,,,"","",FALSE,,Wuhan Open Qualifiers,2026-06-15,2026-06-18,2026
10210103,2758,2,21,109,0,FALSE,2754,0,FALSE,0,FALSE,FALSE,0,0,https://www.wst.tv/match-centre/50047d8c-bdb0-4e10-875d-2f4f8bbed8b1,https://www.wst.tv/match-centre/50047d8c-bdb0-4e10-875d-2f4f8bbed8b1,FALSE,FALSE,FALSE,1,0,,2026-05-29 12:37:05,2026-06-05 08:18:24,,,2026-06-15 18:00:00,,,"","",FALSE,,Wuhan Open Qualifiers,2026-06-15,2026-06-18,2026
10210104,2758,2,22,146,0,FALSE,376,0,FALSE,0,FALSE,FALSE,0,0,"","",FALSE,FALSE,FALSE,1,0,,2026-05-29 12:37:05,2026-05-29 13:52:17,,,2026-06-16 09:00:00,,,"","",FALSE,,Wuhan Open Qualifiers,2026-06-15,2026-06-18,2026
10210105,2758,2,23,239,0,FALSE,1149,0,FALSE,0,FALSE,FALSE,0,0,https://www.wst.tv/match-centre/06b7a958-87fe-443a-b8a8-7dd7a9aa4036,https://www.wst.tv/match-centre/06b7a958-87fe-443a-b8a8-7dd7a9aa4036,FALSE,FALSE,FALSE,1,0,,2026-05-29 12:37:05,2026-06-05 08:18:24,,,2026-06-15 18:00:00,,,"","",FALSE,,Wuhan Open Qualifiers,2026-06-15,2026-06-18,2026
10210106,2758,2,24,2887,0,FALSE,550,0,FALSE,0,FALSE,FALSE,0,0,https://www.wst.tv/match-centre/83bb5f09-5f09-40b0-8d6b-fde81fa1fbde,https://www.wst.tv/match-centre/83bb5f09-5f09-40b0-8d6b-fde81fa1fbde,FALSE,FALSE,FALSE,1,0,,2026-05-29 12:37:05,2026-06-05 08:18:24,,,2026-06-15 18:00:00,,,"","",FALSE,,Wuhan Open Qualifiers,2026-06-15,2026-06-18,2026
10210107,2758,2,25,2746,0,FALSE,21,0,FALSE,0,FALSE,FALSE,0,0,https://www.wst.tv/match-centre/8f6e66f3-c3a9-4593-a471-8ccd55a49030,https://www.wst.tv/match-centre/8f6e66f3-c3a9-4593-a471-8ccd55a49030,FALSE,FALSE,FALSE,1,0,,2026-05-29 12:37:05,2026-06-05 08:20:52,,,2026-06-16 09:00:00,,,"","",FALSE,,Wuhan Open Qualifiers,2026-06-15,2026-06-18,2026
10210108,2758,2,26,898,0,FALSE,2797,0,FALSE,0,FALSE,FALSE,0,0,https://www.wst.tv/match-centre/038b33d8-ed00-427d-946b-169c79323a50,https://www.wst.tv/match-centre/038b33d8-ed00-427d-946b-169c79323a50,FALSE,FALSE,FALSE,1,0,,2026-05-29 12:37:05,2026-06-05 08:20:52,,,2026-06-16 09:00:00,,,"","",FALSE,,Wuhan Open Qualifiers,2026-06-15,2026-06-18,2026
10210109,2758,2,27,4,0,FALSE,2767,0,FALSE,0,FALSE,FALSE,0,0,https://www.wst.tv/match-centre/bd7b58f3-9ff1-4065-836e-1e0d140e13ce,https://www.wst.tv/match-centre/bd7b58f3-9ff1-4065-836e-1e0d140e13ce,FALSE,FALSE,FALSE,1,0,,2026-05-29 12:37:05,2026-06-05 08:20:52,,,2026-06-16 09:00:00,,,"","",FALSE,,Wuhan Open Qualifiers,2026-06-15,2026-06-18,2026
