MatchID,EventID,EventName,EventSeason,EventStartDate,EventEndDate,PlayerA_ID,PlayerB_ID,ScoreA,ScoreB,WinnerID,MatchDate,SourceFile
8767232,1040,Grand Prix,2004,2004-10-02,2004-10-10,15,173,5,2,15,2024-07-09T11:22:44Z,matches_2004_event_1040.csv
8767233,1040,Grand Prix,2004,2004-10-02,2004-10-10,54,500,5,0,54,2024-07-09T11:22:44Z,matches_2004_event_1040.csv
8767234,1040,Grand Prix,2004,2004-10-02,2004-10-10,68,1197,5,4,68,2024-07-09T11:22:44Z,matches_2004_event_1040.csv
8767235,1040,Grand Prix,2004,2004-10-02,2004-10-10,549,505,4,5,505,2024-07-09T11:22:44Z,matches_2004_event_1040.csv
8767236,1040,Grand Prix,2004,2004-10-02,2004-10-10,17,546,5,4,17,2024-07-09T11:22:44Z,matches_2004_event_1040.csv
8767237,1040,Grand Prix,2004,2004-10-02,2004-10-10,657,422,4,5,422,2024-07-09T11:22:44Z,matches_2004_event_1040.csv
8767238,1040,Grand Prix,2004,2004-10-02,2004-10-10,3204,119,1,5,119,2024-07-09T11:22:44Z,matches_2004_event_1040.csv
8767239,1040,Grand Prix,2004,2004-10-02,2004-10-10,30,7,4,5,7,2024-07-09T11:22:44Z,matches_2004_event_1040.csv
8767240,1040,Grand Prix,2004,2004-10-02,2004-10-10,1426,21,5,4,1426,2024-07-09T11:22:44Z,matches_2004_event_1040.csv
8767241,1040,Grand Prix,2004,2004-10-02,2004-10-10,193,3226,5,2,193,2024-07-09T11:22:44Z,matches_2004_event_1040.csv
8767242,1040,Grand Prix,2004,2004-10-02,2004-10-10,804,122,4,5,122,2024-07-09T11:22:44Z,matches_2004_event_1040.csv
8767243,1040,Grand Prix,2004,2004-10-02,2004-10-10,36,3202,5,2,36,2024-07-09T11:22:44Z,matches_2004_event_1040.csv
8767244,1040,Grand Prix,2004,2004-10-02,2004-10-10,1162,3200,5,2,1162,2024-07-09T11:22:44Z,matches_2004_event_1040.csv
8767245,1040,Grand Prix,2004,2004-10-02,2004-10-10,64,283,0,5,283,2024-07-09T11:22:44Z,matches_2004_event_1040.csv
8767246,1040,Grand Prix,2004,2004-10-02,2004-10-10,31,223,4,5,223,2024-07-09T11:22:44Z,matches_2004_event_1040.csv
8767247,1040,Grand Prix,2004,2004-10-02,2004-10-10,55,1049,5,0,55,2024-07-09T11:22:44Z,matches_2004_event_1040.csv
8767248,1040,Grand Prix,2004,2004-10-02,2004-10-10,53,3203,5,2,53,2024-07-09T11:23:36Z,matches_2004_event_1040.csv
8767249,1040,Grand Prix,2004,2004-10-02,2004-10-10,179,50,1,5,50,2024-07-09T11:23:36Z,matches_2004_event_1040.csv
8767250,1040,Grand Prix,2004,2004-10-02,2004-10-10,56,60,5,2,56,2024-07-09T11:23:36Z,matches_2004_event_1040.csv
8767251,1040,Grand Prix,2004,2004-10-02,2004-10-10,177,3201,5,1,177,2024-07-09T11:23:36Z,matches_2004_event_1040.csv
8767252,1040,Grand Prix,2004,2004-10-02,2004-10-10,63,1196,5,3,63,2024-07-09T11:23:36Z,matches_2004_event_1040.csv
8767253,1040,Grand Prix,2004,2004-10-02,2004-10-10,14,194,5,2,14,2024-07-09T11:23:36Z,matches_2004_event_1040.csv
8767254,1040,Grand Prix,2004,2004-10-02,2004-10-10,922,62,1,5,62,2024-07-09T11:23:36Z,matches_2004_event_1040.csv
8767255,1040,Grand Prix,2004,2004-10-02,2004-10-10,97,205,5,0,97,2024-07-09T11:23:36Z,matches_2004_event_1040.csv
8767256,1040,Grand Prix,2004,2004-10-02,2004-10-10,51,224,5,1,51,2024-07-09T11:23:36Z,matches_2004_event_1040.csv
8767257,1040,Grand Prix,2004,2004-10-02,2004-10-10,2505,154,0,5,154,2024-07-09T11:23:36Z,matches_2004_event_1040.csv
8767258,1040,Grand Prix,2004,2004-10-02,2004-10-10,520,492,5,2,520,2024-07-09T11:23:36Z,matches_2004_event_1040.csv
8767259,1040,Grand Prix,2004,2004-10-02,2004-10-10,672,83,2,5,83,2024-07-09T11:23:36Z,matches_2004_event_1040.csv
8767260,1040,Grand Prix,2004,2004-10-02,2004-10-10,409,23,5,0,409,2024-07-09T11:23:36Z,matches_2004_event_1040.csv
8767261,1040,Grand Prix,2004,2004-10-02,2004-10-10,16,498,5,1,16,2024-07-09T11:23:36Z,matches_2004_event_1040.csv
8767262,1040,Grand Prix,2004,2004-10-02,2004-10-10,204,8,5,4,204,2024-07-09T11:23:36Z,matches_2004_event_1040.csv
8767263,1040,Grand Prix,2004,2004-10-02,2004-10-10,11,19,5,1,11,2024-07-09T11:23:36Z,matches_2004_event_1040.csv
8767264,1040,Grand Prix,2004,2004-10-02,2004-10-10,5,15,5,2,5,2024-07-09T11:30:07Z,matches_2004_event_1040.csv
8767265,1040,Grand Prix,2004,2004-10-02,2004-10-10,35,54,5,3,35,2024-07-09T11:30:07Z,matches_2004_event_1040.csv
8767266,1040,Grand Prix,2004,2004-10-02,2004-10-10,52,68,5,4,52,2024-07-09T11:30:07Z,matches_2004_event_1040.csv
8767267,1040,Grand Prix,2004,2004-10-02,2004-10-10,33,505,5,1,33,2024-07-09T11:30:07Z,matches_2004_event_1040.csv
8767268,1040,Grand Prix,2004,2004-10-02,2004-10-10,2880,17,4,5,17,2024-07-09T11:30:07Z,matches_2004_event_1040.csv
8767269,1040,Grand Prix,2004,2004-10-02,2004-10-10,1166,422,4,5,422,2024-07-09T11:30:07Z,matches_2004_event_1040.csv
8767270,1040,Grand Prix,2004,2004-10-02,2004-10-10,42,119,5,2,42,2024-07-09T11:30:07Z,matches_2004_event_1040.csv
8767271,1040,Grand Prix,2004,2004-10-02,2004-10-10,28,7,0,5,7,2024-07-09T11:30:07Z,matches_2004_event_1040.csv
