MatchID,EventID,EventName,EventSeason,EventStartDate,EventEndDate,PlayerA_ID,PlayerB_ID,ScoreA,ScoreB,WinnerID,MatchDate,SourceFile
8324909,1739,World Championship,1988,1989-04-15,1989-05-01,212,205,13,3,212,2023-12-01T10:37:08Z,matches_1988_event_1739.csv
8324910,1739,World Championship,1988,1989-04-15,1989-05-01,153,2877,13,5,153,2023-12-01T10:37:08Z,matches_1988_event_1739.csv
8324911,1739,World Championship,1988,1989-04-15,1989-05-01,20,408,7,13,408,2023-12-01T10:37:08Z,matches_1988_event_1739.csv
8324912,1739,World Championship,1988,1989-04-15,1989-05-01,659,2874,9,13,2874,2023-12-01T10:37:08Z,matches_1988_event_1739.csv
8364366,1739,World Championship,1988,1989-04-15,1989-05-01,212,153,16,9,212,2023-12-01T10:37:34Z,matches_1988_event_1739.csv
8364367,1739,World Championship,1988,1989-04-15,1989-05-01,408,2874,16,7,408,2023-12-01T10:37:34Z,matches_1988_event_1739.csv
8364370,1739,World Championship,1988,1989-04-15,1989-05-01,212,408,18,3,212,2023-12-01T10:37:51Z,matches_1988_event_1739.csv
8756708,2037,Classic,1988,1989-01-01,1989-01-15,802,212,5,3,802,2024-06-10T12:26:23Z,matches_1988_event_2037.csv
8756709,2037,Classic,1988,1989-01-01,1989-01-15,927,502,5,4,927,2024-06-10T12:26:23Z,matches_1988_event_2037.csv
8756710,2037,Classic,1988,1989-01-01,1989-01-15,3501,205,5,2,3501,2024-06-10T12:26:23Z,matches_1988_event_2037.csv
8756711,2037,Classic,1988,1989-01-01,1989-01-15,1049,804,5,1,1049,2024-06-10T12:26:23Z,matches_1988_event_2037.csv
8756712,2037,Classic,1988,1989-01-01,1989-01-15,3248,1298,5,4,3248,2024-06-10T12:26:23Z,matches_1988_event_2037.csv
8756713,2037,Classic,1988,1989-01-01,1989-01-15,806,3704,5,0,806,2024-06-10T12:26:23Z,matches_1988_event_2037.csv
8756714,2037,Classic,1988,1989-01-01,1989-01-15,181,3486,5,4,181,2024-06-10T12:26:23Z,matches_1988_event_2037.csv
8756715,2037,Classic,1988,1989-01-01,1989-01-15,659,3463,5,1,659,2024-06-10T12:26:23Z,matches_1988_event_2037.csv
8756716,2037,Classic,1988,1989-01-01,1989-01-15,470,3584,5,2,470,2024-06-10T12:26:23Z,matches_1988_event_2037.csv
8756717,2037,Classic,1988,1989-01-01,1989-01-15,3699,3474,5,3,3699,2024-06-10T12:26:23Z,matches_1988_event_2037.csv
8756718,2037,Classic,1988,1989-01-01,1989-01-15,3484,449,5,2,3484,2024-06-10T12:26:23Z,matches_1988_event_2037.csv
8756719,2037,Classic,1988,1989-01-01,1989-01-15,2881,3444,5,3,2881,2024-06-10T12:26:23Z,matches_1988_event_2037.csv
8756720,2037,Classic,1988,1989-01-01,1989-01-15,468,3321,5,3,468,2024-06-10T12:26:23Z,matches_1988_event_2037.csv
8756721,2037,Classic,1988,1989-01-01,1989-01-15,795,3496,5,3,795,2024-06-10T12:26:23Z,matches_1988_event_2037.csv
8756722,2037,Classic,1988,1989-01-01,1989-01-15,153,3489,5,2,153,2024-06-10T12:26:23Z,matches_1988_event_2037.csv
8756723,2037,Classic,1988,1989-01-01,1989-01-15,2875,3449,5,1,2875,2024-06-10T12:26:23Z,matches_1988_event_2037.csv
8756724,2037,Classic,1988,1989-01-01,1989-01-15,668,3504,5,1,668,2024-06-10T12:26:23Z,matches_1988_event_2037.csv
8756725,2037,Classic,1988,1989-01-01,1989-01-15,3261,2876,5,2,3261,2024-06-10T12:26:23Z,matches_1988_event_2037.csv
