PlayerID,PlayerName,Nationality,GamesUsed,FramesUsed,FramesWon,FrameRate,BaselineStart,RetroStart,RetroAdjustment
2411,Ploychompoo Laokiatphong,Thailand,61,202,144,0.712871287128713,2600,2821.96916301283,221.969163012828
2611,Liu Hongyu,China,35,202,116,0.574257425742574,2600,2819.53431197056,219.534311970559
2793,Jamie Hunter,England,64,203,144,0.70935960591133,2600,2810.26341541044,210.263415410437
1828,Baipat Siripaporn,Thailand,54,202,138,0.683168316831683,2600,2790.89462215724,190.894622157235
3461,Wang Xinbo,China,32,200,110,0.55,2600,2778.70549891498,178.705498914984
3088,Narantuya Bayarsaikhan,Mongolia,62,201,131,0.651741293532338,2600,2769.34607218813,169.346072188131
2117,Wan Katrina,Hong Kong,58,203,143,0.704433497536946,2600,2767.86269119295,167.862691192946
1763,Sunny Akani,Thailand,26,200,107,0.535,2600,2765.01892078869,165.018920788691
1982,Si Jiahui,China,37,202,116,0.574257425742574,2600,2763.11926579131,163.119265791311
2616,Bai Yulu,China,43,200,118,0.59,2600,2761.73592079388,161.735920793883
1578,Boonyarit Keattikun,Thailand,28,203,118,0.58128078817734,2600,2760.34270666739,160.342706667394
2119,Maria Catalano,England,51,202,137,0.678217821782178,2600,2759.98017920112,159.980179201117
2121,Rebecca Kenna,England,51,203,136,0.669950738916256,2600,2755.67124588301,155.67124588301
2824,Tessa Davidson,England,65,200,127,0.635,2600,2754.71424953129,154.714249531294
4139,Narucha Phoemphul,Thailand,69,201,126,0.626865671641791,2600,2750.31660945518,150.316609455177
2788,Mary Talbot,England,71,200,129,0.645,2600,2747.40034743217,147.400347432174
2066,Ishpreet Singh Chadha,India,36,206,110,0.533980582524272,2600,2746.91817354387,146.918173543868
946,Zhao Xintong,China,31,202,112,0.554455445544555,2600,2746.83239914208,146.832399142077
2557,Zhao Jianbo,China,38,200,99,0.495,2600,2743.47051072804,143.470510728044
3085,Anupama Ramachandran,India,62,201,124,0.616915422885572,2600,2742.28705134157,142.287051341569
1829,Mink Nutcharut,Thailand,48,201,122,0.606965174129353,2600,2739.56525619957,139.565256199573
236,Wendy Jans,Belgium,50,204,130,0.637254901960784,2600,2738.0564282354,138.056428235399
4148,Lan Yuhao,China,31,206,96,0.466019417475728,2600,2734.24664366512,134.246643665118
1577,Kritsanut Lertsattayatthorn,Thailand,27,200,99,0.495,2600,2733.30220000507,133.302200005069
22,Anthony McGill,Scotland,39,202,125,0.618811881188119,2600,2731.34246279069,131.342462790694
3534,Artemijs Zizins,Latvia,40,204,111,0.544117647058824,2600,2730.99537699103,130.995376991032
1981,Chang Bingyu,China,27,201,93,0.462686567164179,2600,2730.7698263993,130.7698263993
3528,Mykhailo Larkov,Ukraine,46,200,127,0.635,2600,2730.28564280986,130.285642809859
998,David Lilley,England,35,201,117,0.582089552238806,2600,2730.1321861915,130.132186191497
42,Peter Ebdon,England,17,205,127,0.619512195121951,2600,2730.0833810011,130.083381001104
153,Stephen Hendry,Scotland,18,202,119,0.589108910891089,2600,2727.71851092324,127.718510923236
5,Ronnie O'Sullivan,England,19,208,123,0.591346153846154,2600,2727.41414214416,127.414142144163
