name,rating,games,last_historical_game
Cheon Suyu,3093.37700433841,1,1985-10-21
Cheon Yeonggyu,3183.1438767492145,39,2023-07-29
Cheon Youngseon,3005.3154851400027,22,1996-08-12
Cheon Yujin,3088.9917371275037,4,2025-12-12
Cheong Chanho,3096.3797075013663,4,2009-02-28
Cheong Chunhwan,3104.392458029574,1,2017-11-03
Cheong Euipeom,3098.6155904265224,1,2004-08-21
Cheong Kwangmo,3099,1,2006-03-17
Cheong Kwanyeong,3099,1,2009-08-25
Cheong Kyujun,3096.903797823308,4,1934-08-09
Cheong Minyeong,3099,1,2001-03-26
Cheong Seongo,3096.7591000881675,1,2002-12-15
Cheong Seunghyeon,3094.3188658068734,1,2013-07-09
Cheong Suhyeon,3054.2261833395823,232,2022-10-26
Cheong Taesang,2989.4414354888113,146,2025-11-04
Cheong Tat Yeo,3095.199893970376,4,1992-05-30
Cheong Taweon,3102.768433988892,1,2007-06-17
Cheong Tongsik,3020.4988062632815,7,2006-03-28
Cheong Uibeom,3099,1,2001-08-10
Cheong Unheui,3103.604885230511,1,1981-06-13
Cheong Wonmyeong,3101,1,1981-02-02
Cheong Woojin,3128.876858627707,12,2024-12-12
Cheong Yeonu,3058.0365797369755,4,2021-08-10
Cheong Yujin,3063.47586964274,119,2025-12-12
Cherry Shen,3101,1,2009-04-19
Chi Bokeun,3088.4427948589914,2,2000-06-21
Chi Hin Chan,3103.027508200309,8,2016-06-08
Chi Taeun,3098.1963432467396,1,1967-08-12
Chi Thanh Tran,3099,1,2008-05-31
Chiba Harunari,3097.6279438308266,2,1979-10-07
Chiba Satoko,3099,1,2010-07-28
Chien Lichen,3109.9532830142803,4,2008-11-11
Chin Hakusho,3125.052219733758,4,2024-04-15
Chin Hwee Chua,3087.7684583139107,1,1999-06-10
Chin Kaei,3030.404933365645,163,2025-10-01
Chin Seungchae,3128.404432390167,3,2017-12-11
Chin Tongmuk,3098.616028051683,1,2010-08-08
Chinen Kaori,3019.1710074662797,295,2023-01-23
Chinese Team,3097.6279438308266,2,2015-11-20
Chino Tadahiko,2996.9352965539374,101,2019-04-04
Cho Chen,2957.830860147595,40,2024-10-17
Cho Chikun,3277.193682887061,2228,2025-10-30
Cho Eunjin,3079.4870467837845,3,2021-06-30
Cho Hanseung,3373.4056480858917,830,2025-10-23
Cho Hunhyun,3213.7129197864065,1945,2025-11-17
Cho Hwankyu,3099,1,2017-03-11
Cho Hyeyeon,3178.5667590253315,395,2025-10-21
Cho Inseon,3193.9016910626533,40,2024-07-09
Cho Kien,3098.157114050761,2,1975-11-24
Cho Koharu,3088.921160828645,14,2025-08-13
Cho Kosumi,2993.6027300248543,23,2025-08-07
Cho Kwangheui,3095.884123337484,4,2006-07-05
Cho Kwangho,3103.9208043729454,1,2020-05-20
Cho Kwangkyu,3095.650967845582,1,2020-05-27
Cho Kyeongho,3118.098882154421,3,2013-01-29
Cho Mikyeong,3099.325900329114,2,2005-11-09
Cho Minsu,3156.855222512243,24,2018-07-02
Cho Namcheol,3081.75708729506,259,1998-09-02
Cho Namkun,3095.035748058751,1,2017-06-19
Cho Pyeongcheol,3097.4972254929853,1,1995-04-30
Cho Pyeongtak,3095.012862006799,11,1997-04-24
Cho Riyu,3161.2691978751463,225,2025-11-24
Cho Rosho,3094.5546192357056,5,2025-05-07
Cho Saebyeol,3107.354769726573,3,1998-11-08
Cho Sangyeon,3082.888693461936,4,1961-01-12
Cho Sangyeon  (2),3162.3700085884516,31,2025-10-26
Cho Seokbin,3110.7407469507552,32,2022-12-15
Cho Seongho,3101,1,2018-08-11
Cho Seungah,3137.8477214204004,210,2025-12-12
Cho Shoen,3090.792708114727,3,1994-12-12
Cho Sinseong,3091.8178526037796,2,2010-11-26
Cho Sonjin,3192.387836861388,631,2025-03-06
Cho Taehyeon,2891.2178715463738,101,2023-09-22
Cho Taewon,3167.0067860952304,18,2010-05-26
Cho U,3351.2776986023882,1190,2025-11-09
Cho Wangyu,3223.816893167146,18,2022-12-15
Cho Yeonu,3094.4913733237795,3,2019-04-01
Cho Youngsuk,3098.7103054707227,2,1999-04-14
Cho Zuiketsoo,3264.4188687435335,89,2025-09-17
Choi Changweon,3054.394250158937,7,2002-11-21
Choi Cheolhan,3309.2254012151298,1098,2024-11-25
Choi Cheolsoo,3109.7257197721588,6,1999-11-07
Choi Cheonggwan,3154.240760768174,11,2023-05-24
Choi Eunkyu,3101.782671092003,9,2023-09-11
Choi Hocheol,3098.691828564676,5,2018-06-25
Choi Hongyun,3142.196875290571,10,2018-04-25
Choi Hosoo,3093.948012907651,1,2005-03-09
Choi Hwanyeong,3104.782092856705,3,2025-09-19
Choi Hyeonchae,3173.5159586322056,41,2024-05-20
Choi Inhyeok,3098.427604595064,1,2006-05-12
Choi Jaeyoung,3351.401235503703,146,2025-12-19
Choi Jeong,3397.923092738029,714,2025-12-18
Choi Jinpok,3082.601744602922,2,2001-10-14
Choi Kihun,3173.408941213507,45,2023-12-27
Choi Kwangho,3131.0604500777144,39,2025-12-12
Choi Kyeolseong,3101,1,2009-08-05
Choi Kyubyeong,3147.9726562946207,371,2025-11-30
Choi Minseo,3095.7974097229635,1,2021-03-15
Choi Minseo  (f),3024.0156082428666,14,2025-10-16
Choi Minseo  (m),3155.39931462233,27,2025-12-21
