Date,RSSSFHome,RSSSFAway,RSSSFScore,HomeCanon,AwayCanon,MatchKey
2026-02-21,Metalist'25,Kryvbas,0-0,metalist_1925,kryvbas_kryvyi_rih,metalist_1925|||kryvbas_kryvyi_rih|||0-0
2026-02-22,Sachtar,Karpaty,3-0,shakhtar_donetsk,karpaty_lviv,shakhtar_donetsk|||karpaty_lviv|||3-0
2026-02-22,Kolos,Polissja,0-2,kolos_kovalivka,polissya_zhytomyr,kolos_kovalivka|||polissya_zhytomyr|||0-2
2026-02-23,Kudrivka,Zorja,2-2,kudrivka,zorya_luhansk,kudrivka|||zorya_luhansk|||2-2
2026-02-23,Olexandrija,Obolon,0-3,oleksandriya,obolon_kyiv,oleksandriya|||obolon_kyiv|||0-3
2026-02-27,Sachtar,Veres,1-0,shakhtar_donetsk,veres_rivne,shakhtar_donetsk|||veres_rivne|||1-0
2026-02-27,Dynamo,Epicenter,4-0,dynamo_kyiv,epicenter,dynamo_kyiv|||epicenter|||4-0
2026-02-28,LNZ,Polissja,1-3,lnz_cherkasy,polissya_zhytomyr,lnz_cherkasy|||polissya_zhytomyr|||1-3
2026-02-28,Metalist'25,Olexandrija,1-0,metalist_1925,oleksandriya,metalist_1925|||oleksandriya|||1-0
2026-03-01,Kryvbas,Zorja,3-1,kryvbas_kryvyi_rih,zorya_luhansk,kryvbas_kryvyi_rih|||zorya_luhansk|||3-1
2026-03-01,Karpaty,Kolos,0-1,karpaty_lviv,kolos_kovalivka,karpaty_lviv|||kolos_kovalivka|||0-1
2026-03-02,Poltava,Kudrivka,0-2,sc_poltava,kudrivka,sc_poltava|||kudrivka|||0-2
2026-03-06,Olexandrija,Sachtar,0-1,oleksandriya,shakhtar_donetsk,oleksandriya|||shakhtar_donetsk|||0-1
2026-03-07,Obolon,Kryvbas,0-0,obolon_kyiv,kryvbas_kryvyi_rih,obolon_kyiv|||kryvbas_kryvyi_rih|||0-0
2026-03-07,Epicenter,Kolos,4-0,epicenter,kolos_kovalivka,epicenter|||kolos_kovalivka|||4-0
2026-03-08,Polissja,Dynamo,1-2,polissya_zhytomyr,dynamo_kyiv,polissya_zhytomyr|||dynamo_kyiv|||1-2
2026-03-08,Zorja,Poltava,4-0,zorya_luhansk,sc_poltava,zorya_luhansk|||sc_poltava|||4-0
2026-03-08,Karpaty,Kudrivka,1-1,karpaty_lviv,kudrivka,karpaty_lviv|||kudrivka|||1-1
2026-03-09,Veres,LNZ,0-3,veres_rivne,lnz_cherkasy,veres_rivne|||lnz_cherkasy|||0-3
2026-03-13,Dynamo,Obolon,2-1,dynamo_kyiv,obolon_kyiv,dynamo_kyiv|||obolon_kyiv|||2-1
2026-03-13,Poltava,Karpaty,0-4,sc_poltava,karpaty_lviv,sc_poltava|||karpaty_lviv|||0-4
2026-03-14,LNZ,Olexandrija,2-0,lnz_cherkasy,oleksandriya,lnz_cherkasy|||oleksandriya|||2-0
2026-03-14,Polissja,Kryvbas,2-0,polissya_zhytomyr,kryvbas_kryvyi_rih,polissya_zhytomyr|||kryvbas_kryvyi_rih|||2-0
2026-03-14,Kudrivka,Veres,0-0,kudrivka,veres_rivne,kudrivka|||veres_rivne|||0-0
2026-03-15,Sachtar,Metalist'25,1-0,shakhtar_donetsk,metalist_1925,shakhtar_donetsk|||metalist_1925|||1-0
2026-03-15,Kolos,Zorja,1-1,kolos_kovalivka,zorya_luhansk,kolos_kovalivka|||zorya_luhansk|||1-1
2026-03-18,Kudrivka,Polissja,0-2,kudrivka,polissya_zhytomyr,kudrivka|||polissya_zhytomyr|||0-2
2026-03-19,Olexandrija,Dynamo,0-5,oleksandriya,dynamo_kyiv,oleksandriya|||dynamo_kyiv|||0-5
2026-03-19,Metalist'25,Poltava,2-0,metalist_1925,sc_poltava,metalist_1925|||sc_poltava|||2-0
2026-03-21,Kryvbas,Epicenter,2-1,kryvbas_kryvyi_rih,epicenter,kryvbas_kryvyi_rih|||epicenter|||2-1
2026-03-22,Veres,Kolos,0-1,veres_rivne,kolos_kovalivka,veres_rivne|||kolos_kovalivka|||0-1
2026-03-22,Karpaty,Obolon,4-0,karpaty_lviv,obolon_kyiv,karpaty_lviv|||obolon_kyiv|||4-0
2026-04-23,Zorja,Sachtar,1-2,zorya_luhansk,shakhtar_donetsk,zorya_luhansk|||shakhtar_donetsk|||1-2
