"ID","Name","StartDate","EndDate","Sponsor","Season","Type","Num","Venue","City","Country","Discipline","Main","Sex","AgeGroup","Url","Related","Stage","ValueType","ShortName","WorldSnookerId","RankingType","EventPredictionID","Team","Format","Twitter","HashTag","ConversionRate","AllRoundsAdded","PhotoURLs","NumCompetitors","NumUpcoming","NumActive","NumResults","Note","CommonNote","DefendingChampion","PreviousEdition","Tour"
654,"Championship League - Group 6","2018-01-25","2018-01-26","",2017,"Invitational",6,"Ricoh Arena","Coventry","England","snooker",648,"Both","O","","","Q","CL","",13991,"",0,FALSE,3,"","ChampionshipLeague",1,TRUE,"",0,0,0,24,"","selected betting sites",0,545,"main"
647,"China Open Qualifiers","2018-01-27","2018-01-30","Fuhua Group",2017,"Qualifying",0,"Barnsley Metrodome","Barnsley","England","snooker",646,"Both","O","","china","Q","CO","",14008,"WR",0,FALSE,1,"","SnookerChinaOpen",1,TRUE,"",0,0,0,67,"","<a href=""http://www.eurosportplayer.com/"">Eurosport Player</a> and selected betting sites",0,0,"main"
643,"German Masters","2018-01-31","2018-02-04","D88",2017,"Ranking",0,"Tempodrom","Berlin","Germany","snooker",643,"Both","O","","german","F","GM","",13996,"WR",2712,FALSE,1,"","",1,TRUE,"",128,0,0,31,"","<a href=""http://www.eurosportplayer.com/"">Eurosport</a> and selected betting sites",115,532,"main"
645,"Snooker Shoot-Out","2018-02-08","2018-02-11","Coral",2017,"Ranking",0,"Watford Colosseum","Watford","England","Shot Clock Snooker",645,"Both","O","","","F","ShootOut","Shoot-Out",13999,"WR",0,FALSE,1,"","SnookerShootOut",1,TRUE,"",128,0,0,127,"","<a href=""http://www.itv.com/hub/itv4"">ITV 4</a>, <a href=""http://www.eurosportplayer.com/"">Eurosport</a> and selected betting sites",22,557,"main"
714,"Womens British Open","2018-02-17","2018-02-18","",2017,"Ranking",0,"Stourbridge Institute","Stourbridge ","England","snooker",714,"Both","O","","","F","","",0,"WWR",0,FALSE,1,"","",1,TRUE,"",25,0,0,15,"","",0,0,"women"
715,"Women's British Open Group A","2018-02-17","2018-02-18","",2017,"Ranking",1,"Stourbridge Institute","Birmingham","England","snooker",714,"Both","O","","","Q","","Womens British Open A",0,"WWR",0,FALSE,2,"","",1,TRUE,"",0,0,0,6,"","",0,0,"women"
716,"Women's British Open Group B","2018-02-17","2018-02-18","",2017,"Ranking",2,"Stourbridge Institute","Birmingham","England","snooker",714,"Both","O","","","Q","","Womens British Open B",0,"WWR",0,FALSE,2,"","",1,TRUE,"",0,0,0,6,"","",0,0,"women"
717,"Women's British Open Group C","2018-02-17","2018-02-18","",2017,"Ranking",3,"Stourbridge Institute","Birmingham","England","snooker",714,"Both","O","","","Q","","Womens British Open C",0,"WWR",0,FALSE,2,"","",1,TRUE,"",0,0,0,3,"","",0,0,"women"
718,"Women's British Open Group D","2018-02-17","2018-02-18","",2017,"Ranking",4,"Stourbridge Institute","Birmingham","England","snooker",714,"Both","O","","","Q","","Womens British Open D",0,"WWR",0,FALSE,2,"","",1,TRUE,"",0,0,0,3,"","",0,0,"women"
719,"Women's British Open Group E","2018-02-17","2018-02-18","",2017,"Ranking",5,"Stourbridge Institute","Birmingham","England","snooker",714,"Both","O","","","Q","","Womens British Open E",0,"WWR",0,FALSE,2,"","",1,TRUE,"",0,0,0,3,"","",0,0,"women"
720,"Women's British Open Group F","2018-02-17","2018-02-18","",2017,"Ranking",6,"Stourbridge Institute","Birmingham","England","snooker",714,"Both","O","","","Q","","Womens British Open F",0,"WWR",0,FALSE,2,"","",1,TRUE,"",0,0,0,3,"","",0,0,"women"
721,"Women's British Open Group G","2018-02-17","2018-02-18","",2017,"Ranking",7,"Stourbridge Institute","Birmingham","England","snooker",714,"Both","O","","","Q","","Womens British Open G",0,"WWR",0,FALSE,2,"","",1,TRUE,"",0,0,0,3,"","",0,0,"women"
631,"World Grand Prix","2018-02-19","2018-02-25","Ladbrokes",2017,"Ranking",0,"Guild Hall","Preston","England","snooker",631,"Both","O","","","F","WGP","",14000,"WR",2713,FALSE,1,"","WorldGrandPrix",1,TRUE,"",32,0,0,31,"","<a href=""http://www.itv.com/hub/itv4"">ITV 4</a>, <a href=""http://eurosportplayer.com/"">Eurosport</a> and selected betting sites",16,556,"main"
630,"Welsh Open","2018-02-26","2018-03-04","ManBetX",2017,"Ranking",0,"Motorpoint Arena","Cardiff","Wales","snooker",630,"Both","O","","Home Nations Series","F","NIO","",13978,"WR",2714,FALSE,1,"","WelshOpen",1,TRUE,"",129,0,0,128,"","Watch on <a href=""http://www.eurosportplayer.com/"">Eurosport</a>, <a href=""https://www.questtv.co.uk"">Quest</a> and selected betting sites",30,534,"main"
