ID,Name,StartDate,EndDate,Sponsor,Season,Tour,Type,Num,Venue,City,Country,Discipline,Main,Sex,AgeGroup,WorldSnookerId,NumCompetitors,NumUpcoming,NumActive,NumResults
2009,Americas Q Tour 1,2024-03-07,2024-03-10,"",2024,q,Ranking,0,H Niteroi Hotel,Rio de Janeiro,Brazil,snooker,2009,Both,O,0,37,0,0,15
2010,Americas Q Tour 1 - Group A,2024-03-07,2024-03-10,"",2024,q,Ranking,1,H Niteroi Hotel,Rio de Janeiro,Brazil,snooker,2009,Both,O,0,0,0,0,6
2011,Americas Q Tour 1 - Group B,2024-03-07,2024-03-10,"",2024,q,Ranking,2,H Niteroi Hotel,Rio de Janeiro,Brazil,snooker,2009,Both,O,0,0,0,0,10
2012,Americas Q Tour 1 - Group C,2024-03-07,2024-03-10,"",2024,q,Ranking,3,H Niteroi Hotel,Rio de Janeiro,Brazil,snooker,2009,Both,O,0,0,0,0,10
2013,Americas Q Tour 1 - Group D,2024-03-07,2024-03-10,"",2024,q,Ranking,4,H Niteroi Hotel,Rio de Janeiro,Brazil,snooker,2009,Both,O,0,0,0,0,6
2014,Americas Q Tour 1 - Group E,2024-03-07,2024-03-10,"",2024,q,Ranking,5,H Niteroi Hotel,Rio de Janeiro,Brazil,snooker,2009,Both,O,0,0,0,0,6
2015,Americas Q Tour 1 - Group F,2024-03-07,2024-03-10,"",2024,q,Ranking,6,H Niteroi Hotel,Rio de Janeiro,Brazil,snooker,2009,Both,O,0,0,0,0,10
2016,Americas Q Tour 1 - Group G,2024-03-07,2024-03-10,"",2024,q,Ranking,7,H Niteroi Hotel,Rio de Janeiro,Brazil,snooker,2009,Both,O,0,0,0,0,10
2017,Americas Q Tour 1 - Group H,2024-03-07,2024-03-10,"",2024,q,Ranking,8,H Niteroi Hotel,Rio de Janeiro,Brazil,snooker,2009,Both,O,0,0,0,0,10
1949,Middle East Q Tour 1,2024-05-21,2024-05-23,"",2024,q,Ranking,0,Bahrain Snooker Academy,Manama,Bahrain,snooker,1949,Both,O,0,40,0,0,39
1960,Championship League Stage One Group 11,2024-06-10,2024-06-10,"",2024,main,Ranking,22,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1970,Championship League Stage One Group 21,2024-06-10,2024-06-10,"",2024,main,Ranking,32,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1941,Championship League,2024-06-10,2024-07-03,BetVictor,2024,main,Ranking,1,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,128,0,0,1
1953,Championship League Stage One Group 4,2024-06-11,2024-06-11,"",2024,main,Ranking,15,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1966,Championship League Stage One Group 17,2024-06-11,2024-06-11,"",2024,main,Ranking,28,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1974,Championship League Stage One Group 25,2024-06-12,2024-06-12,"",2024,main,Ranking,36,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1980,Championship League Stage One Group 31,2024-06-12,2024-06-12,"",2024,main,Ranking,42,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1971,Championship League Stage One Group 22,2024-06-13,2024-06-13,"",2024,main,Ranking,33,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1972,Championship League Stage One Group 23,2024-06-13,2024-06-13,"",2024,main,Ranking,34,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1959,Championship League Stage One Group 10,2024-06-14,2024-06-14,"",2024,main,Ranking,21,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1981,Championship League Stage One Group 32,2024-06-14,2024-06-14,"",2024,main,Ranking,43,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1978,Championship League Stage One Group 29,2024-06-15,2024-06-15,"",2024,main,Ranking,40,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1979,Championship League Stage One Group 30,2024-06-15,2024-06-15,"",2024,main,Ranking,41,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1956,Championship League Stage One Group 7,2024-06-17,2024-06-17,"",2024,main,Ranking,18,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1957,Championship League Stage One Group 8,2024-06-17,2024-06-17,"",2024,main,Ranking,19,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1973,Championship League Stage One Group 24,2024-06-18,2024-06-18,"",2024,main,Ranking,35,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1977,Championship League Stage One Group 28,2024-06-18,2024-06-18,"",2024,main,Ranking,39,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1975,Championship League Stage One Group 26,2024-06-19,2024-06-19,"",2024,main,Ranking,37,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1976,Championship League Stage One Group 27,2024-06-19,2024-06-19,"",2024,main,Ranking,38,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1950,Championship League Stage One Group 1,2024-06-20,2024-06-20,"",2024,main,Ranking,12,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1963,Championship League Stage One Group 14,2024-06-20,2024-06-20,"",2024,main,Ranking,25,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1962,Championship League Stage One Group 13,2024-06-21,2024-06-21,"",2024,main,Ranking,24,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1967,Championship League Stage One Group 18,2024-06-21,2024-06-21,"",2024,main,Ranking,29,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1968,Championship League Stage One Group 19,2024-06-22,2024-06-22,"",2024,main,Ranking,30,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1969,Championship League Stage One Group 20,2024-06-22,2024-06-22,"",2024,main,Ranking,31,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1955,Championship League Stage One Group 6,2024-06-24,2024-06-24,"",2024,main,Ranking,17,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1958,Championship League Stage One Group 9,2024-06-24,2024-06-24,"",2024,main,Ranking,20,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1951,Championship League Stage One Group 2,2024-06-25,2024-06-25,"",2024,main,Ranking,13,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1961,Championship League Stage One Group 12,2024-06-25,2024-06-25,"",2024,main,Ranking,23,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1954,Championship League Stage One Group 5,2024-06-26,2024-06-26,"",2024,main,Ranking,16,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1965,Championship League Stage One Group 16,2024-06-26,2024-06-26,"",2024,main,Ranking,27,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1952,Championship League Stage One Group 3,2024-06-27,2024-06-27,"",2024,main,Ranking,14,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1964,Championship League Stage One Group 15,2024-06-27,2024-06-27,"",2024,main,Ranking,26,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1983,Championship League Stage Two Group B,2024-06-28,2024-06-28,"",2024,main,Ranking,5,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1984,Championship League Stage Two Group C,2024-06-28,2024-06-28,"",2024,main,Ranking,6,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
2004,Asia Pacific Q Tour: West Coast International,2024-06-28,2024-06-30,"",2024,q,Ranking,0,Pot Black North Perth,Perth,Australia,snooker,2004,Both,O,0,44,0,0,43
1982,Championship League Stage Two Group A,2024-06-29,2024-06-29,"",2024,main,Ranking,4,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1986,Championship League Stage Two Group E,2024-06-29,2024-06-29,"",2024,main,Ranking,8,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1985,Championship League Stage Two Group D,2024-07-01,2024-07-01,"",2024,main,Ranking,7,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1989,Championship League Stage Two Group H,2024-07-01,2024-07-01,"",2024,main,Ranking,11,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1987,Championship League Stage Two Group F,2024-07-02,2024-07-02,"",2024,main,Ranking,9,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1988,Championship League Stage Two Group G,2024-07-02,2024-07-02,"",2024,main,Ranking,10,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1990,Championship League Stage Three Group A,2024-07-03,2024-07-03,"",2024,main,Ranking,2,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1991,Championship League Stage Three Group B,2024-07-03,2024-07-03,"",2024,main,Ranking,3,Mattioli Arena,Leicester,England,snooker,1941,Both,O,0,0,0,0,6
1847,Shanghai Masters,2024-07-15,2024-07-21,"",2024,main,Invitational,0,Shanghai Indoor Stadium,Shanghai,China,snooker,1847,Both,O,0,24,0,0,23
1993,Middle East Q Tour 2,2024-07-19,2024-07-21,"",2024,q,Ranking,0, Emirates Snooker Academy,Abu Dhabi,UAE,snooker,1993,Both,O,0,56,0,0,55
1844,Xi'an Grand Prix Qualifiers,2024-07-25,2024-07-27,"",2024,main,Qualifying,0,Mattioli Arena,Leicester,England,snooker,1832,Both,O,0,0,0,0,64
1841,Wuhan Open Qualifiers,2024-07-28,2024-07-30,"",2024,main,Qualifying,0,Mattioli Arena,Leicester,England,snooker,1840,Both,O,0,0,0,0,64
1938,British Open Qualifiers,2024-07-31,2024-08-03,"",2024,main,Qualifying,0,Mattioli Arena,Leicester,England,snooker,1834,Both,O,0,0,0,0,64
2005,Asia Pacific Q Tour Event 2: Fred Osbourne Classic,2024-08-02,2024-08-04,"",2024,q,Ranking,0,Commercial Club Albury,Albury,Australia,snooker,2005,Both,O,0,81,0,0,80
1937,US Women's Open Group A,2024-08-09,2024-08-10,"",2024,women,Ranking,0,OX Billiards,Seattle,USA,snooker,2018,Women,O,0,0,0,0,6
2076,US Women's Open Group B,2024-08-09,2024-08-10,"",2024,women,Ranking,2,OX Billiards,Seattle,USA,snooker,2018,Women,O,0,0,0,0,10
2077,US Women's Open Group C,2024-08-09,2024-08-10,"",2024,women,Ranking,3,OX Billiards,Seattle,USA,snooker,2018,Women,O,0,0,0,0,10
2018,US Women's Open,2024-08-09,2024-08-11,WineCellars.com,2024,women,Ranking,0,OX Billiards,Seattle,USA,snooker,2018,Women,O,0,14,0,0,7
