WikiTeam,FDKey,Method
ACS Poli Timișoara,poli timisoara,fuzzy
Astra Giurgiu,astra_giurgiu,canonical
Botoșani,botosani,canonical
CFR Cluj,cfr_cluj,canonical
Concordia Chiajna,concordia_chiajna,canonical
CS Universitatea Craiova,universitatea_craiova,canonical
CSM Politehnica Iași,politehnica_iasi,canonical
Dinamo București,dinamo_bucuresti,canonical
FCSB,fcsb,canonical
Gaz Metan Mediaș,gaz_metan_medias,canonical
Juventus București,juventus_bucuresti,canonical
Sepsi OSK,sepsi,canonical
Universitatea Craiova,universitatea_craiova,canonical
Viitorul Constanța,viitorul_constanta,canonical
Voluntari,voluntari,canonical
