WikiTeam,FDKey,Method
Argeș Pitești,arges_pitesti,canonical
Botoșani,botosani,canonical
CFR Cluj,cfr_cluj,canonical
Csíkszereda Miercurea Ciuc,csikszereda,canonical
Dinamo București,dinamo_bucuresti,canonical
Farul Constanța,farul_constanta,canonical
FCSB,fcsb,canonical
Hermannstadt,hermannstadt,canonical
Metaloglobus București,metaloglobus bucharest,fuzzy
Oțelul Galați,otelul_galati,canonical
Petrolul Ploiești,petrolul,canonical
Rapid București,rapid_bucuresti,canonical
Unirea Slobozia,unirea slobozia,canonical
Universitatea Cluj,universitatea_cluj,canonical
Universitatea Craiova,universitatea_craiova,canonical
UTA Arad,uta arad,canonical
