Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA,ParsedDate,HomeKey,AwayKey,MatchKey,Occurrence,FDID
Romania,Superliga,2017/2018,13/05/2018,11:00,Concordia,Gaz Metan Medias,0,0,D,2.49,3.1,3.24,2.58,3.2,3.3,2.41,2.99,3.03,,,,,,,2018-05-13,concordia,gaz metan medias,concordia|||gaz metan medias|||0|||0,1,243
Romania,Superliga,2017/2018,13/05/2018,19:30,Astra,CFR Cluj,0,2,A,7.37,4.41,1.49,7.5,4.5,1.51,6.66,4.18,1.45,,,,,,,2018-05-13,astra,cfr cluj,astra|||cfr cluj|||0|||2,1,244
Romania,Superliga,2017/2018,15/05/2018,16:30,Sepsi Sf. Gheorghe,Poli Timisoara,3,0,H,1.98,3.4,4.29,2.03,3.4,4.3,1.94,3.23,3.91,,,,,,,2018-05-15,sepsi,poli timisoara,sepsi|||poli timisoara|||3|||0,1,246
Romania,Superliga,2017/2018,15/05/2018,19:00,Daco-Getica Bucuresti,Din. Bucuresti,0,2,A,4.87,4.05,1.72,5.18,4.05,1.74,4.67,3.72,1.67,,,,,,,2018-05-15,daco getica bucuresti,din bucuresti,daco getica bucuresti|||din bucuresti|||0|||2,1,247
Romania,Superliga,2017/2018,16/05/2018,16:30,FC Botosani,Concordia,0,1,A,1.93,3.55,4.26,2.04,3.6,5,1.92,3.28,3.94,,,,,,,2018-05-16,fc botosani,concordia,fc botosani|||concordia|||0|||1,1,248
Romania,Superliga,2017/2018,17/05/2018,18:45,Gaz Metan Medias,FC Voluntari,1,0,H,2.24,3.36,3.48,2.33,3.38,3.48,2.19,3.23,3.18,,,,,,,2018-05-17,gaz metan medias,fc voluntari,gaz metan medias|||fc voluntari|||1|||0,1,249
Romania,Superliga,2017/2018,18/05/2018,16:00,Sepsi Sf. Gheorghe,Daco-Getica Bucuresti,2,1,H,1.66,3.59,6.61,1.69,3.75,6.75,1.62,3.5,5.7,,,,,,,2018-05-18,sepsi,daco getica bucuresti,sepsi|||daco getica bucuresti|||2|||1,2,250
Romania,Superliga,2017/2018,19/05/2018,19:45,Concordia,Din. Bucuresti,0,4,A,2.45,3.33,3.08,2.47,3.65,3.08,2.33,3.3,2.88,,,,,,,2018-05-19,concordia,din bucuresti,concordia|||din bucuresti|||0|||4,1,251
Romania,Superliga,2017/2018,20/05/2018,15:00,FC Voluntari,FC Botosani,1,1,D,2.5,3.19,3.13,2.55,3.25,3.18,2.44,3.06,2.9,,,,,,,2018-05-20,fc voluntari,fc botosani,fc voluntari|||fc botosani|||1|||1,1,252
Romania,Superliga,2017/2018,20/05/2018,18:45,FCSB,Astra,1,0,H,1.26,5.64,16,1.27,6.02,16,1.24,5.31,12.37,,,,,,,2018-05-20,fcsb,astra,fcsb|||astra|||1|||0,1,254
Romania,Superliga,2017/2018,21/05/2018,18:45,Poli Timisoara,Gaz Metan Medias,0,0,D,3.15,3.25,2.45,3.2,3.27,2.66,2.97,3.08,2.39,,,,,,,2018-05-21,poli timisoara,gaz metan medias,poli timisoara|||gaz metan medias|||0|||0,1,256
Romania,Superliga,2017/2018,22/05/2018,18:45,Daco-Getica Bucuresti,Concordia,1,3,A,6.11,3.99,1.62,6.27,4.18,1.63,5.59,3.84,1.56,,,,,,,2018-05-22,daco getica bucuresti,concordia,daco getica bucuresti|||concordia|||1|||3,1,257
Romania,Superliga,2017/2018,23/05/2018,18:45,Din. Bucuresti,FC Voluntari,2,0,H,2.48,3.53,2.88,2.48,3.85,3.33,2.15,3.54,2.98,,,,,,,2018-05-23,din bucuresti,fc voluntari,din bucuresti|||fc voluntari|||2|||0,2,258
Romania,Superliga,2017/2018,24/05/2018,19:00,FC Botosani,Poli Timisoara,0,0,D,1.8,3.55,5.12,1.82,3.73,5.12,1.74,3.43,4.63,,,,,,,2018-05-24,fc botosani,poli timisoara,fc botosani|||poli timisoara|||0|||0,1,260
Romania,Superliga,2017/2018,26/05/2018,15:30,FC Voluntari,Concordia,2,2,D,2.4,3.15,3.34,2.41,3.2,3.38,2.31,3.07,3.12,,,,,,,2018-05-26,fc voluntari,concordia,fc voluntari|||concordia|||2|||2,1,261
Romania,Superliga,2017/2018,27/05/2018,16:00,Sepsi Sf. Gheorghe,FC Botosani,0,1,A,2.65,3.28,2.86,2.68,3.3,2.96,2.54,3.13,2.72,,,,,,,2018-05-27,sepsi,fc botosani,sepsi|||fc botosani|||0|||1,1,262
Romania,Superliga,2017/2018,28/05/2018,16:00,Gaz Metan Medias,Daco-Getica Bucuresti,3,0,H,1.28,5.62,13.81,1.29,5.77,15.25,1.24,5.24,11.99,,,,,,,2018-05-28,gaz metan medias,daco getica bucuresti,gaz metan medias|||daco getica bucuresti|||3|||0,1,263
Romania,Superliga,2017/2018,28/05/2018,18:45,Poli Timisoara,Din. Bucuresti,1,3,A,3.05,3.47,2.39,3.19,3.47,2.45,2.93,3.18,2.34,,,,,,,2018-05-28,poli timisoara,din bucuresti,poli timisoara|||din bucuresti|||1|||3,1,264
Romania,Superliga,2017/2018,01/06/2018,18:45,Din. Bucuresti,Sepsi Sf. Gheorghe,0,0,D,1.72,3.83,5.17,1.73,3.9,5.56,1.67,3.68,4.77,,,,,,,2018-06-01,din bucuresti,sepsi,din bucuresti|||sepsi|||0|||0,1,265
Romania,Superliga,2017/2018,02/06/2018,16:30,FC Botosani,Gaz Metan Medias,2,0,H,2.19,3.13,3.94,2.19,3.3,4.45,2.05,3.11,3.74,,,,,,,2018-06-02,fc botosani,gaz metan medias,fc botosani|||gaz metan medias|||2|||0,1,266
Romania,Superliga,2017/2018,02/06/2018,19:30,Concordia,Poli Timisoara,0,1,A,1.79,3.48,5.38,1.82,3.6,5.38,1.74,3.42,4.73,,,,,,,2018-06-02,concordia,poli timisoara,concordia|||poli timisoara|||0|||1,2,267
Romania,Superliga,2017/2018,02/06/2018,19:30,Daco-Getica Bucuresti,FC Voluntari,2,2,D,8.45,4.58,1.44,9,4.9,1.44,7.68,4.46,1.38,,,,,,,2018-06-02,daco getica bucuresti,fc voluntari,daco getica bucuresti|||fc voluntari|||2|||2,1,268
Romania,Superliga,2017/2018,09/06/2018,17:00,FC Voluntari,Chindia Targoviste,1,0,H,1.43,4.62,8.62,1.45,4.75,9.5,1.4,4.28,7.66,,,,,,,2018-06-09,fc voluntari,chindia targoviste,fc voluntari|||chindia targoviste|||1|||0,1,269
Romania,Superliga,2017/2018,13/06/2018,15:30,Chindia Targoviste,FC Voluntari,1,0,H,3.48,3.37,2.22,3.8,3.44,2.22,3.34,3.26,2.1,,,,,,,2018-06-13,chindia targoviste,fc voluntari,chindia targoviste|||fc voluntari|||1|||0,1,270
