Season,ExpectedMatches,TablesFound,CandidateTables,ParsedMatches,DatedMatches,UniqueRawTeams,Status,Error,URL
1996,306,0,0,0,0,0,ERROR,[38;5;252mHTTP 403 Forbidden.[39m,https://fbref.com/en/comps/30/1996/schedule/1996-Russian-Premier-League-Scores-and-Fixtures
2002,240,0,0,0,0,0,ERROR,[38;5;252mHTTP 403 Forbidden.[39m,https://fbref.com/en/comps/30/2002/schedule/2002-Russian-Premier-League-Scores-and-Fixtures
