id,name,rating,peak,peak_date,flag,gender,games,first_date,last_date
moon-toweon,Moon Toweon,3005,3212,2011-01-14,NA,NA,55,2008-03-23,2018-05-15
kim-tongheui,Kim Tongheui,3099,3211,2006-05-15,NA,NA,29,1997-06-15,2024-05-26
li-xiaoxi-1,Li Xiaoxi (1),3096,3211,2020-03-27,NA,NA,125,2009-12-20,2025-12-29
wang-shuo-2,Wang Shuo (2),3177,3208,2025-08-27,NA,NA,33,2019-09-20,2025-11-29
tang-yi-f,Tang Yi (f),3102,3207,2011-11-16,NA,NA,103,2011-03-14,2017-12-18
cho-sangyeon-2,Cho Sangyeon (2),3162,3206,2025-07-19,NA,NA,31,2024-04-01,2025-10-26
oh-kyucheol,Oh Kyucheol,3030,3206,1988-03-10,NA,NA,157,1979-01-21,2025-11-06
cho-namcheol,Cho Namcheol,3082,3204,1971-05-17,NA,NA,249,1956-02-05,1998-09-02
hyeon-yupin,Hyeon Yupin,3159,3203,2023-04-17,NA,NA,52,2016-08-06,2024-05-26
baek-seongho,Baek Seongho,3037,3202,1991-06-26,NA,NA,240,1978-10-17,2023-11-14
cheon-yeonggyu,Cheon Yeonggyu,3183,3201,2023-04-08,NA,NA,39,2000-07-26,2023-07-29
