Season,Country,Competition,CompetitionType,Tier,League,Date,Home,Away,Result,Score,FixtureSource,ResultSource,DateSource
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-09-13,Rukh,Epitsentr Kamianets-Podilskyi,A,0-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-09-14,Karpaty,SC Poltava,D,1-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-09-14,Kryvbas,Polissya Zhytomyr,A,0-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-09-14,Zorya,Kolos Kovalivka,A,1-3,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-09-20,Kolos,Veres Rivne,D,0-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-09-20,Polissya,Kudrivka,H,2-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-09-21,Epitsentr,Kryvbas Kryvyi Rih,A,4-5,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-09-21,LNZ,Rukh Lviv,H,1-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-09-21,Poltava,Metalist 1925 Kharkiv,A,0-2,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-09-22,Dynamo,Oleksandriya,D,2-2,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-09-22,Obolon,Karpaty Lviv,A,0-2,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-09-22,Shakhtar,Zorya Luhansk,H,1-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-09-26,Kudrivka,Epitsentr Kamianets-Podilskyi,H,2-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-09-27,Karpaty,Dynamo Kyiv,D,3-3,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-09-27,Oleksandriya,SC Poltava,H,1-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-09-27,Zorya,Obolon Kyiv,D,0-0,wikipedia,wikipedia,rsssf
