Season,Country,Competition,CompetitionType,Tier,League,Date,Home,Away,Result,Score,FixtureSource,ResultSource,DateSource
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-03-15,Epitsentr,Rukh Lviv,H,2-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-03-15,Kolos,Zorya Luhansk,D,1-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-03-15,Shakhtar,Metalist 1925 Kharkiv,H,1-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-03-18,Kudrivka,Polissya Zhytomyr,A,0-2,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-03-19,Metalist 1925,SC Poltava,H,2-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-03-19,Oleksandriya,Dynamo Kyiv,A,0-5,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-03-21,Kryvbas,Epitsentr Kamianets-Podilskyi,H,2-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-03-21,Rukh,LNZ Cherkasy,A,1-2,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-03-22,Karpaty,Obolon Kyiv,H,4-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-03-22,Veres,Kolos Kovalivka,A,0-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-04-03,Poltava,Oleksandriya,D,3-3,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-04-04,Dynamo,Karpaty Lviv,A,0-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-04-04,Kolos,Metalist 1925 Kharkiv,D,0-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-04-05,Kryvbas,LNZ Cherkasy,A,0-3,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-04-05,Obolon,Zorya Luhansk,D,3-3,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-04-05,Polissya,Veres Rivne,D,1-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-04-05,Shakhtar,Rukh Lviv,H,3-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-04-06,Epitsentr,Kudrivka,H,1-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-04-10,Poltava,Polissya Zhytomyr,A,0-4,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-04-10,Rukh,Kolos Kovalivka,D,1-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-04-11,Karpaty,Oleksandriya,H,2-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-04-11,Metalist 1925,Dynamo Kyiv,H,1-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-04-11,Veres,Obolon Kyiv,H,2-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-04-12,Kudrivka,Kryvbas Kryvyi Rih,A,1-2,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-04-12,Zorya,Epitsentr Kamianets-Podilskyi,H,1-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-04-13,LNZ,Shakhtar Donetsk,D,2-2,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-04-17,Dynamo,Zorya Luhansk,H,3-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-04-17,Obolon,SC Poltava,D,1-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-04-18,Kolos,LNZ Cherkasy,H,1-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-04-18,Metalist 1925,Kudrivka,H,1-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-04-19,Epitsentr,Karpaty Lviv,D,0-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-04-19,Kryvbas,Rukh Lviv,H,3-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-04-20,Oleksandriya,Veres Rivne,A,0-3,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-04-20,Shakhtar,Polissya Zhytomyr,H,1-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-04-23,Zorya,Shakhtar Donetsk,A,1-2,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-04-24,Kolos,SC Poltava,H,2-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-04-25,Rukh,Karpaty Lviv,A,0-3,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-04-26,Kryvbas,Dynamo Kyiv,A,5-6,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-04-26,Kudrivka,Shakhtar Donetsk,A,1-3,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-04-26,LNZ,Metalist 1925 Kharkiv,D,1-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-04-26,Polissya,Obolon Kyiv,H,3-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-04-27,Epitsentr,Oleksandriya,D,1-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-04-27,Zorya,Veres Rivne,H,2-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-01,Poltava,Kryvbas Kryvyi Rih,D,3-3,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-02,Karpaty,LNZ Cherkasy,D,0-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-02,Oleksandriya,Kolos Kovalivka,A,0-3,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-02,Veres,Epitsentr Kamianets-Podilskyi,D,3-3,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-03,Dynamo,Shakhtar Donetsk,A,1-2,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-03,Metalist 1925,Polissya Zhytomyr,A,0-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-03,Obolon,Kudrivka,D,1-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-04,Rukh,Zorya Luhansk,A,1-2,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-08,Kolos,Kudrivka,H,1-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-08,Kryvbas,Karpaty Lviv,H,1-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-08,Polissya,Oleksandriya,H,2-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-09,LNZ,Dynamo Kyiv,D,0-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-09,Obolon,Epitsentr Kamianets-Podilskyi,D,2-2,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-09,Rukh,Veres Rivne,D,0-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-09,Zorya,Metalist 1925 Kharkiv,D,1-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-10,Poltava,Shakhtar Donetsk,A,0-4,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-12,Epitsentr,Polissya Zhytomyr,H,3-2,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-12,Metalist 1925,Karpaty Lviv,D,2-2,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-12,Oleksandriya,Zorya Luhansk,A,1-2,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-12,Veres,Kryvbas Kryvyi Rih,A,1-3,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-13,Dynamo,Kolos Kovalivka,H,2-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-13,LNZ,SC Poltava,H,2-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-13,Shakhtar,Obolon Kyiv,H,3-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-14,Kudrivka,Rukh Lviv,H,2-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-16,Metalist 1925,Epitsentr Kamianets-Podilskyi,D,1-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-16,Poltava,Dynamo Kyiv,A,0-2,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-17,Karpaty,Veres Rivne,H,2-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-17,Kolos,Obolon Kyiv,A,0-2,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-17,Kryvbas,Shakhtar Donetsk,A,2-3,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-17,Rukh,Oleksandriya,A,1-3,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-18,Kudrivka,LNZ Cherkasy,H,1-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-18,Zorya,Polissya Zhytomyr,D,0-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-21,Shakhtar,Kolos Kovalivka,A,0-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-23,Epitsentr,SC Poltava,D,0-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-23,Karpaty,Zorya Luhansk,A,1-2,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-23,Oleksandriya,Kryvbas Kryvyi Rih,D,1-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-24,Dynamo,Kudrivka,H,3-2,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-24,Obolon,LNZ Cherkasy,A,0-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-24,Polissya,Rukh Lviv,H,2-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2026-05-24,Veres,Metalist 1925 Kharkiv,A,0-1,wikipedia,wikipedia,rsssf
