Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,Score,Result,FixtureSource,ResultSource,DateSource,DateMatchMethod
2023-06-10,2023,Sweden,Allsvenskan,1,Domestic,IFK Värnamo,Malmö FF,1,3,1-3,A,wikipedia,wikipedia,football-data,
2023-06-10,2023,Sweden,Allsvenskan,1,Domestic,Kalmar FF,Degerfors IF,2,1,2-1,H,wikipedia,wikipedia,football-data,
2023-06-10,2023,Sweden,Allsvenskan,1,Domestic,Varbergs BoIS,Halmstads BK,1,2,1-2,A,wikipedia,wikipedia,football-data,
2023-06-11,2023,Sweden,Allsvenskan,1,Domestic,AIK,IF Elfsborg,1,2,1-2,A,wikipedia,wikipedia,football-data,
2023-06-11,2023,Sweden,Allsvenskan,1,Domestic,BK Häcken,Mjällby AIF,3,0,3-0,H,wikipedia,wikipedia,football-data,
2023-06-11,2023,Sweden,Allsvenskan,1,Domestic,Djurgårdens IF,IFK Norrköping,2,2,2-2,D,wikipedia,wikipedia,football-data,
2023-06-11,2023,Sweden,Allsvenskan,1,Domestic,IK Sirius,IFK Göteborg,2,0,2-0,H,wikipedia,wikipedia,football-data,
2023-07-01,2023,Sweden,Allsvenskan,1,Domestic,Degerfors IF,IFK Värnamo,0,2,0-2,A,wikipedia,wikipedia,football-data,
2023-07-01,2023,Sweden,Allsvenskan,1,Domestic,IF Brommapojkarna,AIK,0,2,0-2,A,wikipedia,wikipedia,football-data,
2023-07-01,2023,Sweden,Allsvenskan,1,Domestic,Malmö FF,IK Sirius,3,0,3-0,H,wikipedia,wikipedia,football-data,
2023-07-02,2023,Sweden,Allsvenskan,1,Domestic,Djurgårdens IF,Varbergs BoIS,2,0,2-0,H,wikipedia,wikipedia,football-data,
2023-07-02,2023,Sweden,Allsvenskan,1,Domestic,Halmstads BK,IFK Göteborg,0,0,0-0,D,wikipedia,wikipedia,football-data,
2023-07-02,2023,Sweden,Allsvenskan,1,Domestic,IFK Norrköping,BK Häcken,2,2,2-2,D,wikipedia,wikipedia,football-data,
