Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,Score,Result,FixtureSource,ResultSource,DateSource
2018-07-20,2018/19,Romania,SuperLiga,1,Domestic,CFR Cluj,Botoșani,1,1,1-1,D,wikipedia,wikipedia,football-data
2018-07-21,2018/19,Romania,SuperLiga,1,Domestic,Astra Giurgiu,FCSB,1,0,1-0,H,wikipedia,wikipedia,football-data
2018-07-21,2018/19,Romania,SuperLiga,1,Domestic,Hermannstadt,Sepsi OSK,1,0,1-0,H,wikipedia,wikipedia,football-data
2018-07-22,2018/19,Romania,SuperLiga,1,Domestic,Dinamo București,Voluntari,2,1,2-1,H,wikipedia,wikipedia,football-data
2018-07-22,2018/19,Romania,SuperLiga,1,Domestic,Viitorul Constanța,Dunărea Călărași,0,1,0-1,A,wikipedia,wikipedia,football-data
2018-07-23,2018/19,Romania,SuperLiga,1,Domestic,Gaz Metan Mediaș,Concordia Chiajna,2,1,2-1,H,wikipedia,wikipedia,football-data
2018-07-23,2018/19,Romania,SuperLiga,1,Domestic,Universitatea Craiova,Politehnica Iași,0,0,0-0,D,wikipedia,wikipedia,football-data
2018-07-27,2018/19,Romania,SuperLiga,1,Domestic,Botoșani,Hermannstadt,2,0,2-0,H,wikipedia,wikipedia,football-data
2018-07-28,2018/19,Romania,SuperLiga,1,Domestic,Dunărea Călărași,CFR Cluj,0,0,0-0,D,wikipedia,wikipedia,football-data
2018-07-28,2018/19,Romania,SuperLiga,1,Domestic,Politehnica Iași,Astra Giurgiu,1,1,1-1,D,wikipedia,wikipedia,football-data
2018-07-29,2018/19,Romania,SuperLiga,1,Domestic,FCSB,Dinamo București,3,3,3-3,D,wikipedia,wikipedia,football-data
2018-07-29,2018/19,Romania,SuperLiga,1,Domestic,Sepsi OSK,Universitatea Craiova,1,0,1-0,H,wikipedia,wikipedia,football-data
2018-07-30,2018/19,Romania,SuperLiga,1,Domestic,Concordia Chiajna,Viitorul Constanța,1,1,1-1,D,wikipedia,wikipedia,football-data
2018-07-30,2018/19,Romania,SuperLiga,1,Domestic,Voluntari,Gaz Metan Mediaș,1,1,1-1,D,wikipedia,wikipedia,football-data
2018-08-03,2018/19,Romania,SuperLiga,1,Domestic,Universitatea Craiova,Botoșani,2,2,2-2,D,wikipedia,wikipedia,football-data
2018-08-04,2018/19,Romania,SuperLiga,1,Domestic,Astra Giurgiu,Sepsi OSK,1,1,1-1,D,wikipedia,wikipedia,football-data
2018-08-04,2018/19,Romania,SuperLiga,1,Domestic,CFR Cluj,Concordia Chiajna,2,1,2-1,H,wikipedia,wikipedia,football-data
2018-08-05,2018/19,Romania,SuperLiga,1,Domestic,FCSB,Politehnica Iași,4,0,4-0,H,wikipedia,wikipedia,football-data
2018-08-05,2018/19,Romania,SuperLiga,1,Domestic,Hermannstadt,Dunărea Călărași,1,1,1-1,D,wikipedia,wikipedia,football-data
2018-08-06,2018/19,Romania,SuperLiga,1,Domestic,Gaz Metan Mediaș,Dinamo București,3,2,3-2,H,wikipedia,wikipedia,football-data
2018-08-06,2018/19,Romania,SuperLiga,1,Domestic,Viitorul Constanța,Voluntari,2,0,2-0,H,wikipedia,wikipedia,football-data
2018-08-10,2018/19,Romania,SuperLiga,1,Domestic,Botoșani,Astra Giurgiu,1,1,1-1,D,wikipedia,wikipedia,football-data
2018-08-11,2018/19,Romania,SuperLiga,1,Domestic,Concordia Chiajna,Hermannstadt,2,0,2-0,H,wikipedia,wikipedia,football-data
2018-08-11,2018/19,Romania,SuperLiga,1,Domestic,Sepsi OSK,Politehnica Iași,3,0,3-0,H,wikipedia,wikipedia,football-data
2018-08-12,2018/19,Romania,SuperLiga,1,Domestic,Dunărea Călărași,Universitatea Craiova,1,3,1-3,A,wikipedia,wikipedia,football-data
2018-08-12,2018/19,Romania,SuperLiga,1,Domestic,Gaz Metan Mediaș,FCSB,1,3,1-3,A,wikipedia,wikipedia,football-data
2018-08-12,2018/19,Romania,SuperLiga,1,Domestic,Voluntari,CFR Cluj,1,2,1-2,A,wikipedia,wikipedia,football-data
2018-08-13,2018/19,Romania,SuperLiga,1,Domestic,Dinamo București,Viitorul Constanța,1,0,1-0,H,wikipedia,wikipedia,football-data
2018-08-17,2018/19,Romania,SuperLiga,1,Domestic,Politehnica Iași,Botoșani,2,1,2-1,H,wikipedia,wikipedia,football-data
2018-08-18,2018/19,Romania,SuperLiga,1,Domestic,Astra Giurgiu,Dunărea Călărași,1,1,1-1,D,wikipedia,wikipedia,football-data
2018-08-18,2018/19,Romania,SuperLiga,1,Domestic,Viitorul Constanța,Gaz Metan Mediaș,2,0,2-0,H,wikipedia,wikipedia,football-data
2018-08-19,2018/19,Romania,SuperLiga,1,Domestic,CFR Cluj,Dinamo București,3,1,3-1,H,wikipedia,wikipedia,football-data
2018-08-19,2018/19,Romania,SuperLiga,1,Domestic,FCSB,Sepsi OSK,2,0,2-0,H,wikipedia,wikipedia,football-data
2018-08-20,2018/19,Romania,SuperLiga,1,Domestic,Hermannstadt,Voluntari,4,0,4-0,H,wikipedia,wikipedia,football-data
2018-08-20,2018/19,Romania,SuperLiga,1,Domestic,Universitatea Craiova,Concordia Chiajna,0,1,0-1,A,wikipedia,wikipedia,football-data
2018-08-24,2018/19,Romania,SuperLiga,1,Domestic,Concordia Chiajna,Astra Giurgiu,0,3,0-3,A,wikipedia,wikipedia,football-data
2018-08-25,2018/19,Romania,SuperLiga,1,Domestic,Dinamo București,Hermannstadt,2,1,2-1,H,wikipedia,wikipedia,football-data
2018-08-25,2018/19,Romania,SuperLiga,1,Domestic,Dunărea Călărași,Politehnica Iași,2,0,2-0,H,wikipedia,wikipedia,football-data
2018-08-26,2018/19,Romania,SuperLiga,1,Domestic,Gaz Metan Mediaș,CFR Cluj,0,0,0-0,D,wikipedia,wikipedia,football-data
2018-08-26,2018/19,Romania,SuperLiga,1,Domestic,Viitorul Constanța,FCSB,1,4,1-4,A,wikipedia,wikipedia,football-data
2018-08-27,2018/19,Romania,SuperLiga,1,Domestic,Botoșani,Sepsi OSK,0,0,0-0,D,wikipedia,wikipedia,football-data
2018-08-27,2018/19,Romania,SuperLiga,1,Domestic,Voluntari,Universitatea Craiova,1,5,1-5,A,wikipedia,wikipedia,football-data
2018-08-31,2018/19,Romania,SuperLiga,1,Domestic,Sepsi OSK,Dunărea Călărași,1,0,1-0,H,wikipedia,wikipedia,football-data
2018-09-01,2018/19,Romania,SuperLiga,1,Domestic,Astra Giurgiu,Voluntari,0,0,0-0,D,wikipedia,wikipedia,football-data
2018-09-01,2018/19,Romania,SuperLiga,1,Domestic,Hermannstadt,Gaz Metan Mediaș,0,1,0-1,A,wikipedia,wikipedia,football-data
