Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,DateMatchMethod,Score,Result,FixtureSource,ResultSource,DateSource
2024-07-12,2024/25,Romania,SuperLiga,1,Domestic,Farul Constanța,Unirea Slobozia,0,1,score,0-1,A,wikipedia,wikipedia,football-data
2024-07-12,2024/25,Romania,SuperLiga,1,Domestic,Hermannstadt,Universitatea Craiova,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2024-07-13,2024/25,Romania,SuperLiga,1,Domestic,FCSB,Universitatea Cluj,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2024-07-13,2024/25,Romania,SuperLiga,1,Domestic,Sepsi OSK,Politehnica Iași,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2024-07-13,2024/25,Romania,SuperLiga,1,Domestic,UTA Arad,Rapid București,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2024-07-14,2024/25,Romania,SuperLiga,1,Domestic,CFR Cluj,Dinamo București,3,2,score,3-2,H,wikipedia,wikipedia,football-data
2024-07-15,2024/25,Romania,SuperLiga,1,Domestic,Botoșani,Oțelul Galați,2,3,score,2-3,A,wikipedia,wikipedia,football-data
2024-07-15,2024/25,Romania,SuperLiga,1,Domestic,Petrolul Ploiești,Gloria Buzău,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2024-07-19,2024/25,Romania,SuperLiga,1,Domestic,Politehnica Iași,Botoșani,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2024-07-19,2024/25,Romania,SuperLiga,1,Domestic,Unirea Slobozia,FCSB,2,2,score,2-2,D,wikipedia,wikipedia,football-data
2024-07-20,2024/25,Romania,SuperLiga,1,Domestic,Rapid București,CFR Cluj,2,2,score,2-2,D,wikipedia,wikipedia,football-data
2024-07-20,2024/25,Romania,SuperLiga,1,Domestic,Universitatea Craiova,UTA Arad,4,2,score,4-2,H,wikipedia,wikipedia,football-data
2024-07-21,2024/25,Romania,SuperLiga,1,Domestic,Dinamo București,Petrolul Ploiești,4,1,score,4-1,H,wikipedia,wikipedia,football-data
2024-07-21,2024/25,Romania,SuperLiga,1,Domestic,Universitatea Cluj,Hermannstadt,3,1,score,3-1,H,wikipedia,wikipedia,football-data
2024-07-22,2024/25,Romania,SuperLiga,1,Domestic,Gloria Buzău,Sepsi OSK,1,2,score,1-2,A,wikipedia,wikipedia,football-data
2024-07-22,2024/25,Romania,SuperLiga,1,Domestic,Oțelul Galați,Farul Constanța,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2024-07-26,2024/25,Romania,SuperLiga,1,Domestic,FCSB,Oțelul Galați,0,2,score,0-2,A,wikipedia,wikipedia,football-data
2024-07-26,2024/25,Romania,SuperLiga,1,Domestic,Hermannstadt,Unirea Slobozia,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2024-07-27,2024/25,Romania,SuperLiga,1,Domestic,Politehnica Iași,Gloria Buzău,1,2,score,1-2,A,wikipedia,wikipedia,football-data
2024-07-27,2024/25,Romania,SuperLiga,1,Domestic,Sepsi OSK,Dinamo București,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2024-07-28,2024/25,Romania,SuperLiga,1,Domestic,CFR Cluj,Universitatea Craiova,0,2,score,0-2,A,wikipedia,wikipedia,football-data
2024-07-28,2024/25,Romania,SuperLiga,1,Domestic,Farul Constanța,Botoșani,0,1,score,0-1,A,wikipedia,wikipedia,football-data
2024-07-29,2024/25,Romania,SuperLiga,1,Domestic,Petrolul Ploiești,Rapid București,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2024-07-29,2024/25,Romania,SuperLiga,1,Domestic,UTA Arad,Universitatea Cluj,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2024-08-02,2024/25,Romania,SuperLiga,1,Domestic,Dinamo București,Gloria Buzău,4,1,score,4-1,H,wikipedia,wikipedia,football-data
2024-08-02,2024/25,Romania,SuperLiga,1,Domestic,Oțelul Galați,Hermannstadt,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2024-08-03,2024/25,Romania,SuperLiga,1,Domestic,Farul Constanța,Politehnica Iași,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2024-08-04,2024/25,Romania,SuperLiga,1,Domestic,CFR Cluj,Universitatea Cluj,2,3,score,2-3,A,wikipedia,wikipedia,football-data
2024-08-04,2024/25,Romania,SuperLiga,1,Domestic,Universitatea Craiova,Petrolul Ploiești,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2024-08-05,2024/25,Romania,SuperLiga,1,Domestic,Rapid București,Sepsi OSK,2,2,score,2-2,D,wikipedia,wikipedia,football-data
2024-08-05,2024/25,Romania,SuperLiga,1,Domestic,Unirea Slobozia,UTA Arad,0,1,score,0-1,A,wikipedia,wikipedia,football-data
2024-08-09,2024/25,Romania,SuperLiga,1,Domestic,FCSB,Farul Constanța,3,2,score,3-2,H,wikipedia,wikipedia,football-data
2024-08-10,2024/25,Romania,SuperLiga,1,Domestic,Gloria Buzău,Rapid București,1,1,score,1-1,D,wikipedia,wikipedia,football-data
