Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,DateMatchMethod,Score,Result,FixtureSource,ResultSource,DateSource
2019-12-14,2019/20,Romania,SuperLiga,1,Domestic,Politehnica Iași,Gaz Metan Mediaș,1,2,score,1-2,A,wikipedia,wikipedia,football-data
2019-12-14,2019/20,Romania,SuperLiga,1,Domestic,Universitatea Craiova,Voluntari,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2019-12-15,2019/20,Romania,SuperLiga,1,Domestic,Chindia Târgoviște,Hermannstadt,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2019-12-15,2019/20,Romania,SuperLiga,1,Domestic,Viitorul Constanța,FCSB,0,2,score,0-2,A,wikipedia,wikipedia,football-data
2019-12-16,2019/20,Romania,SuperLiga,1,Domestic,CFR Cluj,Astra Giurgiu,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2019-12-19,2019/20,Romania,SuperLiga,1,Domestic,Botoșani,Dinamo București,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2019-12-20,2019/20,Romania,SuperLiga,1,Domestic,Astra Giurgiu,Academica Clinceni,3,1,score,3-1,H,wikipedia,wikipedia,football-data
2019-12-20,2019/20,Romania,SuperLiga,1,Domestic,Gaz Metan Mediaș,Viitorul Constanța,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2019-12-21,2019/20,Romania,SuperLiga,1,Domestic,Hermannstadt,Politehnica Iași,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2019-12-21,2019/20,Romania,SuperLiga,1,Domestic,Voluntari,CFR Cluj,0,4,score,0-4,A,wikipedia,wikipedia,football-data
2019-12-22,2019/20,Romania,SuperLiga,1,Domestic,FCSB,Universitatea Craiova,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2019-12-22,2019/20,Romania,SuperLiga,1,Domestic,Sepsi OSK,Chindia Târgoviște,3,1,score,3-1,H,wikipedia,wikipedia,football-data
2020-01-31,2019/20,Romania,SuperLiga,1,Domestic,Universitatea Craiova,Gaz Metan Mediaș,3,1,score,3-1,H,wikipedia,wikipedia,football-data
2020-02-01,2019/20,Romania,SuperLiga,1,Domestic,Academica Clinceni,Voluntari,1,2,score,1-2,A,wikipedia,wikipedia,football-data
2020-02-01,2019/20,Romania,SuperLiga,1,Domestic,Dinamo București,Astra Giurgiu,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2020-02-01,2019/20,Romania,SuperLiga,1,Domestic,Hermannstadt,Sepsi OSK,2,2,score,2-2,D,wikipedia,wikipedia,football-data
2020-02-02,2019/20,Romania,SuperLiga,1,Domestic,CFR Cluj,FCSB,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2020-02-02,2019/20,Romania,SuperLiga,1,Domestic,Chindia Târgoviște,Botoșani,0,1,score,0-1,A,wikipedia,wikipedia,football-data
2020-02-03,2019/20,Romania,SuperLiga,1,Domestic,Politehnica Iași,Viitorul Constanța,1,2,score,1-2,A,wikipedia,wikipedia,football-data
2020-02-06,2019/20,Romania,SuperLiga,1,Domestic,Voluntari,FCSB,1,2,score,1-2,A,wikipedia,wikipedia,football-data
2020-02-07,2019/20,Romania,SuperLiga,1,Domestic,Astra Giurgiu,Chindia Târgoviște,1,2,score,1-2,A,wikipedia,wikipedia,football-data
2020-02-08,2019/20,Romania,SuperLiga,1,Domestic,Gaz Metan Mediaș,CFR Cluj,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2020-02-09,2019/20,Romania,SuperLiga,1,Domestic,Sepsi OSK,Politehnica Iași,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2020-02-09,2019/20,Romania,SuperLiga,1,Domestic,Viitorul Constanța,Universitatea Craiova,1,2,score,1-2,A,wikipedia,wikipedia,football-data
2020-02-09,2019/20,Romania,SuperLiga,1,Domestic,Voluntari,Dinamo București,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2020-02-10,2019/20,Romania,SuperLiga,1,Domestic,Botoșani,Hermannstadt,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2020-02-10,2019/20,Romania,SuperLiga,1,Domestic,FCSB,Academica Clinceni,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2020-02-14,2019/20,Romania,SuperLiga,1,Domestic,CFR Cluj,Viitorul Constanța,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2020-02-14,2019/20,Romania,SuperLiga,1,Domestic,Chindia Târgoviște,Voluntari,1,2,score,1-2,A,wikipedia,wikipedia,football-data
2020-02-15,2019/20,Romania,SuperLiga,1,Domestic,Academica Clinceni,Gaz Metan Mediaș,2,3,score,2-3,A,wikipedia,wikipedia,football-data
2020-02-15,2019/20,Romania,SuperLiga,1,Domestic,Politehnica Iași,Universitatea Craiova,2,5,score,2-5,A,wikipedia,wikipedia,football-data
2020-02-16,2019/20,Romania,SuperLiga,1,Domestic,Dinamo București,FCSB,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2020-02-16,2019/20,Romania,SuperLiga,1,Domestic,Sepsi OSK,Botoșani,0,1,score,0-1,A,wikipedia,wikipedia,football-data
2020-02-17,2019/20,Romania,SuperLiga,1,Domestic,Hermannstadt,Astra Giurgiu,2,2,score,2-2,D,wikipedia,wikipedia,football-data
2020-02-22,2019/20,Romania,SuperLiga,1,Domestic,FCSB,Chindia Târgoviște,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2020-02-22,2019/20,Romania,SuperLiga,1,Domestic,Voluntari,Hermannstadt,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2020-02-23,2019/20,Romania,SuperLiga,1,Domestic,Astra Giurgiu,Sepsi OSK,2,2,score,2-2,D,wikipedia,wikipedia,football-data
2020-02-23,2019/20,Romania,SuperLiga,1,Domestic,Gaz Metan Mediaș,Dinamo București,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2020-02-23,2019/20,Romania,SuperLiga,1,Domestic,Universitatea Craiova,CFR Cluj,0,2,score,0-2,A,wikipedia,wikipedia,football-data
2020-02-23,2019/20,Romania,SuperLiga,1,Domestic,Viitorul Constanța,Academica Clinceni,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2020-02-24,2019/20,Romania,SuperLiga,1,Domestic,Botoșani,Politehnica Iași,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2020-02-28,2019/20,Romania,SuperLiga,1,Domestic,Dinamo București,Academica Clinceni,0,1,score,0-1,A,wikipedia,wikipedia,football-data
2020-02-28,2019/20,Romania,SuperLiga,1,Domestic,Sepsi OSK,Politehnica Iași,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2020-02-29,2019/20,Romania,SuperLiga,1,Domestic,Botoșani,FCSB,2,2,score,2-2,D,wikipedia,wikipedia,football-data
2020-02-29,2019/20,Romania,SuperLiga,1,Domestic,Viitorul Constanța,Voluntari,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2020-03-01,2019/20,Romania,SuperLiga,1,Domestic,Universitatea Craiova,Gaz Metan Mediaș,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2020-03-02,2019/20,Romania,SuperLiga,1,Domestic,CFR Cluj,Astra Giurgiu,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2020-03-02,2019/20,Romania,SuperLiga,1,Domestic,Hermannstadt,Chindia Târgoviște,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2020-03-06,2019/20,Romania,SuperLiga,1,Domestic,Astra Giurgiu,Botoșani,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2020-03-07,2019/20,Romania,SuperLiga,1,Domestic,Academica Clinceni,Viitorul Constanța,2,3,score,2-3,A,wikipedia,wikipedia,football-data
2020-03-07,2019/20,Romania,SuperLiga,1,Domestic,Politehnica Iași,Dinamo București,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2020-03-08,2019/20,Romania,SuperLiga,1,Domestic,Chindia Târgoviște,Sepsi OSK,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2020-03-08,2019/20,Romania,SuperLiga,1,Domestic,FCSB,Universitatea Craiova,4,1,score,4-1,H,wikipedia,wikipedia,football-data
2020-03-09,2019/20,Romania,SuperLiga,1,Domestic,Gaz Metan Mediaș,CFR Cluj,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2020-03-09,2019/20,Romania,SuperLiga,1,Domestic,Voluntari,Hermannstadt,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2020-06-13,2019/20,Romania,SuperLiga,1,Domestic,Sepsi OSK,Hermannstadt,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2020-06-13,2019/20,Romania,SuperLiga,1,Domestic,Voluntari,Academica Clinceni,3,0,score,3-0,H,wikipedia,wikipedia,football-data
2020-06-14,2019/20,Romania,SuperLiga,1,Domestic,CFR Cluj,FCSB,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2020-06-14,2019/20,Romania,SuperLiga,1,Domestic,Viitorul Constanța,Politehnica Iași,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2020-06-15,2019/20,Romania,SuperLiga,1,Domestic,Astra Giurgiu,Gaz Metan Mediaș,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2020-06-16,2019/20,Romania,SuperLiga,1,Domestic,Sepsi OSK,Voluntari,1,2,score,1-2,A,wikipedia,wikipedia,football-data
2020-06-17,2019/20,Romania,SuperLiga,1,Domestic,Chindia Târgoviște,Viitorul Constanța,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2020-06-18,2019/20,Romania,SuperLiga,1,Domestic,Politehnica Iași,Academica Clinceni,0,1,score,0-1,A,wikipedia,wikipedia,football-data
2020-06-19,2019/20,Romania,SuperLiga,1,Domestic,Universitatea Craiova,Astra Giurgiu,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2020-06-20,2019/20,Romania,SuperLiga,1,Domestic,Botoșani,CFR Cluj,0,2,score,0-2,A,wikipedia,wikipedia,football-data
2020-06-21,2019/20,Romania,SuperLiga,1,Domestic,Dinamo București,Sepsi OSK,1,3,score,1-3,A,wikipedia,wikipedia,football-data
2020-06-21,2019/20,Romania,SuperLiga,1,Domestic,FCSB,Gaz Metan Mediaș,2,2,score,2-2,D,wikipedia,wikipedia,football-data
