Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,Score,Result,FixtureSource,ResultSource,DateSource
2012-07-20,2012/13,Romania,SuperLiga,1,Domestic,Pandurii Târgu Jiu,Universitatea Cluj,6,2,6-2,H,wikipedia,wikipedia,football-data
2012-07-20,2012/13,Romania,SuperLiga,1,Domestic,Turnu Severin,Dinamo București,1,2,1-2,A,wikipedia,wikipedia,football-data
2012-07-21,2012/13,Romania,SuperLiga,1,Domestic,CFR Cluj,Gaz Metan Mediaș,1,1,1-1,D,wikipedia,wikipedia,football-data
2012-07-21,2012/13,Romania,SuperLiga,1,Domestic,Petrolul Ploiești,Ceahlăul Piatra Neamț,5,0,5-0,H,wikipedia,wikipedia,football-data
2012-07-22,2012/13,Romania,SuperLiga,1,Domestic,CSMS Iași,Oțelul Galați,1,2,1-2,A,wikipedia,wikipedia,football-data
2012-07-22,2012/13,Romania,SuperLiga,1,Domestic,Gloria Bistrița,Astra Giurgiu,1,2,1-2,A,wikipedia,wikipedia,football-data
2012-07-22,2012/13,Romania,SuperLiga,1,Domestic,Rapid București,Vaslui,2,2,2-2,D,wikipedia,wikipedia,football-data
2012-07-23,2012/13,Romania,SuperLiga,1,Domestic,Steaua București,Concordia Chiajna,1,0,1-0,H,wikipedia,wikipedia,football-data
2012-07-23,2012/13,Romania,SuperLiga,1,Domestic,Viitorul Constanța,Brașov,2,2,2-2,D,wikipedia,wikipedia,football-data
2012-07-27,2012/13,Romania,SuperLiga,1,Domestic,Brașov,Turnu Severin,2,1,2-1,H,wikipedia,wikipedia,football-data
2012-07-27,2012/13,Romania,SuperLiga,1,Domestic,Ceahlăul Piatra Neamț,CFR Cluj,2,2,2-2,D,wikipedia,wikipedia,football-data
2012-07-28,2012/13,Romania,SuperLiga,1,Domestic,Astra Giurgiu,Steaua București,3,4,3-4,A,wikipedia,wikipedia,football-data
2012-07-28,2012/13,Romania,SuperLiga,1,Domestic,Gaz Metan Mediaș,Pandurii Târgu Jiu,0,2,0-2,A,wikipedia,wikipedia,football-data
2012-07-28,2012/13,Romania,SuperLiga,1,Domestic,Vaslui,Petrolul Ploiești,3,0,3-0,H,wikipedia,wikipedia,football-data
2012-07-29,2012/13,Romania,SuperLiga,1,Domestic,Dinamo București,CSMS Iași,5,2,5-2,H,wikipedia,wikipedia,football-data
2012-07-29,2012/13,Romania,SuperLiga,1,Domestic,Universitatea Cluj,Gloria Bistrița,1,0,1-0,H,wikipedia,wikipedia,football-data
2012-07-30,2012/13,Romania,SuperLiga,1,Domestic,Concordia Chiajna,Viitorul Constanța,1,1,1-1,D,wikipedia,wikipedia,football-data
2012-07-30,2012/13,Romania,SuperLiga,1,Domestic,Oțelul Galați,Rapid București,1,1,1-1,D,wikipedia,wikipedia,football-data
2012-08-03,2012/13,Romania,SuperLiga,1,Domestic,Gloria Bistrița,Gaz Metan Mediaș,1,1,1-1,D,wikipedia,wikipedia,football-data
