Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,DateMatchMethod,Score,Result,FixtureSource,ResultSource,DateSource
2016-07-22,2016/17,Romania,SuperLiga,1,Domestic,Pandurii Târgu Jiu,CS U Craiova,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2016-07-22,2016/17,Romania,SuperLiga,1,Domestic,Voluntari,Viitorul Constanța,0,1,score,0-1,A,wikipedia,wikipedia,football-data
2016-07-23,2016/17,Romania,SuperLiga,1,Domestic,Astra Giurgiu,Dinamo București,1,4,score,1-4,A,wikipedia,wikipedia,football-data
2016-07-23,2016/17,Romania,SuperLiga,1,Domestic,Gaz Metan Mediaș,Târgu Mureș,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2016-07-24,2016/17,Romania,SuperLiga,1,Domestic,CFR Cluj,Concordia Chiajna,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2016-07-29,2016/17,Romania,SuperLiga,1,Domestic,CSM Politehnica Iași,Gaz Metan Mediaș,3,1,score,3-1,H,wikipedia,wikipedia,football-data
2016-07-30,2016/17,Romania,SuperLiga,1,Domestic,Botoșani,CFR Cluj,3,1,score,3-1,H,wikipedia,wikipedia,football-data
2016-07-30,2016/17,Romania,SuperLiga,1,Domestic,Dinamo București,ACS Poli Timișoara,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2016-07-31,2016/17,Romania,SuperLiga,1,Domestic,Pandurii Târgu Jiu,Astra Giurgiu,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2016-07-31,2016/17,Romania,SuperLiga,1,Domestic,Viitorul Constanța,FC Steaua București,1,3,score,1-3,A,wikipedia,wikipedia,football-data
2016-08-01,2016/17,Romania,SuperLiga,1,Domestic,CS U Craiova,Târgu Mureș,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2016-08-01,2016/17,Romania,SuperLiga,1,Domestic,Concordia Chiajna,Voluntari,0,4,score,0-4,A,wikipedia,wikipedia,football-data
2016-08-05,2016/17,Romania,SuperLiga,1,Domestic,Târgu Mureș,CSM Politehnica Iași,0,3,score,0-3,A,wikipedia,wikipedia,football-data
2016-08-05,2016/17,Romania,SuperLiga,1,Domestic,Voluntari,Botoșani,4,2,score,4-2,H,wikipedia,wikipedia,football-data
2016-08-06,2016/17,Romania,SuperLiga,1,Domestic,Astra Giurgiu,CS U Craiova,1,2,score,1-2,A,wikipedia,wikipedia,football-data
2016-08-06,2016/17,Romania,SuperLiga,1,Domestic,FC Steaua București,Concordia Chiajna,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2016-08-07,2016/17,Romania,SuperLiga,1,Domestic,ACS Poli Timișoara,Pandurii Târgu Jiu,1,3,score,1-3,A,wikipedia,wikipedia,football-data
2016-08-07,2016/17,Romania,SuperLiga,1,Domestic,Gaz Metan Mediaș,Viitorul Constanța,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2016-08-08,2016/17,Romania,SuperLiga,1,Domestic,CFR Cluj,Dinamo București,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2016-08-12,2016/17,Romania,SuperLiga,1,Domestic,Botoșani,FC Steaua București,0,2,score,0-2,A,wikipedia,wikipedia,football-data
2016-08-13,2016/17,Romania,SuperLiga,1,Domestic,Astra Giurgiu,ACS Poli Timișoara,3,1,score,3-1,H,wikipedia,wikipedia,football-data
