Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,Score,Result,FixtureSource,ResultSource,DateSource
2015-02-20,2014/15,Romania,SuperLiga,1,Domestic,Viitorul Constanța,CSMS Iași,0,3,0-3,A,wikipedia,wikipedia,football-data
2015-02-21,2014/15,Romania,SuperLiga,1,Domestic,Gaz Metan Mediaș,Botoșani,1,1,1-1,D,wikipedia,wikipedia,football-data
2015-02-21,2014/15,Romania,SuperLiga,1,Domestic,Oțelul Galați,Dinamo București,0,1,0-1,A,wikipedia,wikipedia,football-data
2015-02-22,2014/15,Romania,SuperLiga,1,Domestic,Astra Giurgiu,Concordia Chiajna,2,2,2-2,D,wikipedia,wikipedia,football-data
2015-02-22,2014/15,Romania,SuperLiga,1,Domestic,Steaua București,Rapid București,0,1,0-1,A,wikipedia,wikipedia,football-data
2015-02-22,2014/15,Romania,SuperLiga,1,Domestic,Universitatea Cluj,Târgu Mureș,0,3,0-3,A,wikipedia,wikipedia,football-data
2015-02-23,2014/15,Romania,SuperLiga,1,Domestic,Ceahlăul Piatra Neamț,CFR Cluj,0,0,0-0,D,wikipedia,wikipedia,football-data
2015-02-23,2014/15,Romania,SuperLiga,1,Domestic,Pandurii Târgu Jiu,Universitatea Craiova,0,1,0-1,A,wikipedia,wikipedia,football-data
2015-02-27,2014/15,Romania,SuperLiga,1,Domestic,Botoșani,Petrolul Ploiești,0,1,0-1,A,wikipedia,wikipedia,football-data
2015-02-27,2014/15,Romania,SuperLiga,1,Domestic,Concordia Chiajna,Oțelul Galați,3,0,3-0,H,wikipedia,wikipedia,football-data
2015-02-28,2014/15,Romania,SuperLiga,1,Domestic,CSMS Iași,Gaz Metan Mediaș,1,0,1-0,H,wikipedia,wikipedia,football-data
2015-02-28,2014/15,Romania,SuperLiga,1,Domestic,Dinamo București,Universitatea Cluj,3,0,3-0,H,wikipedia,wikipedia,football-data
2015-03-01,2014/15,Romania,SuperLiga,1,Domestic,Brașov,Astra Giurgiu,1,1,1-1,D,wikipedia,wikipedia,football-data
2015-03-01,2014/15,Romania,SuperLiga,1,Domestic,CFR Cluj,Pandurii Târgu Jiu,0,4,0-4,A,wikipedia,wikipedia,football-data
2015-03-01,2014/15,Romania,SuperLiga,1,Domestic,Universitatea Craiova,Steaua București,0,0,0-0,D,wikipedia,wikipedia,football-data
2015-03-02,2014/15,Romania,SuperLiga,1,Domestic,Rapid București,Viitorul Constanța,0,0,0-0,D,wikipedia,wikipedia,football-data
2015-03-02,2014/15,Romania,SuperLiga,1,Domestic,Târgu Mureș,Ceahlăul Piatra Neamț,3,0,3-0,H,wikipedia,wikipedia,football-data
2015-03-06,2014/15,Romania,SuperLiga,1,Domestic,Ceahlăul Piatra Neamț,Pandurii Târgu Jiu,1,1,1-1,D,wikipedia,wikipedia,football-data
2015-03-06,2014/15,Romania,SuperLiga,1,Domestic,Târgu Mureș,Dinamo București,2,1,2-1,H,wikipedia,wikipedia,football-data
2015-03-07,2014/15,Romania,SuperLiga,1,Domestic,Astra Giurgiu,Botoșani,2,0,2-0,H,wikipedia,wikipedia,football-data
2015-03-07,2014/15,Romania,SuperLiga,1,Domestic,Oțelul Galați,Brașov,1,1,1-1,D,wikipedia,wikipedia,football-data
2015-03-08,2014/15,Romania,SuperLiga,1,Domestic,Steaua București,CFR Cluj,1,0,1-0,H,wikipedia,wikipedia,football-data
2015-03-08,2014/15,Romania,SuperLiga,1,Domestic,Universitatea Cluj,Concordia Chiajna,0,0,0-0,D,wikipedia,wikipedia,football-data
2015-03-08,2014/15,Romania,SuperLiga,1,Domestic,Viitorul Constanța,Universitatea Craiova,1,1,1-1,D,wikipedia,wikipedia,football-data
2015-03-09,2014/15,Romania,SuperLiga,1,Domestic,Gaz Metan Mediaș,Rapid București,0,1,0-1,A,wikipedia,wikipedia,football-data
2015-03-09,2014/15,Romania,SuperLiga,1,Domestic,Petrolul Ploiești,CSMS Iași,0,2,0-2,A,wikipedia,wikipedia,football-data
2015-03-13,2014/15,Romania,SuperLiga,1,Domestic,Brașov,Universitatea Cluj,1,0,1-0,H,wikipedia,wikipedia,football-data
2015-03-13,2014/15,Romania,SuperLiga,1,Domestic,Concordia Chiajna,Târgu Mureș,0,0,0-0,D,wikipedia,wikipedia,football-data
2015-03-13,2014/15,Romania,SuperLiga,1,Domestic,Rapid București,Petrolul Ploiești,1,1,1-1,D,wikipedia,wikipedia,football-data
2015-03-14,2014/15,Romania,SuperLiga,1,Domestic,Botoșani,Oțelul Galați,1,1,1-1,D,wikipedia,wikipedia,football-data
2015-03-14,2014/15,Romania,SuperLiga,1,Domestic,Dinamo București,Ceahlăul Piatra Neamț,3,1,3-1,H,wikipedia,wikipedia,football-data
2015-03-14,2014/15,Romania,SuperLiga,1,Domestic,Universitatea Craiova,Gaz Metan Mediaș,1,1,1-1,D,wikipedia,wikipedia,football-data
2015-03-15,2014/15,Romania,SuperLiga,1,Domestic,CFR Cluj,Viitorul Constanța,1,2,1-2,A,wikipedia,wikipedia,football-data
