WikiTeam,WikiKey,FDTeam,FDKey,Method
Bodø/Glimt,bodo_glimt,Bodo/Glimt,bodo_glimt,canonical
Brann,brann,Brann,brann,canonical
Bryne,bryne,Bryne,bryne,canonical
Fredrikstad,fredrikstad,Fredrikstad,fredrikstad,canonical
HamKam,hamkam,HamKam,hamkam,canonical
Haugesund,haugesund,Haugesund,haugesund,canonical
KFUM,kfum_oslo,KFUM Oslo,kfum_oslo,canonical
Kristiansund,kristiansund,Kristiansund,kristiansund,canonical
Molde,molde,Molde,molde,canonical
Rosenborg,rosenborg,Rosenborg,rosenborg,canonical
Sandefjord,sandefjord,Sandefjord,sandefjord,canonical
Sarpsborg,sarpsborg_08,Sarpsborg 08,sarpsborg_08,canonical
Strømsgodset,stromsgodset,Stromsgodset,stromsgodset,canonical
Tromsø,tromso,Tromso,tromso,canonical
Vålerenga,valerenga,Valerenga,valerenga,canonical
Viking,viking,Viking,viking,canonical
