MatchKey,Occurrence,Away,Home,TableNumber,HG,AG,FDHome,FDAway,WikiID,FDID,Date
Viking|||Lillestrom|||0|||0,1,Lillestrøm,Viking,7,0,0,Viking,Lillestrom,74,127,2014-07-20
Viking|||Molde|||1|||2,1,Molde,Viking,7,1,2,Viking,Molde,89,203,2014-10-04
Viking|||Odd|||1|||1,1,Odd,Viking,7,1,1,Viking,Odd,104,56,2014-05-05
Viking|||Rosenborg|||1|||2,1,Rosenborg,Viking,7,1,2,Viking,Rosenborg,119,175,2014-08-31
Viking|||Sandnes|||2|||2,1,Sandnes Ulf,Viking,7,2,2,Viking,Sandnes,134,70,2014-05-16
Viking|||Sarpsborg 08|||1|||0,1,Sarpsborg 08,Viking,7,1,0,Viking,Sarpsborg 08,149,232,2014-11-02
Viking|||Sogndal|||4|||2,1,Sogndal,Viking,7,4,2,Viking,Sogndal,164,154,2014-08-16
Viking|||Stabaek|||4|||1,1,Stabæk,Viking,7,4,1,Viking,Stabaek,179,104,2014-06-12
Viking|||Start|||0|||1,1,Start,Viking,7,0,1,Viking,Start,194,188,2014-09-21
Viking|||Stromsgodset|||0|||0,1,Strømsgodset,Viking,7,0,0,Viking,Stromsgodset,209,9,2014-04-04
Viking|||Valerenga|||5|||5,1,Vålerenga,Viking,7,5,5,Viking,Valerenga,240,139,2014-08-02
