MatchKey,Occurrence,Away,Home,TableNumber,HG,AG,FDHome,FDAway,WikiID,FDID,Date
Aalesund|||Bodo/Glimt|||1|||2,1,Bodø/Glimt,Aalesund,8,1,2,Aalesund,Bodo/Glimt,16,122,2022-07-30
Aalesund|||Ham-Kam|||0|||0,1,HamKam,Aalesund,8,0,0,Aalesund,Ham-Kam,31,203,2022-10-16
Aalesund|||Haugesund|||1|||2,1,Haugesund,Aalesund,8,1,2,Aalesund,Haugesund,46,140,2022-08-13
Aalesund|||Jerv|||2|||1,1,Jerv,Aalesund,8,2,1,Aalesund,Jerv,61,62,2022-05-25
Aalesund|||Kristiansund|||1|||0,1,Kristiansund,Aalesund,8,1,0,Aalesund,Kristiansund,76,3,2022-04-03
Aalesund|||Lillestrom|||2|||1,1,Lillestrøm,Aalesund,8,2,1,Aalesund,Lillestrom,91,225,2022-11-06
Aalesund|||Molde|||0|||2,1,Molde,Aalesund,8,0,2,Aalesund,Molde,106,46,2022-05-16
Aalesund|||Odd|||1|||1,1,Odd,Aalesund,8,1,1,Aalesund,Odd,121,153,2022-08-28
Aalesund|||Rosenborg|||0|||0,1,Rosenborg,Aalesund,8,0,0,Aalesund,Rosenborg,136,113,2022-07-17
Aalesund|||Sandefjord|||1|||0,1,Sandefjord,Aalesund,8,1,0,Aalesund,Sandefjord,151,211,2022-10-23
Aalesund|||Sarpsborg 08|||1|||3,1,Sarpsborg 08,Aalesund,8,1,3,Aalesund,Sarpsborg 08,166,171,2022-09-11
Aalesund|||Stromsgodset|||1|||0,1,Strømsgodset,Aalesund,8,1,0,Aalesund,Stromsgodset,181,93,2022-07-03
Aalesund|||Tromso|||2|||2,1,Tromsø,Aalesund,8,2,2,Aalesund,Tromso,196,17,2022-04-18
Aalesund|||Valerenga|||2|||2,1,Vålerenga,Aalesund,8,2,2,Aalesund,Valerenga,226,83,2022-06-19
Aalesund|||Viking|||2|||1,1,Viking,Aalesund,8,2,1,Aalesund,Viking,211,188,2022-10-02
Bodo/Glimt|||Aalesund|||2|||0,1,Aalesund,Bodø/Glimt,8,2,0,Bodo/Glimt,Aalesund,1,86,2022-06-26
Bodo/Glimt|||Ham-Kam|||2|||2,1,HamKam,Bodø/Glimt,8,2,2,Bodo/Glimt,Ham-Kam,32,144,2022-08-20
Bodo/Glimt|||Haugesund|||1|||1,1,Haugesund,Bodø/Glimt,8,1,1,Bodo/Glimt,Haugesund,47,178,2022-09-18
Bodo/Glimt|||Jerv|||5|||0,1,Jerv,Bodø/Glimt,8,5,0,Bodo/Glimt,Jerv,62,114,2022-07-23
Bodo/Glimt|||Kristiansund|||5|||0,1,Kristiansund,Bodø/Glimt,8,5,0,Bodo/Glimt,Kristiansund,77,212,2022-10-23
Bodo/Glimt|||Lillestrom|||1|||1,1,Lillestrøm,Bodø/Glimt,8,1,1,Bodo/Glimt,Lillestrom,92,37,2022-05-08
Bodo/Glimt|||Molde|||1|||4,1,Molde,Bodø/Glimt,8,1,4,Bodo/Glimt,Molde,107,161,2022-09-03
Bodo/Glimt|||Odd|||7|||0,1,Odd,Bodø/Glimt,8,7,0,Bodo/Glimt,Odd,122,130,2022-08-06
Bodo/Glimt|||Rosenborg|||2|||2,1,Rosenborg,Bodø/Glimt,8,2,2,Bodo/Glimt,Rosenborg,137,8,2022-04-03
Bodo/Glimt|||Sandefjord|||4|||1,1,Sandefjord,Bodø/Glimt,8,4,1,Bodo/Glimt,Sandefjord,152,194,2022-10-09
Bodo/Glimt|||Sarpsborg 08|||4|||1,1,Sarpsborg 08,Bodø/Glimt,8,4,1,Bodo/Glimt,Sarpsborg 08,167,99,2022-07-09
Bodo/Glimt|||Stromsgodset|||2|||2,1,Strømsgodset,Bodø/Glimt,8,2,2,Bodo/Glimt,Stromsgodset,182,63,2022-05-25
Bodo/Glimt|||Tromso|||1|||1,1,Tromsø,Bodø/Glimt,8,1,1,Bodo/Glimt,Tromso,197,47,2022-05-16
Bodo/Glimt|||Valerenga|||5|||1,1,Vålerenga,Bodø/Glimt,8,5,1,Bodo/Glimt,Valerenga,227,24,2022-04-18
Bodo/Glimt|||Viking|||5|||4,1,Viking,Bodø/Glimt,8,5,4,Bodo/Glimt,Viking,212,226,2022-11-06
Ham-Kam|||Aalesund|||0|||0,1,Aalesund,HamKam,8,0,0,Ham-Kam,Aalesund,2,42,2022-05-08
Ham-Kam|||Bodo/Glimt|||0|||2,1,Bodø/Glimt,HamKam,8,0,2,Ham-Kam,Bodo/Glimt,17,108,2022-07-16
Ham-Kam|||Haugesund|||1|||0,1,Haugesund,HamKam,8,1,0,Ham-Kam,Haugesund,48,154,2022-08-28
Ham-Kam|||Jerv|||2|||1,1,Jerv,HamKam,8,2,1,Ham-Kam,Jerv,63,189,2022-10-02
Ham-Kam|||Kristiansund|||0|||1,1,Kristiansund,HamKam,8,0,1,Ham-Kam,Kristiansund,78,123,2022-07-30
Ham-Kam|||Lillestrom|||2|||2,1,Lillestrøm,HamKam,8,2,2,Ham-Kam,Lillestrom,93,1,2022-04-02
Ham-Kam|||Molde|||0|||0,1,Molde,HamKam,8,0,0,Ham-Kam,Molde,108,94,2022-07-03
Ham-Kam|||Odd|||1|||2,1,Odd,HamKam,8,1,2,Ham-Kam,Odd,123,69,2022-05-28
Ham-Kam|||Rosenborg|||1|||1,1,Rosenborg,HamKam,8,1,1,Ham-Kam,Rosenborg,138,61,2022-05-22
Ham-Kam|||Sandefjord|||3|||0,1,Sandefjord,HamKam,8,3,0,Ham-Kam,Sandefjord,153,18,2022-04-18
Ham-Kam|||Sarpsborg 08|||3|||2,1,Sarpsborg 08,HamKam,8,3,2,Ham-Kam,Sarpsborg 08,168,87,2022-06-26
