WikiTeam,FDKey,Method
Aalesund,aalesund,canonical
Brann,brann,canonical
Fredrikstad,fredrikstad,canonical
Haugesund,haugesund,canonical
Hønefoss BK,honefoss,canonical
Lillestrøm,lillestrom,canonical
Molde,molde,canonical
Odd Grenland,odd,canonical
Rosenborg,rosenborg,canonical
Sandnes Ulf,sandnes_ulf,canonical
Sogndal,sogndal,canonical
Stabæk,stabaek,canonical
Strømsgodset,stromsgodset,canonical
Tromsø,tromso,canonical
Vålerenga,valerenga,canonical
Viking,viking,canonical
