WikiTeam,FDTeam,Method
Aalesund,Aalesund,canonical_exact
Brann,Brann,canonical_exact
Haugesund,Haugesund,canonical_exact
Hønefoss BK,Honefoss,substring
Lillestrøm,Lillestrom,canonical_exact
Molde,Molde,canonical_exact
Odd,Odd,canonical_exact
Rosenborg,Rosenborg,canonical_exact
Sandnes Ulf,Sandnes,substring
Sarpsborg 08,Sarpsborg 08,canonical_exact
Sogndal,Sogndal,canonical_exact
Start,Start,canonical_exact
Strømsgodset,Stromsgodset,canonical_exact
Tromsø,Tromso,canonical_exact
Vålerenga,Valerenga,canonical_exact
Viking,Viking,canonical_exact
