date,season,week,game_type,tournament,home_team,away_team,away_score_raw,home_score_raw,result,HomeScore,AwayScore,HomeFirstAppearance,AwayFirstAppearance,HomeGamesBefore,AwayGamesBefore,HomeRating_Before,AwayRating_Before,HomeStartRating,AwayStartRating,ExpectedHome,ExpectedAway,KHome,KAway,HomeRating_After,AwayRating_After,HomeGamesAfter,AwayGamesAfter
1999-09-19,1999,2,REG,NFL Regular Season,MIN,OAK,22,17,OAK,0,1,FALSE,FALSE,1,1,2627.69494497902,2689.31032110546,2622,2700,0.412246392052159,0.587753607947841,20,20,2619.45001713797,2697.55524894651,2,2
1999-09-19,1999,2,REG,NFL Regular Season,BAL,PIT,23,20,PIT,0,1,FALSE,FALSE,1,1,2660.90704900879,2651.28006795436,2668,2647,0.513850794852303,0.486149205147697,20,20,2650.63003311174,2661.5570838514,2,2
1999-09-19,1999,2,REG,NFL Regular Season,CIN,SD,34,7,SD,0,1,FALSE,TRUE,1,0,2424.03896691705,2460,2427,2460,0.448431933444383,0.551568066555617,20,20,2415.07032824816,2468.96863866889,2,1
1999-09-19,1999,2,REG,NFL Regular Season,CHI,SEA,14,13,SEA,0,1,FALSE,FALSE,1,1,2625.74030543793,2573.09513920697,2617,2585,0.575187929552349,0.424812070447651,20,20,2614.23654684688,2584.59889779802,2,2
1999-09-19,1999,2,REG,NFL Regular Season,PHI,TB,19,5,TB,0,1,FALSE,FALSE,1,1,2622.55530932702,2685.03972468461,2637,2697,0.411034801913073,0.588965198086927,20,20,2614.33461328876,2693.26042072287,2,2
1999-09-19,1999,2,REG,NFL Regular Season,NYG,WAS,50,21,WAS,0,1,FALSE,FALSE,1,1,2639.96027531539,2609.80584011711,2628,2623,0.54328708482854,0.45671291517146,20,20,2629.09453361882,2620.67158181368,2,2
1999-09-20,1999,2,REG,NFL Regular Season,DAL,ATL,7,24,DAL,1,0,FALSE,FALSE,1,1,2521.1941598829,2456.30505502098,2508,2462,0.592312088570919,0.407687911429081,20,20,2529.34791811148,2448.1512967924,2,2
1999-09-26,1999,3,REG,NFL Regular Season,STL,ATL,7,35,STL,1,0,FALSE,FALSE,1,2,2779.09295099121,2448.1512967924,2772,2462,0.870462391069736,0.129537608930264,20,20,2781.68370316982,2445.5605446138,2,3
1999-09-26,1999,3,REG,NFL Regular Season,OAK,CHI,17,24,OAK,1,0,FALSE,FALSE,2,2,2697.55524894651,2614.23654684688,2700,2617,0.617658376284947,0.382341623715053,20,20,2705.20208142081,2606.58971437258,3,3
1999-09-26,1999,3,REG,NFL Regular Season,CAR,CIN,3,27,CAR,1,0,FALSE,FALSE,2,2,2474.26291619541,2415.07032824816,2488,2427,0.584370248738536,0.415629751261465,20,20,2482.57551122064,2406.75773322293,3,3
1999-09-26,1999,3,REG,NFL Regular Season,BAL,CLE,10,17,BAL,1,0,FALSE,FALSE,2,2,2650.63003311174,2413.94606829404,2668,2421,0.796159614491828,0.203840385508172,20,20,2654.70684082191,2409.86926058388,3,3
1999-09-26,1999,3,REG,NFL Regular Season,TB,DEN,10,13,TB,1,0,FALSE,FALSE,2,2,2693.26042072287,2607.34701532564,2697,2626,0.621179430445382,0.378820569554618,20,20,2700.83683211397,2599.77060393455,3,3
1999-09-26,1999,3,REG,NFL Regular Season,KC,DET,21,31,KC,1,0,FALSE,FALSE,2,2,2575.81972824522,2544.13422703213,2573,2518,0.545473103267254,0.454526896732746,20,20,2584.91026617988,2535.04368909748,3,3
1999-09-26,1999,3,REG,NFL Regular Season,SD,IND,27,19,IND,0,1,FALSE,FALSE,1,2,2468.96863866889,2682.43248379205,2460,2687,0.22639210615982,0.773607893840181,20,20,2464.44079654569,2686.96032591524,2,3
1999-09-26,1999,3,REG,NFL Regular Season,GB,MIN,20,23,GB,1,0,FALSE,FALSE,2,2,2672.46031265543,2619.45001713797,2676,2622,0.575701429247336,0.424298570752664,20,20,2680.94628407049,2610.96404572292,3,3
1999-09-26,1999,3,REG,NFL Regular Season,NE,NYG,14,16,NE,1,0,FALSE,FALSE,2,2,2646.63380949243,2629.09453361882,2624,2628,0.525219627035209,0.474780372964791,20,20,2656.12941695172,2619.59892615952,3,3
1999-09-26,1999,3,REG,NFL Regular Season,BUF,PHI,0,26,BUF,1,0,FALSE,FALSE,2,2,2588.84572200914,2614.33461328876,2584,2637,0.463384203447073,0.536615796552927,20,20,2599.5780379402,2603.6022973577,3,3
1999-09-26,1999,3,REG,NFL Regular Season,PIT,SEA,29,10,SEA,0,1,FALSE,FALSE,2,2,2661.5570838514,2584.59889779802,2647,2585,0.608975288266782,0.391024711733218,20,20,2649.37757808607,2596.77840356335,3,3
1999-09-26,1999,3,REG,NFL Regular Season,JAX,TEN,20,19,TEN,0,1,FALSE,FALSE,2,2,2646.68173133652,2736.73489683455,2633,2731,0.37322932264682,0.62677067735318,20,20,2639.21714488358,2744.19948328749,3,3
