goratings_id,goratings_name,source_goratings_name,canonical_goratings_id,alias_count,historical_name,match_status,match_iteration,match_game_count,second_best_game_count,checkpoint_rating,checkpoint_games,last_historical_game,name_occurrences
149,Cho Hunhyun,Cho Hunhyun,149,1,Cho Hunhyun,exact_name_match,0,NA,NA,3213.7129197864065,1945,2025-11-17,2
100,Cho Hyeyeon,Cho Hyeyeon,100,1,Cho Hyeyeon,exact_name_match,0,NA,NA,3178.5667590253315,395,2025-10-21,10
2364,Cho Koharu,Cho Koharu,2364,1,Cho Koharu,exact_name_match,0,NA,NA,3088.921160828645,14,2025-08-13,10
2250,Cho Kosumi,Cho Kosumi,2250,1,Cho Kosumi,exact_name_match,0,NA,NA,2993.6027300248543,23,2025-08-07,2
1812,Cho Seungah,Cho Seungah,1812,1,Cho Seungah,exact_name_match,0,NA,NA,3137.8477214204004,210,2025-12-12,17
161,Choi Cheolhan,Choi Cheolhan,161,1,Choi Cheolhan,exact_name_match,0,NA,NA,3309.2254012151298,1098,2024-11-25,4
1627,Choi Jaeyoung,Choi Jaeyoung,1627,1,Choi Jaeyoung,exact_name_match,0,NA,NA,3351.401235503703,146,2025-12-19,15
1223,Choi Jeong,Choi Jeong,1223,1,Choi Jeong,exact_name_match,0,NA,NA,3397.923092738029,714,2025-12-18,40
162,Choi Kyubyeong,Choi Kyubyeong,162,1,Choi Kyubyeong,exact_name_match,0,NA,NA,3147.9726562946207,371,2025-11-30,1
2256,Choi Minseo,Choi Minseo,2256,1,Choi Minseo,exact_name_match,0,NA,NA,3095.7974097229635,1,2021-03-15,6
2569,Choi Minseo (f),Choi Minseo (f),2569,1,Choi Minseo  (f),exact_name_match,0,NA,NA,3024.0156082428666,14,2025-10-16,11
159,Choi Myeonghun,Choi Myeonghun,159,1,Choi Myeonghun,exact_name_match,0,NA,NA,3316.439273353857,470,2025-11-06,7
2415,Choi Seungcheol,Choi Seungcheol,2415,1,Choi Seungcheol,exact_name_match,0,NA,NA,3126.3015519815467,20,2025-05-09,15
2026,Chu Keer,Chu Keer,2026,1,Chu Keer,exact_name_match,0,NA,NA,2960.2383903693085,40,2025-12-29,8
1422,Chujo Chihiro,Chujo Chihiro,1422,1,Chujo Chihiro,exact_name_match,0,NA,NA,3018.62166772405,4,2025-10-20,7
383,Cui Can,Cui Can,383,1,Cui Can,exact_name_match,0,NA,NA,3155.666095966724,49,2020-03-03,1
2315,Dai Qigao,Dai Qigao,2315,1,Dai Qigao,exact_name_match,0,NA,NA,3078.4685493971388,36,2025-12-27,7
1135,Dang Yifei,Dang Yifei,1135,1,Dang Yifei,exact_name_match,0,NA,NA,3633.4832665280414,615,2025-12-29,52
1332,Deguchi Mariko,Deguchi Mariko,1332,1,Deguchi Mariko,exact_name_match,0,NA,NA,2953.6043685211,20,2025-08-07,15
2468,Deng Youjia,Deng Youjia,2468,1,Deng Youjia,exact_name_match,0,NA,NA,3071.8845526538635,6,2025-09-02,1
1511,Ding Hao,Ding Hao,1511,1,Ding Hao,exact_name_match,0,NA,NA,3733.3544706900375,436,2025-12-26,46
2285,Ding Kewen,Ding Kewen,2285,1,Ding Kewen,exact_name_match,0,NA,NA,3158.1005010921012,61,2025-12-31,16
2030,Ding Mingjun,Ding Mingjun,2030,1,Ding Mingjun,exact_name_match,0,NA,NA,2947.792682171976,27,2025-09-17,15
2543,Du Tianrui,Du Tianrui,2543,1,Du Tianrui,exact_name_match,0,NA,NA,3094.5512434499847,5,2025-12-14,1
2392,Duan Boyao,Duan Boyao,2392,1,Duan Boyao,exact_name_match,0,NA,NA,3344.114026457553,40,2025-12-27,17
781,Enda Hideki,Enda Hideki,781,1,Enda Hideki,exact_name_match,0,NA,NA,3067.0386821284856,45,2017-02-13,2
939,Endo Takahiro,Endo Takahiro,939,1,Endo Takahiro,exact_name_match,0,NA,NA,3116.222892843449,24,2023-06-28,5
1480,Fan Hui,Fan Hui,1480,1,Fan Hui,exact_name_match,0,NA,NA,3124.990958335182,31,2015-08-02,1
1194,Fan Tingyu,Fan Tingyu,1194,1,Fan Tingyu,exact_name_match,0,NA,NA,3568.72981222624,719,2025-12-09,34
1275,Fan Yin,Fan Yin,1275,1,Fan Yin,exact_name_match,0,NA,NA,3488.0342071122845,286,2025-12-16,30
1647,Fang Ruoxi,Fang Ruoxi,1647,1,Fang Ruoxi,exact_name_match,0,NA,NA,3205.6269987836536,179,2025-12-16,16
2316,Feng Yunjia,Feng Yunjia,2316,1,Feng Yunjia,exact_name_match,0,NA,NA,3032.24245712672,55,2025-12-12,15
2205,Fu Jianheng,Fu Jianheng,2205,1,Fu Jianheng,exact_name_match,0,NA,NA,3339.9563403161687,72,2025-11-27,23
2203,Fujii Koki,Fujii Koki,2203,1,Fujii Koki,exact_name_match,0,NA,NA,3037.89869640128,22,2025-10-02,15
360,Fujii Shuya,Fujii Shuya,360,1,Fujii Shuya,exact_name_match,0,NA,NA,3143.5560282731813,119,2025-12-24,14
1449,Fujimura Yosuke,Fujimura Yosuke,1449,1,Fujimura Yosuke,exact_name_match,0,NA,NA,3159.762032510689,48,2023-06-29,1
800,Fujisawa Kazunari,Fujisawa Kazunari,800,1,Fujisawa Kazunari,exact_name_match,0,NA,NA,3047.166566387635,35,2025-09-15,3
1224,Fujisawa Rina,Fujisawa Rina,1224,1,Fujisawa Rina,exact_name_match,0,NA,NA,3281.6029985843943,634,2025-12-25,45
1071,Fujita Akihiko,Fujita Akihiko,1071,1,Fujita Akihiko,exact_name_match,0,NA,NA,3313.8534191168296,241,2025-12-18,11
2360,Fujita Reo,Fujita Reo,2360,1,Fujita Reo,exact_name_match,0,NA,NA,2937.562190980497,52,2025-11-26,14
1588,Fujiwara Katsuya,Fujiwara Katsuya,1588,1,Fujiwara Katsuya,exact_name_match,0,NA,NA,3092.609748332618,8,2025-07-16,8
2204,Fukuoka Kotaro,Fukuoka Kotaro,2204,1,Fukuoka Kotaro,exact_name_match,0,NA,NA,3422.8975392615935,184,2025-12-24,51
861,Furuya Yutaka,Furuya Yutaka,861,1,Furuya Yutaka,exact_name_match,0,NA,NA,3039.782370168845,116,2025-11-05,13
2538,Gao Kan,Gao Kan,2538,1,Gao Kan,exact_name_match,0,NA,NA,3084.5932681674576,5,2025-12-14,1
2048,Gao Ruohuan,Gao Ruohuan,2048,1,Gao Ruohuan,exact_name_match,0,NA,NA,3000.0542312748776,14,2023-12-18,1
1310,Gao Xing,Gao Xing,1310,1,Gao Xing,exact_name_match,0,NA,NA,3167.8095784463244,226,2025-12-11,13
2359,Goto Hajimu,Goto Hajimu,2359,1,Goto Hajimu,exact_name_match,0,NA,NA,3058.974450936193,14,2025-08-13,20
2200,Goto Mana,Goto Mana,2200,1,Goto Mana,exact_name_match,0,NA,NA,3063.492325443313,9,2023-01-23,4
256,Goto Shungo,Goto Shungo,256,1,Goto Shungo,exact_name_match,0,NA,NA,3065.485288202692,153,2022-09-12,2
179,Gu Li,Gu Li,179,1,Gu Li,exact_name_match,0,NA,NA,3379.0336278429177,1102,2025-10-26,1
178,Gu Lingyi,Gu Lingyi,178,1,Gu Lingyi,exact_name_match,0,NA,NA,3331.0933602186046,556,2025-07-01,4
1253,Gu Zihao,Gu Zihao,1253,1,Gu Zihao,exact_name_match,0,NA,NA,3514.5834739704137,525,2025-12-17,38
2398,Gui Shiyun,Gui Shiyun,2398,1,Gui Shiyun,exact_name_match,0,NA,NA,3029.4741064753534,12,2025-12-12,4
2458,Hamakado Hibiki,Hamakado Hibiki,2458,1,Hamakado Hibiki,exact_name_match,0,NA,NA,3077.141605475487,2,2025-12-21,7
186,Han Chongjin,Han Chongjin,186,1,Han Chongjin,exact_name_match,0,NA,NA,3315.735880348711,109,2025-09-14,13
2503,Han Jooyoung,Han Jooyoung,2503,1,Han Jooyoung,exact_name_match,0,NA,NA,3131.9075007566935,15,2025-07-27,21
2391,Han Moyang,Han Moyang,2391,1,Han Moyang,exact_name_match,0,NA,NA,3159.645911409699,25,2025-11-24,14
1403,Han Seungjoo,Han Seungjoo,1403,1,Han Seungjoo,exact_name_match,0,NA,NA,3389.4439155992213,230,2025-12-27,7
1201,Han Taehee,Han Taehee,1201,1,Han Taehee,exact_name_match,0,NA,NA,3364.7423880991623,160,2025-12-19,7
1162,Han Wonggyu,Han Wonggyu,1162,1,Han Wonggyu,exact_name_match,0,NA,NA,3281.7586839245027,146,2025-07-27,9
1251,Han Yizhou,Han Yizhou,1251,1,Han Yizhou,exact_name_match,0,NA,NA,3366.0804283386615,246,2025-06-11,3
2178,Hane Ayaka,Hane Ayaka,2178,1,Hane Ayaka,exact_name_match,0,NA,NA,2951.946091415608,22,2025-03-22,10
93,Hane Naoki,Hane Naoki,93,1,Hane Naoki,exact_name_match,0,NA,NA,3280.282489759945,1062,2025-09-08,12
947,Hane Shigeko,Hane Shigeko,947,1,Hane Shigeko,exact_name_match,0,NA,NA,3099.1216619335137,2,2000-11-13,1
288,Hane Yasumasa,Hane Yasumasa,288,1,Hane Yasumasa,exact_name_match,0,NA,NA,3108.7799120401296,368,2025-04-24,2
2060,Hang Xiaotong,Hang Xiaotong,2060,1,Hang Xiaotong,exact_name_match,0,NA,NA,3006.630481908802,20,2024-06-06,7
1536,Hara Masakazu,Hara Masakazu,1536,1,Hara Masakazu,exact_name_match,0,NA,NA,3145.3953752208386,64,2025-12-03,18
254,Hasegawa Sunao,Hasegawa Sunao,254,1,Hasegawa Sunao,exact_name_match,0,NA,NA,3082.04289533189,100,2024-02-22,12
1307,Hashimoto Kan,Hashimoto Kan,1307,1,Hashimoto Kan,exact_name_match,0,NA,NA,3048.2352589691036,10,2025-10-29,13
280,Hashimoto Yujiro,Hashimoto Yujiro,280,1,Hashimoto Yujiro,exact_name_match,0,NA,NA,3038.9054102029904,88,2023-01-30,3
1095,Hatanaka Hoshinobu,Hatanaka Hoshinobu,1095,1,Hatanaka Hoshinobu,exact_name_match,0,NA,NA,3136.613617208015,48,2025-11-05,11
2324,He Tianyu,He Tianyu,2324,1,He Tianyu,exact_name_match,0,NA,NA,3126.2096367844047,3,2023-11-11,1
1844,He Yang,He Yang,1844,1,He Yang,exact_name_match,0,NA,NA,3269.480756311646,41,2025-07-22,1
1435,He Yuhan,He Yuhan,1435,1,He Yuhan,exact_name_match,0,NA,NA,3317.077038842246,131,2025-12-09,9
1969,Heo Seohyun,Heo Seohyun,1969,1,Heo Seohyun,exact_name_match,0,NA,NA,3113.0523815401607,174,2025-12-12,18
2308,Heo Youngrak,Heo Youngrak,2308,1,Heo Youngrak,exact_name_match,0,NA,NA,3296.9762742360385,50,2025-12-24,17
88,Hikosaka Naoto,Hikosaka Naoto,88,1,Hikosaka Naoto,exact_name_match,0,NA,NA,3184.7716686450863,585,2025-08-02,11
2367,Hino Shota,Hino Shota,2367,1,Hino Shota,exact_name_match,0,NA,NA,3044.557126764862,15,2025-10-06,3
